sampling_type,variable,mean,std,min,q10,q50,q90,max,coverage_discrepancy,coverage_score,mean_nn_distance_unit,q10_nn_distance_unit,diversity_score,bias_adherence_score,pre_cfd_score
uniform,Cell_D,12.001877547306753,2.3123951528516264,8.00547014180924,8.829214283770456,11.999600161999656,15.168476804513494,15.997848953541368,,,,,,,
uniform,Barrier_Thx,1.379729225219115,0.6505795811001789,0.2599809398117346,0.4752942958350909,1.3784140478886648,2.2752413824012065,2.4977833360200807,,,,,,,
uniform,Barrier_Outer_Thx,2.051310125016474,0.5511478674372953,1.1002402699988378,1.2947599039564524,2.0620202015955584,2.8040350045522304,2.9873032711576406,,,,,,,
uniform,ThermalResin_Thx,1.504912045816001,0.5782495788685663,0.5028130971706611,0.6972414534444242,1.5141003132336732,2.299745424150745,2.4928670515246916,,,,,,,
biased,Cell_D,12.001877547306753,2.3123951528516264,8.00547014180924,8.829214283770456,11.999600161999656,15.168476804513494,15.997848953541368,,,,,,,
biased,Barrier_Thx,1.0031062571714688,0.6733183266298406,0.2500446722688455,0.2727743890477826,0.8009665575424767,2.0731428706442565,2.4955688754478746,,,,,,,
biased,Barrier_Outer_Thx,2.241970379060667,0.5718168126559444,1.1003603934827841,1.3844355731029943,2.3374551675766733,2.936713163952881,2.9989565807556544,,,,,,,
biased,ThermalResin_Thx,1.7045096313178998,0.6000462341908528,0.504218146628993,0.7883648508188801,1.8043015185281588,2.4363103433092745,2.499571874559935,,,,,,,
uniform,__overall__,,,,,,,,0.001709342892644461,0.9669432486080265,0.19147228140293682,0.11981981213788313,0.07782302338520498,0.5003195944821345,0.6002633877616572
biased,__overall__,,,,,,,,0.07758349091093564,0.39190023445043015,0.18987737620714187,0.11140022780529858,0.07531940100311012,0.5922031646517407,0.44456457453398746
