trial_number,seed,score,min_over_groups_min_distance,group_min_distance_q10,mean_group_min_distance,global_mean_nn_distance
111,13889,0.4487355881092059,0.4459670290216815,0.45288842674049234,0.480252238585081,0.1910017800801246
36,26658,0.44193479486790194,0.43436807000609745,0.4532848821606086,0.49321229014394413,0.19027873340719376
185,29232,0.4385036822967885,0.43672971474263245,0.44116463362802244,0.48680114353836207,0.1918435733611287
81,5515,0.4332911948039384,0.4283198308383603,0.4407482407523055,0.4829582766019729,0.2032519156899839
204,18127,0.4261202628191988,0.41719698321388166,0.4395051822271744,0.494390194962945,0.2077634979202564
104,13246,0.42512589082691465,0.420094370535998,0.4326731712632895,0.46209673858217,0.2030856088456634
52,93846,0.4250369597733553,0.4244141126052825,0.42597123052546454,0.4732780363803845,0.19547750607926223
70,14290,0.4245433080003961,0.4223937236942439,0.4277676844596243,0.46043305737144413,0.189031624538096
91,14887,0.42223862971163967,0.4208971323381791,0.42425087577183046,0.46949617485503864,0.19989672624204724
150,70242,0.4210380571714194,0.4184770486185625,0.4248795700007047,0.4652158089360298,0.20052303407800812
215,13428,0.4200718120439515,0.41628030461420507,0.42575907318857115,0.47715997602134597,0.19730435021855053
156,10337,0.41922303419076734,0.4135727505061948,0.4276984597176262,0.4739055866809521,0.20047886931209322
97,1918,0.4170124802170012,0.41472344782782783,0.4204460288007612,0.47293218873304665,0.19168852157759203
74,13969,0.4158491729673415,0.40726951244143145,0.4287186637562066,0.48673944066821423,0.19095453787604677
116,25680,0.4156995758474743,0.4137040938000692,0.4186927989185819,0.4660310622874588,0.19862287409205603
89,14449,0.41529484851982673,0.4126898818384847,0.41920229854183977,0.4696538262241515,0.19157257360925706
39,99358,0.41483784923405365,0.41004499454561777,0.42202713126670743,0.44966763535829457,0.18934616152650915
227,15339,0.41410467520886163,0.4062233441171819,0.42592667184638117,0.4549914547402189,0.20270930188246328
73,15778,0.41323419512795956,0.4120518492306423,0.41500771397393554,0.45945770347069625,0.19893258220886026
152,9602,0.4118698001555956,0.40953138580290765,0.41537742168462743,0.48281313080812926,0.2056727718015249
33,84797,0.4116822781169105,0.4029599991257746,0.42476569660361424,0.47603737501406956,0.2022367660911655
11,14088,0.41127854645294665,0.4005466639815821,0.42737637015999347,0.4550876900669846,0.19327958017514224
8,58276,0.41104951855123206,0.4022650752207198,0.4242261835470004,0.4731053822913306,0.19971577421018627
132,15033,0.4069298954471994,0.3990603845782637,0.4187341617506029,0.46356375866348604,0.19871672824437592
206,17351,0.40680920302116136,0.39851683268400845,0.4192477585268907,0.46983784737327916,0.19626114933357408
191,13064,0.40671120442451114,0.3891774041251398,0.43301190487356805,0.46760197142124654,0.19607588774177898
59,90320,0.40656776193757804,0.39918294746008215,0.4176449836538219,0.47684120329415164,0.20198244809504848
85,7317,0.40651575332444,0.4035066425620617,0.41102941946800753,0.46451380207203974,0.20658490720159117
16,31941,0.4058083262971539,0.3884266382178584,0.43188085841609714,0.45726168493183433,0.19252349521625284
5,1229,0.4056765389206721,0.4044068717458338,0.40758103968292964,0.45585112716139864,0.18701409783266465
196,18599,0.404895329106624,0.3909038909934003,0.42588248627645964,0.4774563530187061,0.2014808556018862
79,12714,0.4044541200570084,0.3919733471402441,0.4231752794321548,0.4752997178148885,0.1957526026006214
163,13136,0.40425131087250826,0.39560703942611863,0.4172177180420927,0.48398551758939895,0.20459406330710236
142,62850,0.40276904627940213,0.3938089451012207,0.41620919804667433,0.47142767968338345,0.20693421416171412
158,81443,0.40263175234121656,0.389276223234892,0.42266504600070337,0.47815554682413614,0.20217257916653714
4,56571,0.4020743399759118,0.39859835900179585,0.40728831143708577,0.4641243514352661,0.20928757285247965
129,7498,0.40092232795522786,0.397576635007758,0.40594086737643276,0.45028283896308485,0.19520786494342537
226,80183,0.4007137412792073,0.37644334566478693,0.43711933470083786,0.48181686263011364,0.2073810306235942
44,68108,0.4003503087305634,0.3902800571774562,0.41545568606022415,0.4578564171054757,0.20000973896262936
108,6466,0.399951973332348,0.3781891200087268,0.4325962533177799,0.48355491200744793,0.19960248704485034
50,93360,0.3996603902186092,0.3946088134707517,0.40723775534039547,0.4708372754974009,0.19879348667000452
216,14193,0.3995697775227143,0.3930153509054925,0.409401417448547,0.4627679847223637,0.20043325706593543
195,59340,0.39875181903421225,0.3834851805442379,0.4216517767691738,0.48430964414726435,0.1955208886704368
222,10694,0.39813103337027234,0.3945071049744649,0.4035669259639835,0.4614664689018273,0.19978179584605335
49,79728,0.39790806802711143,0.3858909934638505,0.4159336798720029,0.46983666390067186,0.2114895370356846
128,20597,0.3979079351537377,0.3952643728286677,0.40187327864134254,0.4649106307074096,0.20664820445164012
109,12983,0.39737159214185247,0.391453823867584,0.4062482445532553,0.4650713008779803,0.20322462354266155
172,48282,0.39718426326609557,0.3827438661440448,0.41884485894917173,0.4727749270761544,0.196232577168435
165,99782,0.39691415292299886,0.38432031978904,0.41580490262393716,0.4713876389012785,0.2105379386225862
218,14365,0.3968576396136986,0.3901632167796821,0.40689927386472335,0.4599506376521572,0.19902374192011235
168,54589,0.3964053602882096,0.39499719542769557,0.39851760757898064,0.46175364384292145,0.19689298352857965
160,1793,0.3961533153921929,0.3894756673442071,0.40616978746417165,0.4610423628473933,0.19864777750544865
136,2454,0.39598514139651386,0.385349853015207,0.41193807396847404,0.4599104933097894,0.20205907514331928
209,93957,0.395983537251113,0.3809856428697364,0.41848037882317796,0.4592610177133209,0.19442204265677293
220,11101,0.3958822431322344,0.3799786536635918,0.41973762733519837,0.47068718574139196,0.19876189231969957
208,16978,0.39576099512480184,0.3830758070565074,0.4147887772272435,0.4702788858720406,0.1988462152589959
98,3213,0.3940426830509949,0.38966730980405734,0.4006057429214012,0.45703419712698984,0.19999882991070395
58,97845,0.3940051149437763,0.38510356759710856,0.40735743596377805,0.4616287061546089,0.19280046944046103
127,8457,0.3931064216568821,0.38446613152405235,0.4060668568561267,0.4755627027145934,0.1948800395462126
56,97386,0.39306002108628013,0.38451765649390857,0.4058735679748374,0.4607465319086782,0.20035405954437455
2,72640,0.3924435659576859,0.38876773993244057,0.397957304995554,0.4793416057339262,0.19483924621466459
184,5947,0.3918007312332361,0.38179054799070866,0.4068160060970273,0.47355819691636364,0.20307018333552598
121,34114,0.3915763773316667,0.3863485449957686,0.399418125835514,0.4616354681811768,0.1961926705281031
92,21038,0.3912604298542245,0.38956543729876053,0.3938029186874204,0.4437087890410486,0.20147031095138734
54,33791,0.3906296487492379,0.368513723541326,0.4238035365611057,0.4617289352281558,0.20022448027720768
87,15631,0.39020416460060353,0.3883914115506127,0.3929232941755898,0.4532107717141368,0.19400644930944008
159,71423,0.39010954488439464,0.37643838963367604,0.4106162777604726,0.47357533889514875,0.1888563922128697
55,30992,0.38984176402291265,0.38253210865690884,0.40080624707191836,0.4758218927262535,0.19779130280711335
78,10235,0.3897603481840072,0.3687525470610979,0.421272049868371,0.4570238587956274,0.1969778690080498
133,14160,0.38962217019014134,0.3678590981977609,0.4222667781787119,0.4714124074946953,0.2049554215296729
228,80809,0.388284429137699,0.38366116839080044,0.3952193202580469,0.4751883886397746,0.1959711633851431
102,10363,0.38750473560670223,0.37923817217034095,0.39990458076124413,0.4845276877813193,0.20115783686125524
134,96058,0.38695630953009796,0.368757102222549,0.4142551204914214,0.465349393058956,0.20314902503535578
83,4567,0.38692202222874095,0.37754370074849114,0.40098950444911563,0.47685698049957825,0.19780854903496844
187,76387,0.38647966603184164,0.38227451966830867,0.3927873855771411,0.46055768419095716,0.19265137629843215
63,39732,0.3859117943517526,0.3791555791963226,0.3960461170848976,0.4793743016320751,0.19179030598836533
212,28476,0.3852212231716122,0.371566013352843,0.405704037899766,0.45675028434948545,0.19689805372155195
223,10037,0.3851403099760988,0.38413141022620184,0.3866536596009444,0.46690689933585566,0.18879486379392948
113,17628,0.3850686000914192,0.3797526517403684,0.3930425226179955,0.44198571157348665,0.19663197565562404
68,83236,0.3846520333498278,0.3829916988311812,0.3871425351277976,0.4423009557792818,0.20361076207621034
125,53095,0.38462657776842324,0.38313902910526293,0.3868579007631638,0.44933838855010505,0.18532795155113416
38,99751,0.3828705358969507,0.36469607639178725,0.41013222515469583,0.47916994339218133,0.19982703297103668
146,23171,0.38286193708534083,0.34971287345648616,0.4325855325286228,0.4830763205474121,0.1903585695646374
193,13072,0.38211097767163593,0.37433838597098734,0.3937698652226089,0.46291205007728475,0.2058011802812613
207,16733,0.3820894842987741,0.37893028139041984,0.3868282886613055,0.4589811917273101,0.20719241422691825
45,68775,0.38201610912170497,0.37409986332509704,0.3938904778166169,0.4673392855801762,0.1999057629659351
