discrete_combination_id,group_min_distance
1,0.8189740646943949
2,0.731503267855347
3,0.9006792764112638
4,0.882563306347773
5,0.7899558707896965
6,0.7544165830876981
7,0.8821833778834404
8,0.6951841134740997
9,0.7625524819015445
10,0.8576373182028548
11,0.7381698436027896
12,0.828748995601157
13,0.903717327606262
14,0.8575411888940426
15,0.8047596581317279
16,0.7164946807084694
17,0.7538551513200831
18,0.8548845410860291
19,0.7346248541418477
20,0.6813671754978102
21,0.6812815682451397
22,0.7392049144973576
23,0.7903520584902483
24,0.7623234598832918
25,0.8212585202025939
26,0.6830398976241928
27,0.7743975858118101
28,0.7207107401144909
29,0.7447249881046166
30,0.7935165941991821
31,0.7878415177550774
32,0.7898540002196812
33,0.7625000415479429
34,0.7159193042082581
35,0.8790064462032817
36,0.7446725464608411
37,0.7473020767683667
38,0.7887221206453013
39,0.9382003377162018
40,0.8994146372302352
41,0.8807050330581506
42,0.8039430424244726
43,0.7334023909763387
44,0.8904199770023937
45,0.9080318139565845
46,0.7748181580011819
47,0.8297922497463124
48,0.8287588092088165
