segment,n,accuracy,tp_recall,tp_f1,error_rate
Boundary,23,0.4782608695652174,0.5,0.5,0.5217391304347826
Non-boundary,160,0.9125,0.9333333333333333,0.9090909090909091,0.0875
Overall,183,0.8579234972677595,0.8735632183908046,0.8539325842696629,0.14207650273224043
