A_Type_CompPad,B_Extd_CompPad,C_Extd_Frame_Btm,D_Extd_SideBeam,E_ThermalResin_Thx,F_dt_Cell,G_MaxT,Time_TR_Adj_1,Time_TR_Adj_2
Aerogel,5.898251366,26.47391621,30.77143898,2.213497268,7.701275046,1350.19918,1706,1857
PU,5.949125683,19.70078324,35.41469945,4.720874317,9.945355191,1469.324863,1181,1483
Aerogel,6,28.92098361,39.23856102,2.933005464,15.07468124,1538.723771,2206,2473
Aerogel,3.754262295,21.75457195,45.35673953,3.121967213,9.071038251,1495.554372,1478,1781
Aerogel,3.216448087,20.83692168,35.68783242,5.898251366,7.468123862,1572.057104,1656,1870
PU,2.416994536,13.97639344,46.23076503,4.924371585,19.32969035,1514.680055,976,2274
Aerogel,5.127868853,19.74448087,33.2296357,2.16989071,19.82513661,1550.19918,1575,2443
Si,4.83715847,30.79998179,24.54400729,2.257103825,16.21129326,1307.029781,3244,3173
PU,3.935956284,13.1024408,21.59417122,5.055191257,10.52823315,1320.690984,900,1429
Aerogel,4.590054645,13.58311475,33.2842623,4.16852459,17.95992714,1463.313934,1799,2550
PU,5.622076503,13.36462659,44.04570128,5.963661202,14.05464481,1398.286612,1438,1994
PU,5.651147541,26.25542805,35.36007286,3.419945355,18.10564663,1376.428689,2158,2319
Aerogel,3.17284153,20.92431694,28.8595082,4.190327869,13.50091075,1308.669126,2315,2488
Si,2.50420765,21.23020036,43.17167577,4.212131148,11.54826958,1367.139071,2650,2843
Si,5.222349727,20.61843352,41.96989071,4.99704918,5.282331512,1273.15,3898,4279
Aerogel,5.709289618,13.53941712,43.22630237,3.020218579,8.925318761,1468.778415,1311,1746
PU,5.527595628,31.97981785,28.8048816,5.0115847,18.80510018,1479.160929,2607,2433
Aerogel,4.132185792,23.24029144,28.64100182,4.088579235,8.925318761,1436.537978,1828,2041
Aerogel,5.447650273,16.99153005,24.10699454,2.758579235,5.02003643,1419.051639,1094,1341
Aerogel,5.956393443,28.39661202,36.23409836,4.938907104,15.30783242,1399.379508,3628,3664
PU,3.201912568,24.28903461,26.89295082,2.315245902,8.721311475,1475.335792,637,1129
Si,3.34726776,32.85377049,24.27087432,4.16852459,5.486338798,1389.543443,3243,3428
PU,2.744043716,13.2335337,35.74245902,3.056557377,17.95992714,1475.88224,701,2075
PU,2.664098361,29.3142623,33.50276867,4.444699454,10.67395264,1276.975137,2108,1672
PU,4.488306011,24.46382514,49.78149363,2.555081967,13.85063752,1479.707377,1214,1750
PU,2.816721311,30.53779599,44.86510018,4.931639344,14.37522769,1446.920492,2155,1957
PU,3.550765027,26.47391621,49.1259745,3.230983607,13.93806922,1295.007924,2086,1968
Aerogel,2.925737705,16.94783242,22.74132969,5.469453552,18.83424408,1514.680055,1917,2543
Si,2.584153005,13.45202186,47.76030965,3.594371585,7.701275046,1293.368579,1964,2262
Si,4.00863388,14.4570674,43.99107468,2.366120219,14.84153006,1380.800273,1870,2380
Si,2.126284153,28.17812386,38.30990893,5.767431694,10.06193078,1509.762022,3046,3245
PU,3.34,28.39661202,48.14269581,3.49989071,4.495446266,1411.947814,1138,1099
PU,3.84147541,23.80836066,33.55739526,3.34,11.14025501,1376.975137,1215,1501
Aerogel,4.902568306,26.9982878,22.95983607,4.858961749,16.79417122,1322.330328,4061,3687
PU,4.313879781,20.79322404,39.29318761,3.848743169,6.18579235,1478.068033,810,1056
Aerogel,2.293442623,31.54284153,26.78369763,3.201912568,7.001821494,1458.94235,1479,1557
Aerogel,2.911202186,29.57644809,22.52282332,2.656830601,15.83242259,1554.024317,1682,2067
PU,3.768797814,20.61843352,43.22630237,4.473770492,14.66666667,1376.428689,1609,1939
Aerogel,4.204863388,12.09739526,21.97655738,3.310928962,17.0856102,1410.30847,1390,2257
Aerogel,2.860327869,26.69240437,49.18060109,2.198961749,19.47540984,1521.78388,1927,2468
Si,3.659781421,22.58482696,34.54067395,5.215081967,7.293260474,1387.904098,3087,3235
