A_Cell_D,C_Barrier_Thx,E_Barrier_Outer_Thx,F_ThermalResin_Thx,B_Barrier_Type,D_Barrier_Outer_Type,discrete_combo_id,selected_model_kind,p_tp,p_notp,boundary_score,clf_uncertainty_raw,clf_uncertainty_scaled,tmax_pred_given_notp,tmax_std_given_notp,tmax_scaled,notp_window_score,local_sparsity,combo_priority,acq_boundary,acq_notp_high_tmax,acq_uncertainty_sparse,proposed_bucket,proposed_rank
13.35297858421722,0.613735363567222,2.992368306552572,0.5082339673672577,Si2,Si2,combo_004,gp,0.5589030645539452,0.4410969354460547,0.8821938708921095,0.1167582004559623,0.3724692563406775,393.4089178280093,2.348457788565419,0.6380467140665095,0.0,0.5457378787852049,0.46875,0.7101229461770204,0.5829827037822276,0.4046916777370445,uncertainty_sparse,1
8.186606131098422,1.486270026160374,1.851196421702344,2.183104146828168,A2,Si2,combo_013,gp,0.5952052897277724,0.4047947102722276,0.8095894205444552,0.2448588696580379,0.7853627271818485,316.6582837439998,1.5847435019870637,0.2922935671089101,0.0,0.2049136578460163,0.25,0.6575116056765951,0.263820554717168,0.391146925037702,uncertainty_sparse,2
13.237916383103396,0.7867349236686234,2.997429571901708,2.472517610399101,Si3,PU,combo_005,gp,0.3291532182311698,0.6708467817688302,0.6583064364623397,0.1725591197703413,0.5523265154428709,398.6691169385061,1.7907761311572827,0.6617433312708328,0.4723118784588678,0.3363800494185066,0.46875,0.5771953883123824,0.5631702399276991,0.38211294865471,uncertainty_sparse,3
15.55732242777892,1.0983729437443133,1.6609771600806755,0.508711858258446,A2,Si3,combo_014,gp,0.6951883250476385,0.3048116749523615,0.609623349904723,0.1821390873278137,0.5832046215448062,421.2507386838538,1.9718983907491583,0.7634710482472687,0.0,0.6517712380190864,0.4375,0.5890886692724646,0.667816216169492,0.4531200583242787,uncertainty_sparse,4
15.764301448132576,1.116893065444626,1.9047560867520907,0.7454177917753473,A2,Si3,combo_014,gp,0.4561321747838605,0.5438678252161395,0.912264349567721,0.1794803885619302,0.5746351162627135,422.1941339548399,1.898720165010582,0.7677209399603631,0.0,0.6027032547396826,0.4375,0.7616184704115104,0.6638551360058571,0.4356583128616237,uncertainty_sparse,5
14.705651058507922,1.096533331666233,1.3807513388972836,2.155207369790393,Si2,Si2,combo_004,gp,0.4970965865917343,0.5029034134082657,0.9941931731834686,0.1528534121943838,0.4888111720250831,414.6791340235767,1.4623747629051076,0.7338666935866286,0.0,0.3633942004870313,0.46875,0.7709649994100227,0.6072515561338651,0.3320621172926604,hard_case_boundary,6
14.782828645235153,0.8970606259900226,1.923101327100888,1.689059131254185,Si2,Si2,combo_004,gp,0.505294267532717,0.494705732467283,0.989411464934566,0.1576728898035835,0.5043452894508456,417.8676232550647,1.605770840877229,0.7482304861335501,0.0,0.3297307542163793,0.46875,0.766157911216282,0.617916188260553,0.3463666683492574,hard_case_boundary,7
12.671846722235044,0.748074463101631,2.8971762069755744,0.7720244489490363,Si3,PU,combo_005,gp,0.4783214284569297,0.5216785715430703,0.9566428569138594,0.1497976963884864,0.4789620032981741,387.6733283203391,1.718789707807884,0.6122085155212925,0.0,0.497865197431921,0.46875,0.7642902380310425,0.5426482259236248,0.3736715893734969,hard_case_boundary,8
10.046481305591143,1.2574655189046002,1.5779978294326031,1.6905740395115518,Si3,PU,combo_005,gp,0.5001887728544429,0.4998112271455571,0.9996224542911144,0.0921652126495939,0.2932012544092597,349.4860281126973,1.4269868352285044,0.440178937157749,0.0,0.4056245276720375,0.46875,0.7502383007427867,0.4049118647706291,0.2664986641695502,hard_case_boundary,9
14.56521479496745,1.0367310288945912,1.5712352285557096,2.1597210817968446,Si2,Si2,combo_004,gp,0.4698101081546539,0.530189891845346,0.939620216309308,0.1614488620846829,0.5165159854406047,414.1130079726407,1.4320426281672012,0.7313163581265781,0.0,0.377996703551868,0.46875,0.7445116312229922,0.6060854723672842,0.3410053300692162,hard_case_boundary,10
