"A_Cell_D","C_Barrier_Thx","E_Barrier_Outer_Thx","F_ThermalResin_Thx","B_Barrier_Type","D_Barrier_Outer_Type","discrete_combo_id","selected_model_kind","p_tp","p_notp","boundary_score","clf_uncertainty_raw","clf_uncertainty_scaled","tmax_pred_given_notp","tmax_std_given_notp","tmax_scaled","notp_window_score","local_sparsity","combo_priority","acq_boundary","acq_notp_high_tmax","acq_uncertainty_sparse","dist_to_row24"
"8.176800079883382","1.1285505809725422","2.3642367668303166","1.8300005367477952","Si2","Si2","combo_004","gp","0.6815095961014208","0.3184904038985792","0.6369808077971584","0.0836292538343109","0.2656881923452373","319.60732620099884","1.4310113462396425","0.30557867832900654","0.0","0.31603896651949354","0.46875","0.5189174027223302","0.3018447257266302","0.243821852154074","0.209769826569133"
"8.187688942325845","1.123135406945661","2.556246126142189","1.6674338352349847","Si2","Si2","combo_004","gp","0.6000198209530083","0.3999801790469917","0.7999603580939834","0.043897679267865974","0.13762556919963995","318.218760497605","1.3912804349972716","0.2993233428853891","0.0","0.37891326529703195","0.46875","0.6046973147712377","0.3026516968308858","0.20457504499936452","0.410629903350734"
"8.197830570845454","1.3029190100710708","2.097967234699487","2.212294846049356","Si2","Si2","combo_004","gp","0.31328889611592103","0.686711103884079","0.6265777922318421","0.07931396448604022","0.2517791721364456","314.1277042464488","1.6293381507587938","0.2808935853973983","0.5780740258938598","0.4195581474134209","0.46875","0.523839950993624","0.3004166101414763","0.27372993203661317","0.428867752355794"
"8.132193884281147","1.21447470676546","2.6172004830850693","1.583375355794077","Si2","Si2","combo_004","gp","0.33006829074287225","0.6699317092571277","0.6601365814857445","0.050028598476304455","0.15738671898275092","312.39481209966823","1.3807445913806389","0.27308709727859437","0.4662113950475184","0.38103261489331247","0.46875","0.524736557230328","0.2842061046893585","0.210786806745499","0.495858752386302"
"8.332656494606157","1.1572313958451428","2.135136945660019","2.4681706224297093","Si2","Si2","combo_004","gp","0.6310968380210795","0.3689031619789205","0.737806323957841","0.11995790565073523","0.38278253098449877","323.5771229408444","1.7789528806728434","0.323462175083981","0.0","0.41303822888145625","0.46875","0.6088401415849758","0.3337113940346668","0.3331237902338637","0.643336912019347"
"8.242376315835905","1.2262352690349476","2.1204964803804605","1.3264359361666607","Si2","Si2","combo_004","gp","0.597434186678413","0.40256581332158703","0.8051316266431741","0.06026278379952539","0.19037349669169984","314.39746842816294","1.3975872975436283","0.2821088433021345","0.0","0.23799697946115803","0.46875","0.5977195822377412","0.2766848055824123","0.20251148139807693","0.691358525181129"
"8.062887639422899","1.1513868962989993","2.7622392629102865","1.2202683855430871","Si2","Si2","combo_004","gp","0.5271591374946567","0.4728408625053433","0.9456817250106866","0.0490031926878996","0.15408163589745313","311.6185192069511","1.3918306701319942","0.26958998336128154","0.0","0.22110487381859023","0.46875","0.6737493681778468","0.2660727638397157","0.1867168120042555","0.853855526535139"
"8.629523149623203","1.063014852583966","2.6735115443101796","2.499585596709492","Si2","Si2","combo_004","gp","0.4519864302033483","0.5480135697966517","0.9039728604066966","0.07317853417171027","0.2320034821781703","328.9746810458984","1.5882922901479462","0.3477775794188326","0.0","0.3043552987511864","0.46875","0.6712352998594863","0.33457693405146305","0.2455443586161032","0.91398518213701"
"8.326868671341613","1.2691139523884751","2.1661130394321244","1.083599670298427","Si2","Si2","combo_004","gp","0.450069827515037","0.549930172484963","0.900139655030074","0.04712128789903723","0.1480158892865571","311.8013880950357","1.3600787713420555","0.2704137875459699","0.0","0.18370954566487255","0.46875","0.6409740702081488","0.2620294251530702","0.1759028606654399","0.936691995169489"
"8.789735674919694","1.302196430702355","1.8226045105741593","1.9724076154992223","Si2","Si2","combo_004","gp","0.35682857429435444","0.6431714257056456","0.7136571485887089","0.09602363142587114","0.3056376915521659","322.41686856772793","1.5758914377009918","0.3182353570183839","0.28780950470430383","0.26554963545735566","0.46875","0.5640948606639196","0.3096729408373359","0.264291933187422","0.937247692209791"
"8.884892654882163","1.0327171386052634","2.6355477381843486","1.634177550371072","Si2","Si2","combo_004","gp","0.5718597866521122","0.42814021334788777","0.8562804266957755","0.030820474207011166","0.09547518372459995","330.59689077518993","1.3072802994309414","0.3550854554464605","0.0","0.3578455533192033","0.46875","0.6291990644908748","0.33724911070084185","0.1785097252488878","0.989758440453539"
"8.438470251192582","1.353792860734763","1.4595060783221674","2.2264550313965485","Si2","Si2","combo_004","gp","0.5281214002821599","0.4718785997178401","0.9437571994356801","0.11391458797208806","0.363303738037709","317.125111052003","1.8374303378672687","0.2943965726769315","0.0","0.3373551534631486","0.46875","0.7188095014364375","0.3074187237872915","0.3206292078176066","1.01896256494591"
