trial_number,seed,score,min_over_groups_min_distance,global_mean_nn_distance,mean_group_min_distance
88,97744,0.6368545620251573,0.7226252745719562,0.4367228994159601,0.7717103178826985
141,70024,0.6286252353084998,0.7181897955326566,0.4196412614521337,0.7517380405270268
82,85947,0.6173197536519959,0.6862158951307794,0.4565620902015012,0.7734817740970971
28,94325,0.6163218698662912,0.6912415039799819,0.44150939026768,0.7693187204539654
166,4011,0.6160842133100782,0.6913355432017576,0.44049777689615993,0.7315299961803909
1,95443,0.615950968971945,0.6969953392759698,0.42684743826255406,0.7446607127957672
114,88484,0.6158438085768362,0.6745990206192486,0.47874831381120725,0.7623225735890902
3,92843,0.6106983574213469,0.6869792470843278,0.432709614874392,0.7339723042013646
41,83156,0.6084051785802718,0.6746638366387198,0.4538016431105602,0.7563564477163358
169,10658,0.6071989643093076,0.6811598109317574,0.4346236555235919,0.7396621511494859
74,93444,0.6061693330670856,0.6759981001257205,0.44323554326360454,0.7396111805635863
158,95022,0.6035170505644594,0.6857624450873772,0.41161113001098454,0.7438583925535922
11,99660,0.6031383436578606,0.6713223970212664,0.44404221914324715,0.7492794569846699
143,54143,0.6028048699381897,0.6637681446978984,0.4605572288322029,0.7276891644207979
133,75313,0.6026299859423918,0.6557554282942996,0.47867062045460723,0.7149272145243529
167,96468,0.6024320862206677,0.6712894010531371,0.4417650182782393,0.724091579524502
117,90621,0.6015490754130023,0.6627179866025139,0.45882161597080867,0.7547881338188587
49,88640,0.6011263946871951,0.6650889765304394,0.4518803703862916,0.7427306764793898
55,99890,0.600756814785938,0.6738718481789774,0.43015507020217963,0.7314696270915966
162,22494,0.5992506001129925,0.6628031372294172,0.450961346841335,0.7323708791459498
53,83709,0.5987497690288456,0.6699476353977548,0.4326214141680576,0.7280534165348336
54,75244,0.5970301091190653,0.6695190060722194,0.42788934956170593,0.750617574548941
46,77450,0.5968546406188,0.6599602910538959,0.44960812293690994,0.728868954033774
155,98245,0.5966853360599109,0.6662024106395373,0.4344788287074494,0.7311409273799353
14,82007,0.5964419663276757,0.6586541487783637,0.4512802072760702,0.7204790687475952
71,82971,0.5958164218905422,0.6616759526704655,0.44214418340405437,0.7307654456264809
17,63972,0.5954206888269895,0.6676662056416465,0.4268478162594566,0.7449999859174676
127,86077,0.5949613602277126,0.6659826885740904,0.4292449274194978,0.7210349839490253
20,72363,0.5947949745566095,0.6534488779390729,0.45793586666419495,0.7556103069528377
