pareto_rank_in_bin,discrete_combo_id,A_Cell_D,C_Barrier_Thx,E_Barrier_Outer_Thx,F_ThermalResin_Thx,CellD_x_Resin,Barrier_x_Outer,B_Barrier_Type,D_Barrier_Outer_Type,p_tp,p_notp,tmax_pred_given_notp,tmax_std_given_notp,clf_uncertainty_raw,nn_distance_raw,feasibility_margin,robust_tmax_lower_95,is_feasible,objective_score,constraint_violation,cell_d_bin_label,cell_d_bin_weight,cell_d_bin_trial_quota,optimization_method,trust_feasibility_score,trust_tmax_unc_score,trust_clf_unc_score,trust_support_score,trust_score,trust_level,boundary_gap,boundary_near_score
1,combo_011,8.503698898509843,1.4866545445627493,2.4177066493113237,0.8032892252124457,6.8309296996238995,3.5942945776182564,A2,PU,0.479777526907732,0.520222473092268,312.705615340676,1.1145042988673397,0.0,0.8593364790792333,0.02022247309226799,310.521186914896,True,312.705615340676,0.0,8-10,0.34069400630914826,27,nsga2,0.017210827484464498,0.43062864459977346,0.0,0.46702679082719323,0.20526640162357357,low,0.02022247309226799,0.9827891725155355
2,combo_014,8.821138653005473,1.309853541696909,2.8428329373136663,2.4995011587421994,22.048446284612783,3.7236947913929326,A2,Si3,0.430413796064272,0.569586203935728,330.23430405265907,1.3934587848409896,0.0,0.7163614768502462,0.06958620393572801,327.50312483437074,True,330.23430405265907,0.0,8-10,0.34069400630914826,27,nsga2,0.11869171575970093,0.0,0.0,0.5991194078136353,0.13141001168794061,low,0.06958620393572801,0.8813082842402991
3,combo_001,9.792756902916643,0.8239320075948701,2.67046005085683,2.16160882513935,21.168109743788904,2.200277510904367,Si1,PU,0.3907216704225789,0.6092783295774211,350.7237257992134,0.7456744595950218,0.0,0.28245453436544365,0.10927832957742112,349.2622038584072,True,350.7237257992134,0.0,8-10,0.34069400630914826,27,nsga2,0.20028992762145606,1.0,0.0,1.0,0.5201014746675096,medium,0.10927832957742112,0.799710072378544
1,combo_005,11.732902420439283,0.8545503530006848,2.5374882189109322,1.4822154322103105,17.39068903219281,2.168411453205416,Si3,PU,0.3942382398311395,0.6057617601688605,379.60842246209614,0.9246607419956275,0.0,0.7360722240296288,0.10576176016886052,377.79608740778474,True,379.60842246209614,0.0,10-12,0.21451104100946372,17,nsga2,0.19306064042689766,0.7236946381303013,0.0,0.5809089225043725,0.37181595396416045,low,0.10576176016886052,0.8069393595731024
2,combo_010,11.752622142935149,0.8100744382868466,1.7433081819241871,2.1981266088319256,25.833751455933037,1.4122093962330995,A1,Si3,0.2454012860643502,0.7545987139356498,385.2097772606807,1.0201054030720587,0.0,0.909268697811691,0.2545987139356498,383.2103706706595,True,385.2097772606807,0.0,10-12,0.21451104100946372,17,nsga2,0.4990364250435734,0.5763544550528701,0.0,0.4208951080750838,0.41070335149237425,low,0.2545987139356498,0.5009635749564266
1,combo_011,13.138279961062398,1.3574963051652327,1.3087174886989845,2.3147596669076034,30.411960546407638,1.7765791554139936,A2,PU,0.4752079654959971,0.5247920345040029,396.78560337031826,1.0539437719125908,0.0,0.6251660863207917,0.024792034504002913,394.7198735773696,True,396.78560337031826,0.0,12-14,0.14195583596214512,12,nsga2,0.02660483282335675,0.5241173639073202,0.0,0.6833735613672972,0.2690529348654655,low,0.024792034504002913,0.9733951671766432
2,combo_002,12.177654674316864,0.6822522001777742,2.6257125306523115,0.7368157535893411,8.972687805807542,1.7913981510718908,Si1,Si1,0.23870075628104814,0.7612992437189519,381.5244147043815,1.1681351513623808,0.0,0.6287310745936289,0.26129924371895186,379.2348698077112,True,381.5244147043815,0.0,12-14,0.14195583596214512,12,nsga2,0.5128112289877987,0.3478374278245341,0.0,0.6800799182608552,0.38584714623221805,low,0.26129924371895186,0.48718877101220126
3,combo_002,13.416692227602692,0.8736811068528845,1.9109810168253092,1.9813610758691642,26.583311746688324,1.6695880099547868,Si1,Si1,0.09550639075496292,0.9044936092450371,402.4997908566599,1.004869846816941,0.0,0.6586544438874636,0.4044936092450371,400.5302459568987,True,402.4997908566599,0.0,12-14,0.14195583596214512,12,nsga2,0.8071871029604856,0.5998739439650672,0.0,0.6524341333512397,0.5603427892283761,medium,0.4044936092450371,0.19281289703951443
4,combo_007,12.676330212382446,0.8456027362033944,1.762747771653947,1.9720473965585168,24.998323993244874,1.490584338947014,A1,PU,0.021470234761181928,0.9785297652388181,395.09533768983533,0.9639236584091623,0.0,1.0291978678939158,0.4785297652388181,393.2060473193534,True,395.09533768983533,0.0,12-14,0.14195583596214512,12,nsga2,0.9593890282679254,0.6630835444632441,0.0,0.31009421503644474,0.5812253554882139,medium,0.4785297652388181,0.04061097173207462
5,combo_010,13.701304729698272,0.8070989480487165,2.5112938728020366,0.7433545280410909,10.184926910892026,2.026862642979711,A1,Si3,0.002189437263950822,0.9978105627360492,391.99998286656285,1.1217695520657769,0.0,0.9065036736967921,0.4978105627360492,389.8013145445139,True,391.99998286656285,0.0,12-14,0.14195583596214512,12,nsga2,0.9990260739944478,0.41941310122323594,0.0,0.4234496754167415,0.5390005075775387,medium,0.4978105627360492,0.0009739260055522392
