lexicographic_rank,discrete_combo_id,A_Cell_D,C_Barrier_Thx,E_Barrier_Outer_Thx,F_ThermalResin_Thx,CellD_x_Resin,Barrier_x_Outer,B_Barrier_Type,D_Barrier_Outer_Type,p_tp,p_notp,tmax_pred_given_notp,tmax_std_given_notp,clf_uncertainty_raw,nn_distance_raw,feasibility_margin,robust_tmax_lower_95,is_feasible,objective_score,constraint_violation,cell_d_bin_label,cell_d_bin_weight,cell_d_bin_trial_quota,optimization_method,trust_feasibility_score,trust_tmax_unc_score,trust_clf_unc_score,trust_support_score,trust_score,trust_level,boundary_gap,boundary_near_score
1,combo_011,8.503698898509843,1.4866545445627493,2.4177066493113237,0.8032892252124457,6.8309296996238995,3.5942945776182564,A2,PU,0.479777526907732,0.520222473092268,312.705615340676,1.1145042988673397,0.0,0.8593364790792333,0.02022247309226799,310.521186914896,True,312.705615340676,0.0,8-10,0.34069400630914826,27,nsga2,0.01753235380853242,0.7412085941800457,0.0,0.6902652778958194,0.33203869377137296,low,0.02022247309226799,0.9824676461914675
2,combo_014,8.821138653005473,1.309853541696909,2.8428329373136663,2.4995011587421994,22.048446284612783,3.7236947913929326,A2,Si3,0.430413796064272,0.569586203935728,330.23430405265907,1.3934587848409896,0.0,0.7163614768502462,0.06958620393572801,327.50312483437074,True,330.23430405265907,0.0,8-10,0.34069400630914826,27,nsga2,0.12090907056730556,0.5454787049516341,0.0,0.7670302433953218,0.32101632269334546,low,0.06958620393572801,0.8790909294326944
3,combo_001,9.792756902916643,0.8239320075948701,2.67046005085683,2.16160882513935,21.168109743788904,2.200277510904367,Si1,PU,0.3907216704225789,0.6092783295774211,350.7237257992134,0.7456744595950218,0.0,0.28245453436544365,0.10927832957742112,349.2622038584072,True,350.7237257992134,0.0,8-10,0.34069400630914826,27,nsga2,0.20403167009340206,1.0,0.0,1.0,0.5214110845326907,medium,0.10927832957742112,0.7959683299065979
4,combo_003,8.18707804793429,1.1274816830309622,2.1751420028236437,1.8523961174467476,15.165711589226978,2.45243276617494,Si2,PU,0.25731234239094647,0.7426876576090535,321.2980730389163,1.041290664038495,0.0,0.8435810994765017,0.24268765760905353,319.25714333740086,True,321.2980730389163,0.0,8-10,0.34069400630914826,27,nsga2,0.48341530016461826,0.7925793279577874,0.0,0.6987245270846963,0.511777832507657,medium,0.24268765760905353,0.5165846998353818
5,combo_013,8.431817749014554,1.695310625787538,1.116506117694118,0.5723607389576759,4.826041437582417,1.8928246850836299,A2,Si2,0.25548003305681277,0.7445199669431872,300.6327038587161,1.0836290254089564,0.0,0.6556077529024431,0.24451996694318723,298.5087909689146,True,300.6327038587161,0.0,8-10,0.34069400630914826,27,nsga2,0.48725249236651785,0.7628723929636118,0.0,0.7996496345483989,0.5193475353996246,medium,0.24451996694318723,0.5127475076334822
6,combo_006,9.967627516211508,1.2532284243177882,2.3196207793566357,0.8144354169159405,8.11798887182852,2.9070146943279167,Si3,Si3,0.20465625183487646,0.7953437481651235,335.6537809613699,1.0632818833867903,0.0,0.9320087166890969,0.29534374816512354,333.56974846993177,True,335.6537809613699,0.0,8-10,0.34069400630914826,27,nsga2,0.5936868227183139,0.7771490726886674,0.0,0.651246696144318,0.5386221141796578,medium,0.29534374816512354,0.40631317728168614
7,combo_007,9.256691693071433,1.2408754073151975,1.581870786881855,1.0971408600863755,10.155894685690798,1.9629045569920338,A1,PU,0.1984975811330969,0.8015024188669031,328.6716857166337,0.9902414936648092,0.0,0.5175839446341137,0.3015024188669031,326.7308123890507,True,328.6716857166337,0.0,8-10,0.34069400630914826,27,nsga2,0.6065842100484444,0.8283982481216583,0.0,0.8737562455968029,0.5918873847929734,medium,0.3015024188669031,0.3934157899515556
8,combo_007,9.947584482116586,0.9462498368411737,2.2963703867300147,1.331212010789634,13.242343940938179,2.172940103770179,A1,PU,0.16147372641535185,0.8385262735846482,345.2724225454826,0.8052302996349407,0.0,0.5692661328540611,0.33852627358464815,343.6941711581981,True,345.2724225454826,0.0,8-10,0.34069400630914826,27,nsga2,0.6841189603008431,0.9582123301110151,0.0,0.8460074690009547,0.6538064554887428,medium,0.33852627358464815,0.31588103969915693
9,combo_006,9.761651434123399,1.2480338741820414,2.443016601321946,0.8402463022721971,8.202191521592276,3.048967473638872,Si3,Si3,0.14080224432927935,0.8591977556707207,332.84324953356156,1.032857020482763,0.0,0.8666100027570506,0.35919775567072065,330.81884977341537,True,332.84324953356156,0.0,8-10,0.34069400630914826,27,nsga2,0.7274088395721762,0.798496838526559,0.0,0.686360037220997,0.5970961509913789,medium,0.35919775567072065,0.27259116042782383
10,combo_014,9.035079010918984,1.5491487040753276,2.013018847095727,1.9431290125628997,17.556324156914787,3.1184655382575555,A2,Si3,0.1372361004044933,0.8627638995955067,325.4908628572686,0.9684670607930389,0.0,0.8273684527025735,0.3627638995955067,323.5926674181143,True,325.4908628572686,0.0,8-10,0.34069400630914826,27,nsga2,0.7348769997807855,0.8436763940139085,0.0,0.7074292884125748,0.6164242613893336,medium,0.3627638995955067,0.26512300021921453
1,combo_005,11.732902420439283,0.8545503530006848,2.5374882189109322,1.4822154322103105,17.39068903219281,2.168411453205416,Si3,PU,0.3942382398311395,0.6057617601688605,379.60842246209614,0.9246607419956275,0.0,0.7360722240296288,0.10576176016886052,377.79608740778474,True,379.60842246209614,0.0,10-12,0.21451104100946372,17,nsga2,0.19666732802484674,0.8744133290941771,0.0,0.7564473106895655,0.44462466014038426,low,0.10576176016886052,0.8033326719751532
2,combo_010,11.752622142935149,0.8100744382868466,1.7433081819241871,2.1981266088319256,25.833751455933037,1.4122093962330995,A1,Si3,0.2454012860643502,0.7545987139356498,385.2097772606807,1.0201054030720587,0.0,0.909268697811691,0.2545987139356498,383.2103706706595,True,385.2097772606807,0.0,10-12,0.21451104100946372,17,nsga2,0.508359239269972,0.8074440782691599,0.0,0.6634560805637447,0.5196773693097998,medium,0.2545987139356498,0.49164076073002805
3,combo_004,11.429210925116916,0.8608363066318044,2.6666646052638345,0.816716031295716,9.334419787603126,2.295561709821078,Si2,Si2,0.15196344054345445,0.8480365594565455,364.5455264417828,1.1391520388431788,0.0,0.8038743790448314,0.34803655945654555,362.31278844565014,True,364.5455264417828,0.0,10-12,0.21451104100946372,17,nsga2,0.7040352452346499,0.723914377174131,0.0,0.7200435337398163,0.5715931790453392,medium,0.34803655945654555,0.2959647547653501
4,combo_001,10.171652985440522,0.8743980636391304,2.6771224076105895,0.8024482123114574,8.162224754419245,2.3408706493396263,Si1,PU,0.14005737030447563,0.8599426296955244,344.08506869897843,0.889862428265311,0.0,0.4082569912971447,0.3599426296955244,342.34093833957843,True,344.08506869897843,0.0,10-12,0.21451104100946372,17,nsga2,0.7289687425569665,0.8988297498159925,0.0,0.9324551766703401,0.6646562613402871,medium,0.3599426296955244,0.27103125744303347
5,combo_005,10.390418336621728,1.2310556198943172,2.0328111418969415,2.369332085023042,24.618351541769606,2.5025035804160143,Si3,PU,0.1171230227965907,0.8828769772034093,353.60387415793184,1.071742972316556,0.0,1.155871790835826,0.3828769772034093,351.5032579321914,True,353.60387415793184,0.0,10-12,0.21451104100946372,17,nsga2,0.7769974775382894,0.7712123049281691,0.0,0.5310519705239387,0.5829706041954427,medium,0.3828769772034093,0.2230025224617106
6,combo_013,11.595932594445179,1.0403970375870002,2.926955262920404,0.7798849034188229,9.043492771470058,3.0451955846920677,A2,Si2,0.11182890587042493,0.8881710941295751,367.3472764154022,1.227175769247859,0.0,0.8063625845840796,0.38817109412957507,364.9420119076764,True,367.3472764154022,0.0,10-12,0.21451104100946372,17,nsga2,0.7880843305093422,0.6621520615711223,0.0,0.718707586830229,0.5822812721741407,medium,0.38817109412957507,0.21191566949065777
7,combo_006,10.409076009141751,1.5570569229292452,1.397095163066807,1.701313875427278,17.709105444730056,2.1753566956441346,Si3,Si3,0.08818849297506404,0.911811507024936,341.6517287178175,1.2393854167523608,0.0,0.8939806206697485,0.41181150702493596,339.2225333009829,True,341.6517287178175,0.0,10-12,0.21451104100946372,17,nsga2,0.8375916960626886,0.6535850978772679,0.0,0.671664429548243,0.5899822874173578,medium,0.41181150702493596,0.16240830393731143
8,combo_002,10.68711271650437,1.056930552071907,1.9441257639026586,1.1298059124199094,12.074363133804635,2.054805916938855,Si1,Si1,0.05083213934460673,0.9491678606553933,351.151674808368,0.9764024330856624,0.0,0.5559109483925431,0.44916786065539327,349.2379260395201,True,351.151674808368,0.0,10-12,0.21451104100946372,17,nsga2,0.9158227600931331,0.8381084981100293,0.0,0.8531780251012859,0.6999472192307983,high,0.44916786065539327,0.08417723990686687
9,combo_008,10.720495727946977,1.1924388150521807,1.6877124994241355,0.7090342356928863,7.601198494713737,2.0124938929620706,A1,Si1,0.04852104381211575,0.9514789561878843,344.6367048463053,1.135312054628811,0.0,0.4211900543257238,0.45147895618788425,342.4114932192328,True,344.6367048463053,0.0,10-12,0.21451104100946372,17,nsga2,0.9206626185110962,0.7266087223906768,0.0,0.9255112625474943,0.6790412225782109,high,0.45147895618788425,0.07933738148890379
10,combo_006,10.980957677936996,1.3696313191709275,1.8345803836666867,0.710274804601833,7.7994975690376975,2.5126987510065106,Si3,Si3,0.044037069933324346,0.9559629300666757,346.11429144120143,1.189004192819867,0.0,1.23642933269022,0.45596293006667565,343.7838432232745,True,346.11429144120143,0.0,10-12,0.21451104100946372,17,nsga2,0.9300528831791277,0.6889353498908897,0.0,0.4877996758936294,0.6053690654640059,medium,0.45596293006667565,0.06994711682087229
1,combo_011,13.138279961062398,1.3574963051652327,1.3087174886989845,2.3147596669076034,30.411960546407638,1.7765791554139936,A2,PU,0.4752079654959971,0.5247920345040029,396.78560337031826,1.0539437719125908,0.0,0.6251660863207917,0.024792034504002913,394.7198735773696,True,396.78560337031826,0.0,12-14,0.14195583596214512,12,nsga2,0.02710185448648462,0.783701207952125,0.0,0.8159941244833957,0.36699513012841645,low,0.024792034504002913,0.9728981455135154
2,combo_012,13.506017085359591,1.6225060318751023,1.132095478012651,1.4584118691783006,19.697335622613345,1.8368317417340536,A2,Si1,0.2612762441176528,0.7387237558823472,389.108765720646,1.2021435346718892,0.0,0.5799022630157131,0.23872375588234718,386.75256439268907,True,389.108765720646,0.0,12-14,0.14195583596214512,12,nsga2,0.475114162080854,0.6797160612450943,0.0,0.840296805233314,0.4962492958868242,medium,0.23872375588234718,0.524885837919146
3,combo_002,12.177654674316864,0.6822522001777742,2.6257125306523115,0.7368157535893411,8.972687805807542,1.7913981510718908,Si1,Si1,0.23870075628104814,0.7612992437189519,381.5244147043815,1.1681351513623808,0.0,0.6287310745936289,0.26129924371895186,379.2348698077112,True,381.5244147043815,0.0,12-14,0.14195583596214512,12,nsga2,0.5223913790152179,0.7035782231127339,0.0,0.8140800402203846,0.5160224556222042,medium,0.26129924371895186,0.4776086209847821
4,combo_002,13.416692227602692,0.8736811068528845,1.9109810168253092,1.9813610758691642,26.583311746688324,1.6695880099547868,Si1,Si1,0.09550639075496292,0.9044936092450371,402.4997908566599,1.004869846816941,0.0,0.6586544438874636,0.4044936092450371,400.5302459568987,True,402.4997908566599,0.0,12-14,0.14195583596214512,12,nsga2,0.822266674368902,0.8181341868284073,0.0,0.7980138302140287,0.6529356666097421,medium,0.4044936092450371,0.177733325631098
5,combo_014,12.875665399839084,2.3455790585492857,2.9235722247779137,1.3184928523115476,16.976472798442938,6.857469786595419,A2,Si3,0.038694274502518056,0.9613057254974819,334.69139589925675,2.1708757258570057,0.0,2.046864961526023,0.46130572549748194,330.436479476577,True,334.69139589925675,0.0,12-14,0.14195583596214512,12,nsga2,0.9412416778774462,0.0,0.0,0.052667225344628865,0.33733467105880044,low,0.46130572549748194,0.05875832212255383
6,combo_014,13.859376852808516,1.055214713004121,2.8541855252196466,2.2311935823373883,30.922952689181713,3.011778559855166,A2,Si3,0.026634222876396052,0.973365777123604,401.83164637940627,1.1781058891174498,0.0,0.9501360457636798,0.47336577712360395,399.52255883673604,True,401.83164637940627,0.0,12-14,0.14195583596214512,12,nsga2,0.9664976404991403,0.6965822022761679,0.0,0.6415139193000148,0.6434759227525516,medium,0.47336577712360395,0.03350235950085967
7,combo_013,12.484013323173137,2.311193403374669,2.71119700051415,1.3646580217055804,17.036408924547562,6.2661006228374925,A2,Si2,0.02392990563237163,0.9760700943676284,332.77389681522743,2.098802338922215,0.0,2.144957842986273,0.47607009436762837,328.6602442309399,True,332.77389681522743,0.0,12-14,0.14195583596214512,12,nsga2,0.9721609773860527,0.05057067281719785,0.0,0.0,0.35542754393027776,low,0.47607009436762837,0.02783902261394733
8,combo_008,13.574192297671951,2.4497247298573743,2.8440858530086306,1.165866291733219,15.82569323736042,6.967227447952747,A1,Si1,0.023124288638541657,0.9768757113614583,319.32380475463634,1.9327445743912723,0.0,1.6938575337094404,0.47687571136145834,315.53562538882943,True,319.32380475463634,0.0,12-14,0.14195583596214512,12,nsga2,0.9738480873018593,0.16708598083855442,0.0,0.24220107808069846,0.42730278651932185,low,0.47687571136145834,0.026151912698140656
9,combo_007,12.676330212382446,0.8456027362033944,1.762747771653947,1.9720473965585168,24.998323993244874,1.490584338947014,A1,PU,0.021470234761181928,0.9785297652388181,395.09533768983533,0.9639236584091623,0.0,1.0291978678939158,0.4785297652388181,393.2060473193534,True,395.09533768983533,0.0,12-14,0.14195583596214512,12,nsga2,0.9773119798452695,0.8468642963063285,0.0,0.5990646942359366,0.6859781859731333,high,0.4785297652388181,0.02268802015473048
10,combo_011,13.425331170566524,2.3896494586800165,2.112132272862725,1.4224105587215874,19.096332811347875,5.047255742507004,A2,PU,0.010636409162884775,0.9893635908371152,346.1388512378888,2.108013884642307,0.0,1.8847977942239607,0.4893635908371152,342.00714402398984,True,346.1388512378888,0.0,12-14,0.14195583596214512,12,nsga2,1.0,0.04410734308395092,0.0,0.13968299951905006,0.38418465285304276,low,0.4893635908371152,0.0
1,combo_008,15.100041394780874,1.0597670243563475,1.2438311285345551,1.7953385890292786,27.109687011989593,1.318171213888863,A1,Si1,0.48814945456796366,0.5118505454320363,419.74594302570483,1.2739714109543567,0.0,0.966241335701195,0.011850545432036341,417.2489590602343,True,419.74594302570483,0.0,14-16,0.3028391167192429,24,nsga2,0.0,0.629317652274509,0.0,0.6328667991241902,0.2837253155509812,low,0.011850545432036341,1.0
2,combo_005,14.480993918684261,0.8985664714635265,2.0925326322124604,0.9030187363549178,13.07660882961351,1.880279663749436,Si3,PU,0.4216545277817829,0.5783454722182171,412.7323617121942,0.9517278597568495,0.0,0.42874283469894914,0.07834547221821708,410.86697510707074,True,412.7323617121942,0.0,14-16,0.3028391167192429,24,nsga2,0.13925258676393323,0.8554215428798598,0.0,0.9214560856582688,0.4435832810800749,low,0.07834547221821708,0.8607474132360667
