accuracy,tp_precision,tp_recall,tp_f1,confusion_matrix_labels_NoTP0_TP1,tmax_mae,tmax_rmse,tmax_r2,tmax_eval_n,model,fold,cv_model_group
0.8113207547169812,0.7666666666666667,0.8846153846153846,0.8214285714285714,"[[20, 7], [3, 23]]",1.3543262662476474,2.186395973292133,0.9960336178423467,27,gp,0,gp_cv
0.7547169811320755,0.8421052631578947,0.6153846153846154,0.7111111111111111,"[[24, 3], [10, 16]]",1.2908177251090112,1.9919239981306778,0.9973188023377544,27,gp,1,gp_cv
0.7924528301886793,0.8,0.7692307692307693,0.7843137254901961,"[[22, 5], [6, 20]]",1.5730640377372453,4.327023434646007,0.9857746132550339,27,gp,2,gp_cv
0.7924528301886793,0.7586206896551724,0.8461538461538461,0.8,"[[20, 7], [4, 22]]",1.0128187290145843,1.4039367143734107,0.9982262129224868,27,gp,3,gp_cv
0.7115384615384616,0.7272727272727273,0.64,0.6808510638297872,"[[21, 6], [9, 16]]",1.7268802364387907,2.6568946243068488,0.9949756847820934,27,gp,4,gp_cv
0.8490566037735849,0.8214285714285714,0.8846153846153846,0.8518518518518519,"[[22, 5], [3, 23]]",3.4874030858941003,4.816152923962349,0.9807541341293562,27,mlp,0,mlp_cv
0.7735849056603774,0.7916666666666666,0.7307692307692307,0.76,"[[22, 5], [7, 19]]",1.9829871756510413,2.5310991725658623,0.9956708600270321,27,mlp,1,mlp_cv
0.7169811320754716,0.7037037037037037,0.7307692307692307,0.7169811320754716,"[[19, 8], [7, 19]]",3.5145282575665533,5.418623324993908,0.9776918522591477,27,mlp,2,mlp_cv
0.7924528301886793,0.7586206896551724,0.8461538461538461,0.8,"[[20, 7], [4, 22]]",2.2455294390624974,3.0562659725938417,0.9915940129594445,27,mlp,3,mlp_cv
0.7884615384615384,0.7916666666666666,0.76,0.7755102040816326,"[[22, 5], [6, 19]]",2.667218478081597,3.268224725822486,0.9923975768096762,27,mlp,4,mlp_cv
