trial_number,seed,score,min_over_groups_min_distance,global_mean_nn_distance,mean_group_min_distance
228,33910,0.6319367480216456,0.7077305847965918,0.4550844622134376,0.7503248905056983
137,23621,0.6267612552853435,0.7099071043470849,0.43275427414128037,0.7498193106616835
129,29277,0.6209902593857786,0.7036676489804711,0.4280763503314963,0.7651573677485615
133,29162,0.6196024211855176,0.6933863514804653,0.44743991716397286,0.7681311124707964
224,35640,0.6183943888506694,0.6932310207528811,0.44377558107884213,0.7366402037710769
176,23077,0.6173089021401152,0.6910739353688253,0.4451904912731249,0.7206710365481597
171,28313,0.617121797279361,0.6927547681098797,0.4406448653414844,0.7658408436736767
211,27833,0.6168558065880851,0.70247488499819,0.41707795696450745,0.7408803354139155
265,25267,0.6166361057849759,0.689824102888184,0.4458641125441571,0.7521928484524136
94,64718,0.6165580949750329,0.6845613572862009,0.457883816248974,0.7390225198374367
293,18241,0.6163560287575396,0.6815950439168215,0.4641316600525484,0.7291626354933654
268,23095,0.6143252575672501,0.683512101423546,0.45288928856922633,0.7353065492888604
150,26546,0.6127262736821659,0.6856023067139064,0.44268219660810487,0.7525906177377039
36,46436,0.6121354529389902,0.6885583126922579,0.43381544684803247,0.7379402547284823
37,47905,0.6113072812133239,0.6795151443120971,0.45215560064951976,0.7386432348051972
35,28652,0.6102160131300373,0.685920217933708,0.4335728685881389,0.72911569066329
20,33883,0.6087062020998869,0.6912535747506448,0.4160956659147855,0.7589173515729818
122,95712,0.6079226479091109,0.6714845477900987,0.4596115481868061,0.7316467556697014
134,28442,0.607366908318471,0.6720100339146509,0.45653294859405147,0.7354064575331928
141,24822,0.6067661440981864,0.687896168447615,0.41746275394951976,0.7553874555989256
155,33705,0.6056671043592481,0.6787132518269472,0.43522609360128367,0.7499769117442094
273,23337,0.6055185075445924,0.674723911806099,0.4440392309344104,0.7265705738853079
165,29340,0.605495041075611,0.686243587053954,0.41708176712614436,0.7452522746262662
12,24196,0.604078561994031,0.6704043152968623,0.4493184709540915,0.7493832825323743
