segment,n,accuracy,tp_recall,tp_f1,error_rate
Boundary,14,0.6428571428571429,0.5714285714285714,0.6153846153846154,0.35714285714285715
Non-boundary,149,0.8791946308724832,0.8985507246376812,0.8732394366197183,0.12080536912751678
Overall,163,0.8588957055214724,0.868421052631579,0.8516129032258064,0.1411042944785276
