trial_number,seed,score,min_over_groups_min_distance,global_mean_nn_distance,mean_group_min_distance
61,86842,0.6350637841702621,0.7276911150860137,0.4189333453668417,0.7767084028450393
135,89914,0.6288540672241969,0.7146437575681172,0.428678123088383,0.7672476552624992
134,84037,0.6226784647402491,0.6899000561009336,0.4658280848986521,0.7518578252406748
74,90099,0.618332496939987,0.6873641932800865,0.45725853881308837,0.7505982968142462
170,18499,0.6155533623428272,0.6838255853785163,0.456251508592886,0.7442833628180316
108,75651,0.6128892607440273,0.6728973923949645,0.4728702868918405,0.7715160044240146
12,25986,0.6115712741693206,0.6795939338304858,0.4528517349599351,0.7570686179295805
118,63279,0.6096663726011489,0.6842334946673823,0.43567642111327104,0.7360125786819764
179,11838,0.606562485002548,0.6774461756686158,0.441167206781723,0.7530793246108942
141,88698,0.6046062222263262,0.6787729913135205,0.4315504276895397,0.7229929250709775
26,97057,0.604039418015484,0.6715368544081897,0.44654539976583774,0.7286621003185134
28,95015,0.6039016028330748,0.6729475222324547,0.4427944575678553,0.6884859388175529
156,92859,0.6034221758445248,0.6713563148955013,0.4449091847255798,0.736397252503036
168,22348,0.6025415889274656,0.6722084810238289,0.43998550736928455,0.7339447846788059
89,66367,0.602370849169867,0.6668732470633187,0.45186525408514655,0.7453270572898552
76,83136,0.6010579661026092,0.6568214558857614,0.47094315660858765,0.7038932106944066
20,75748,0.6010244383865455,0.6627201439086916,0.45706779216820503,0.7399741477167285
90,66516,0.60078045084312,0.6643509238563501,0.45244934714558316,0.7154174202031094
114,92582,0.600518427745151,0.666790147272723,0.4458844155141497,0.7336500035609282
87,66248,0.6004417751323985,0.6688394301994635,0.4408472466425804,0.7390690148236486
78,82830,0.6002208165943174,0.6818616711694695,0.40972548925229574,0.7187360020842475
83,72833,0.5994835651542093,0.6659175515137576,0.44447093031526325,0.7251771422287102
77,84079,0.5981684679537378,0.6612574474880162,0.4509608490404218,0.748144629388648
71,85448,0.5966838822773407,0.666961987701683,0.43270163628720876,0.7199889257959058
93,55277,0.5966809049862997,0.6696831710977407,0.42634228405960417,0.7188665349682648
127,86476,0.5952147411543987,0.6518237700193117,0.4631270071362681,0.7204773742956884
25,43288,0.595190045668252,0.6730112934280298,0.41360713422877055,0.7165859976789812
99,71132,0.5944272948703221,0.6645303675165382,0.43085345869581804,0.737112230013725
144,90321,0.5943942576648857,0.6748323710141066,0.4067053265167037,0.7337154945837984
18,34088,0.5943817645247008,0.6670958835534546,0.42471548679094223,0.7252748097659338
58,88082,0.5934171155688723,0.656318577120421,0.446647038615259,0.7368497474992254
66,70372,0.592286955115195,0.6446227890748321,0.4701700092093753,0.7376491393761015
80,93180,0.5913146526762274,0.6536844030759913,0.4457852350767784,0.7484697203186282
81,82363,0.5886970926316148,0.645276788727741,0.4566778017406539,0.6769145241450749
23,31816,0.5883476049937455,0.6444907266241149,0.457346987856217,0.7147333475695521
180,27882,0.5876994671314218,0.6532660639044383,0.4347107413277168,0.7641770127088072
7,460,0.5872281228365552,0.6480521855090984,0.44530530993395484,0.7421030213956007
151,66059,0.5863525959288415,0.6507754388454878,0.43603262912333357,0.7395275540150335
43,37952,0.5862042861464016,0.6513015025325931,0.4343107812452885,0.7304691848813807
