accuracy,tp_precision,tp_recall,tp_f1,confusion_matrix_labels_NoTP0_TP1,tmax_mae,tmax_rmse,tmax_r2,tmax_eval_n,model,fold,cv_model_group
0.868421052631579,0.8947368421052632,0.85,0.8717948717948718,"[[16, 2], [3, 17]]",0.8227340213197117,1.1537268367133324,0.9989629649947677,18,gp,0,gp
0.918918918918919,0.9444444444444444,0.8947368421052632,0.918918918918919,"[[17, 1], [2, 17]]",2.3980510219129325,2.8616512592533163,0.9923241657000077,18,gp,1,gp
0.9459459459459459,0.9473684210526315,0.9473684210526315,0.9473684210526315,"[[17, 1], [1, 18]]",2.1518006276788935,2.663211556328058,0.9959452261485257,18,gp,2,gp
0.9459459459459459,0.9047619047619048,1.0,0.95,"[[16, 2], [0, 19]]",2.0945870073126684,2.4356259898631865,0.9976307531394384,18,gp,3,gp
0.9459459459459459,0.95,0.95,0.95,"[[16, 1], [1, 19]]",1.65202970867223,2.1625191277089395,0.9975286319629284,17,gp,4,gp
