A_Cell_D,C_Barrier_Thx,E_Barrier_Outer_Thx,F_ThermalResin_Thx,B_Barrier_Type,D_Barrier_Outer_Type,discrete_combo_id,selected_model_kind,p_tp,p_notp,boundary_score,clf_uncertainty_raw,clf_uncertainty_scaled,tmax_pred_given_notp,tmax_std_given_notp,tmax_scaled,notp_window_score,local_sparsity,combo_priority,acq_boundary,acq_notp_high_tmax,acq_uncertainty_sparse
15.57126495408535,0.5754369252270021,2.9403594128551713,2.9299506002980764,A2,Si3,combo_007,gp,0.2128046901319749,0.7871953098680251,0.4256093802639498,0.0,0.0,565.6511555639203,27.207000909750136,0.8874187887806979,0.7520312675464993,0.8848382659660182,0.9375,0.5270353927813667,0.847765155610418,0.5777500429444871
15.689227942427909,0.6797347359920297,2.7601489959463836,2.8687521394450513,A2,Si1,combo_005,gp,0.1996982146084747,0.8003017853915253,0.3993964292169494,0.0,0.0,567.6154483489483,26.40736370182777,0.896168669770499,0.664654764056498,0.8607694615129039,0.9375,0.506279446603155,0.8195217328170684,0.5646406458404599
15.984703522274025,0.6774704965318621,2.5796033566123713,2.886341993944574,A2,Si2,combo_006,gp,0.19598991693544576,0.8040100830645542,0.3919798338708915,0.0,0.0,571.495788931494,26.120482596000006,0.9134535259568871,0.6399327795696385,0.8548086750950471,0.9375,0.5004917512191287,0.8173023860284944,0.5608734476812813
15.899278379423897,0.6552630706941486,2.346772931882061,2.838947053651415,A2,Si3,combo_007,gp,0.19569904155832774,0.8043009584416723,0.39139808311665547,0.0,0.0,573.6407142775288,25.002309720218822,0.9230080290599185,0.6379936103888516,0.8133196416554626,0.9375,0.49593562234720506,0.8120257251159936,0.5398005738941486
13.65488592760156,0.5111176470403024,2.7427889781013066,2.9952284592256504,A2,Si3,combo_007,gp,0.20007372389591183,0.7999262761040882,0.40014744779182365,0.0,0.0,545.8184427130229,23.41505040996902,0.7990745875124678,0.6671581593060789,0.7509500308945075,0.9375,0.4958232165437273,0.7587645981201967,0.5086709791639804
15.327825839173734,0.9671928765265749,2.9560876144721986,2.9462688486971977,A2,Si3,combo_007,gp,0.1906049707490638,0.8093950292509362,0.3812099414981276,0.0,0.0,549.6758511635085,27.023989986706123,0.8162572932313199,0.604033138327092,0.8684597539068266,0.9375,0.49431793443937194,0.7725483899601415,0.5709452475355942
15.61137064845498,0.5100816139515547,1.8236857631515608,2.8432924036314757,A2,Si1,combo_005,gp,0.19889570131886103,0.801104298681139,0.39779140263772206,0.0,0.0,582.2808731378643,22.865286572575755,0.9614953474154821,0.6593046754590736,0.7367529294759647,0.9375,0.4927542747940019,0.8178096587094891,0.500480761553554
15.078424784321285,0.5210212558292566,2.7494439379042044,2.886932696253239,Si3,Si3,combo_013,gp,0.19456714128580188,0.8054328587141981,0.38913428257160376,0.0,0.0,557.0588070424853,25.164654646548335,0.8491444400896623,0.6304476085720125,0.7970215798465303,0.9375,0.49272115578477566,0.7792208347227745,0.5350474801422647
15.512052988746534,0.5935506299571295,2.3931556581843303,2.8849632571302775,A2,Si2,combo_006,gp,0.19289540341060274,0.8071045965893973,0.3857908068212055,0.0,0.0,570.4068211660262,24.54029227288783,0.9086027529854658,0.6193026894040183,0.7993123609404954,0.9375,0.4906098008688934,0.7974508772838371,0.5321909260907671
13.994986577262212,0.566487579783376,2.9486093306514913,2.840074625627425,A2,Si1,combo_005,gp,0.1930200356921432,0.8069799643078568,0.3860400713842864,0.0,0.0,548.0648393625142,24.372646507611787,0.8090810913741904,0.6201335712809548,0.7877391319255406,0.9375,0.4896269631615545,0.7560792962374536,0.5271580088403447
15.789092884944392,0.831485009780158,2.8683706101177764,2.7190874199157977,A2,Si3,combo_007,gp,0.18767439585258217,0.8123256041474178,0.37534879170516433,0.0,0.0,560.6729743978842,26.569861074940434,0.8652436359315453,0.5844959723505478,0.862118353149461,0.9375,0.4895809895085611,0.7838737183419695,0.5660648790261726
15.768007117422485,0.6814481307235678,2.733995116885963,2.9987327075103747,Si2,Si2,combo_011,gp,0.18597465601885688,0.8140253439811431,0.37194931203771375,0.0,0.0,554.6711870239858,26.901434330868064,0.8385088611322009,0.5731643734590459,0.8759490324364465,0.9375,0.4885844216700443,0.7724585884821749,0.5728484044746605
15.45387425198707,0.6260680777470988,1.4754575145433004,2.930009620874692,A2,Si3,combo_007,gp,0.19725589025290446,0.8027441097470955,0.39451178050580893,0.0,0.0,578.7158951343156,22.090367679936588,0.9456152640083313,0.6483726016860298,0.7107319203608436,0.9375,0.4878564383901506,0.8025489133152275,0.4868329248812978
15.86107894206123,0.7508976944566894,2.9531839736568957,2.5545830064058213,A2,Si3,combo_007,gp,0.18626550031524403,0.813734499684756,0.37253100063048805,0.0,0.0,563.1724483721658,26.55015646995747,0.8763774648488861,0.5751033354349603,0.8640406403571139,0.9375,0.487800764477053,0.7856247174064253,0.5666222243259967
15.680060242723034,0.6512723804087317,2.9068443703208056,2.897854283673512,Si2,PU,combo_012,gp,0.1863119605875454,0.8136880394124546,0.3726239211750908,0.0,0.0,548.8202864278958,27.043242975420227,0.8124462067819164,0.5754130705836361,0.8620935502987327,0.9375,0.4876710998524368,0.7618765207411623,0.5688298853397039
15.82279317160052,0.59645761823674,2.8883996376714975,2.9279968480728513,Si1,PU,combo_010,gp,0.18542823194547964,0.8145717680545204,0.3708564638909593,0.0,0.0,551.0175485936684,27.420595843325113,0.8222338426172882,0.5695215463031976,0.8698184877978591,0.9375,0.4872063735034574,0.7662706277079184,0.5737446377146376
15.979656545624234,0.7868468413716243,1.7953574371452152,2.947959693698763,A2,Si3,combo_007,gp,0.19211695704484555,0.8078830429551545,0.3842339140896911,0.0,0.0,576.3336094377091,23.873327422825938,0.9350034466214878,0.6141130469656371,0.7736467856801275,0.9375,0.48695341843079654,0.8012824056866127,0.5193000265585149
15.854976553154243,0.8021888662113252,2.653581268943495,2.827377107292562,A2,Si2,combo_006,gp,0.18613003468749412,0.8138699653125059,0.37226006937498823,0.0,0.0,564.9500117688376,26.019996376149905,0.8842955655980483,0.5742002312499609,0.8535707093799139,0.9375,0.4865641195004831,0.785403121440587,0.5598513806155518
14.022529949739152,0.5806989539954693,2.729509392845099,2.9933676570204506,A2,PU,combo_008,gp,0.19358596689369278,0.8064140331063072,0.38717193378738557,0.0,0.0,545.347213879367,23.747258574314788,0.7969755133597349,0.623906445957952,0.7467241837763509,0.9375,0.486317772028805,0.7458245416214714,0.5091384404905578
15.090216777831177,0.807366156481107,2.7485814440588747,2.8877871116600864,A2,Si3,combo_007,gp,0.1884827863522105,0.8115172136477895,0.376965572704421,0.0,0.0,554.0896159003821,25.403382547955996,0.8359182706879335,0.58988524234807,0.8178299914535005,0.9375,0.4862839000384447,0.764775017433472,0.5437292029715166
15.361589079033225,0.5254971090950831,1.7158002157544117,2.8459250726377565,A2,Si1,combo_005,gp,0.19556284365978627,0.8044371563402137,0.39112568731957253,0.0,0.0,579.7812212236493,22.144965559488973,0.9503607258702536,0.6370856243985752,0.7115809042036132,0.9375,0.48557107154406204,0.8013591735521823,0.48744997466748513
15.715602788355067,0.5554611824833746,2.725419968291189,2.9558455447164294,A1,PU,combo_004,gp,0.1862938814925883,0.8137061185074117,0.3725877629851766,0.0,0.0,552.0194471017554,26.514856747709885,0.8266967682953945,0.5752925432839221,0.840040552889669,0.9375,0.4854404893785905,0.763271304581052,0.5580153619945099
15.108121381099675,0.613096450792006,2.2411697186396586,2.8946780046177767,A2,Si1,combo_005,gp,0.19169788851377234,0.8083021114862277,0.3833957770275447,0.0,0.0,568.0539255076058,23.446234056185865,0.8981218526077224,0.6113192567584823,0.7564064343969912,0.9375,0.48464268735898036,0.7822992833356973,0.5107634347769938
15.347458154709425,0.889734602405134,2.8394920391661733,2.8305013341488214,A2,Si1,combo_005,gp,0.18458130765395708,0.8154186923460429,0.36916261530791417,0.0,0.0,555.68623109366,26.087121244774597,0.8430303433046897,0.563875384359714,0.8523452475187184,0.9375,0.4842733554674118,0.7659392355019964,0.559815773812053
15.92821072787843,0.5070511392479532,2.6856411531483304,2.8511168305700263,A1,Si2,combo_002,gp,0.18332684072663596,0.816673159273364,0.36665368145327193,0.0,0.0,560.0137581524202,26.414138710880113,0.8623071777119163,0.5555122715109065,0.8614745965380068,0.9375,0.4834300366710911,0.7733313662799063,0.564927139920403
15.976220868937073,0.6338005967980163,2.626568699435626,2.9188475114956396,Si1,Si1,combo_009,gp,0.18288775830615123,0.8171122416938488,0.36577551661230245,0.0,0.0,559.914799104302,26.780842012483372,0.8618663677163301,0.5525850553743415,0.8636028956245448,0.9375,0.48302815119106624,0.7739221241691695,0.5678206698304114
14.940745361076516,0.6449213444749573,2.6282995969163565,2.980423855984156,Si3,Si3,combo_013,gp,0.18885068807878724,0.8111493119212128,0.3777013761575745,0.0,0.0,552.6095150703593,24.74939039268727,0.8293252076708942,0.5923379205252484,0.7777561403674604,0.9375,0.48279157734704814,0.7563115857310772,0.5258714178312094
15.989868864290692,1.110376823197641,2.9976913322130216,2.7854664272354954,A2,PU,combo_008,gp,0.18027333419274782,0.8197266658072522,0.36054666838549565,0.0,0.0,549.7334474583197,27.721643956426554,0.8165138541314529,0.5351555612849855,0.8909438577372185,0.9375,0.4821020536435688,0.756961328255955,0.5829024488742609
