Eval#,A_Cell_D,B_Barrier_Type,C_Barrier_Thx,D_Barrier_Outer_Type,E_Barrier_Outer_Thx,F_ThermalResin_Thx,TP_NoTP,MaxT_TB,MaxT_Adj,MaxT_Adj_Y,MaxT_Adj_Z,Max_Power,Time_MaxT,Time_Max_Power,Unnamed: 15,CellD_x_Resin,Barrier_x_Outer,discrete_combo_id,oof_predicted_label
3,11.54301664,Si1,0.832240359,Si1,1.929074394,0.876228667,0,364.1952641,284.15683,0.001397127,0.055413117,1021.444996,198.9,86.4,,10.114322083626018,1.6054535662002674,combo_002,1
4,11.95834526,Si1,0.630832092,Si1,2.859924113,1.407055024,0,373.994549,282.3659108,-0.001449043,0.055281819,1054.14863,204.9,87.8,,16.826049776809587,1.8041319111650345,combo_002,1
14,12.74537761,Si1,0.603772511,Si1,2.67494356,2.357745042,0,391.8885594,283.4656292,0.001547422,0.055294116,1115.014304,219.7,89.9,,30.05035086839531,1.6150573900044791,combo_002,1
7,12.64066419,Si1,0.950744049,Si1,1.292510009,1.313394875,1,382.8636023,576.7764259,0.040199525,0.036517125,1061.104273,207.000002,86.0,,16.602183563742027,1.2288461993296864,combo_002,0
11,10.29484076,Si1,0.652583369,Si1,2.75909886,2.113774311,1,357.9663255,999.5243449,0.009680619,0.040460023,966.8617589,179.000002,80.9,,21.760969934323715,1.8005420294628594,combo_002,0
12,11.51866801,Si1,1.072443798,Si1,1.15773035,1.263005896,0,364.1421965,284.8933776,0.001394084,0.055352853,971.0141663,195.5,82.8,,14.548145610696587,1.2416007336138692,combo_002,1
