bin_label,bin_mid,n,error_rate,is_boundary_bin
0.0-0.2,0.1,104,0.0673076923076923,False
0.2-0.4,0.30000000000000004,81,0.20987654320987653,False
0.4-0.6,0.5,77,0.44155844155844154,True
0.6-0.8,0.7000000000000001,73,0.4246575342465753,False
0.8-1.0,0.9,91,0.07692307692307693,False
