input_csv,input_n,batch_size,batch_size_mode,batch_size_config,batch_size_recommended,batch_size_decision,bucket_ratio_mode,bucket_ratio_applied,bucket_ratio_config,bucket_ratio_recommended,bucket_ratio_decision,selected_model,gp_score,mlp_score,gp_composite_score,mlp_composite_score,holdout_accuracy,holdout_precision,holdout_recall,holdout_f1,holdout_tp,holdout_fn,holdout_tn,holdout_fp,holdout_tmax_rmse,holdout_tmax_r2,holdout_tmax_n,performance_source,cv_splits,boundary_count,notp_high_tmax_count,uncertainty_sparse_count,random_check_count,fill_mixed_count,n_unique_combos_selected,uncertainty_metric_source,uncertainty_high_threshold,uncertainty_mean,uncertainty_p90,uncertainty_high_ratio,itr_num,itr_folder,is_current_run
Initial_Dataset.csv,54,18,shadow,18,18,hold,manual,"{'boundary': 0.72, 'notp_high_tmax': 0.14, 'misclass_repair': 0.06, 'uncertainty_sparse': 0.05, 'random_check': 0.03}","{'boundary': 0.72, 'notp_high_tmax': 0.14, 'misclass_repair': 0.06, 'uncertainty_sparse': 0.05, 'random_check': 0.03}","{'boundary': 0.72, 'notp_high_tmax': 0.14, 'misclass_repair': 0.06, 'uncertainty_sparse': 0.05, 'random_check': 0.03}",hold,gp (hybrid fallback),,,,,,,,,,,,,,,,,,13,2,1,1,0,2,clf_uncertainty_scaled,0.7,0.8190594325608969,0.9818662033208538,0.8333333333333334,1,Itr_1,False
Itr_1_Dataset.csv,75,18,shadow,18,18,hold,manual,"{'boundary': 0.72, 'notp_high_tmax': 0.14, 'misclass_repair': 0.06, 'uncertainty_sparse': 0.05, 'random_check': 0.03}","{'boundary': 0.72, 'notp_high_tmax': 0.14, 'misclass_repair': 0.06, 'uncertainty_sparse': 0.05, 'random_check': 0.03}","{'boundary': 0.72, 'notp_high_tmax': 0.14, 'misclass_repair': 0.06, 'uncertainty_sparse': 0.05, 'random_check': 0.03}",hold,gp (hybrid fallback),,,,,0.92,0.9230769230769231,0.96,0.9411764705882353,48.0,2.0,21.0,4.0,9.153707107015546,0.8421369854942786,25.0,cv,5.0,13,2,1,1,0,2,clf_uncertainty_scaled,0.7,0.537261419317683,0.7486662444895656,0.2222222222222222,2,Itr_2,False
Itr_2_Dataset.csv,96,18,shadow,18,18,hold,manual,"{'boundary': 0.72, 'notp_high_tmax': 0.14, 'misclass_repair': 0.06, 'uncertainty_sparse': 0.05, 'random_check': 0.03}","{'boundary': 0.72, 'notp_high_tmax': 0.14, 'misclass_repair': 0.06, 'uncertainty_sparse': 0.05, 'random_check': 0.03}","{'boundary': 0.72, 'notp_high_tmax': 0.14, 'misclass_repair': 0.06, 'uncertainty_sparse': 0.05, 'random_check': 0.03}",hold,gp (hybrid fallback),,,,,0.8854166666666666,0.9,0.9152542372881356,0.907563025210084,54.0,5.0,31.0,6.0,11.537858346849795,0.774921229014615,37.0,cv,5.0,13,2,1,1,0,2,clf_uncertainty_scaled,0.7,0.5315533667182143,0.6884903906113862,0.1111111111111111,3,Itr_3,False
Itr_3_Dataset.csv,114,18,shadow,18,16,decrease,manual,"{'boundary': 0.72, 'notp_high_tmax': 0.14, 'misclass_repair': 0.06, 'uncertainty_sparse': 0.05, 'random_check': 0.03}","{'boundary': 0.72, 'notp_high_tmax': 0.14, 'misclass_repair': 0.06, 'uncertainty_sparse': 0.05, 'random_check': 0.03}","{'boundary': 0.7526881720430108, 'notp_high_tmax': 0.1577060931899642, 'misclass_repair': 0.053763440860215055, 'uncertainty_sparse': 0.01792114695340502, 'random_check': 0.01792114695340502}",severe_degradation,gp (hybrid fallback),,,,,0.8947368421052632,0.9,0.9264705882352942,0.9130434782608695,63.0,5.0,39.0,7.0,12.503377737968574,0.7358083791717975,46.0,cv,5.0,13,2,1,1,0,2,clf_uncertainty_scaled,0.7,0.47639274271131893,0.7314667931102883,0.16666666666666666,4,Try_1_current,True
