discrete_combo_id,B_Barrier_Type,D_Barrier_Outer_Type,n_total,n_notp,n_tp,notp_ratio,tp_ratio,notp_tmax_min,notp_tmax_mean,notp_tmax_max
combo_001,Si1,PU,45,22,23,0.4888888888888889,0.5111111111111111,284.0430047,365.78441111818177,421.1995387
combo_002,Si1,Si1,54,28,26,0.5185185185185185,0.48148148148148145,290.2857717,357.71773866071425,428.6143517
