sampling_rank,selected_bucket,selected_model_kind,A_Cell_D,C_Barrier_Thx,E_Barrier_Outer_Thx,F_ThermalResin_Thx,B_Barrier_Type,D_Barrier_Outer_Type,discrete_combo_id,p_tp,p_notp,boundary_score,clf_uncertainty_raw,clf_uncertainty_scaled,tmax_pred_given_notp,tmax_std_given_notp,notp_window_score,local_sparsity,combo_priority,acq_boundary,acq_notp_high_tmax,acq_uncertainty_sparse
1,boundary,gp,10.143265705779005,0.9490755890241347,2.725310184159133,2.327727393363375,A2,Si3,combo_014,0.4937918699231201,0.5062081300768799,0.9875837398462401,0.2728641935670637,0.9634774490154465,361.9347853280714,1.6886541121473237,0.0,0.526921355826571,0.875,0.9108789154287176,0.5070820826625806,0.6150492108289572
2,boundary,gp,14.902183781434843,1.0020404758052885,1.1338394345880063,1.717839827502674,Si1,PU,combo_001,0.4887371897209505,0.5112628102790495,0.977474379441901,0.2074353174416488,0.7323881179733717,417.303880022939,2.408799339914096,0.0,0.6287931995012436,0.875,0.8831891064003454,0.7079885687844266,0.6172803918670282
3,boundary,gp,9.225200147225802,0.9407522503827621,2.9362740092399067,1.744334925787772,A2,PU,combo_011,0.4956307361372865,0.5043692638627135,0.991261472274573,0.2455712325159426,0.8670809879273571,347.9068122426245,1.825782466607601,0.0,0.46390212195662966,0.8125,0.8826039947419447,0.45481119386369667,0.5753989109279688
4,boundary,gp,13.180643898755225,1.0226148007920681,1.2924316932112612,2.1274729003581996,Si1,PU,combo_001,0.4922117716916077,0.5077882283083923,0.9844235433832154,0.21052261995621005,0.7432922128480405,396.1273038584087,2.306203068430304,0.0,0.5542933774059987,0.875,0.879460745859484,0.6322469318028152,0.6002581392210967
5,boundary,gp,9.679706485949703,1.0018250174947618,2.8405025630799385,1.3557554541667534,A2,PU,combo_011,0.49335920700794844,0.5066407929920516,0.9867184140158969,0.23387179255199742,0.8257595421844609,349.2614813602302,1.7438098418264756,0.0,0.5069683886046025,0.8125,0.8791936072142147,0.46110378440332717,0.5596752077783385
6,boundary,gp,15.730092012955165,0.9176910971179142,1.4748502683928497,2.0572009442243124,Si1,PU,combo_001,0.48396129005159594,0.5160387099484041,0.9679225801031919,0.20090976251478265,0.7093404024687177,428.13244799781467,2.303902074013476,0.0,0.6560362621556168,0.875,0.8775221189565479,0.7413987297004637,0.603419703830082
7,boundary,gp,13.743794073540217,0.8224803246961632,1.8252713025597815,1.8712274390061805,Si1,PU,combo_001,0.48256533729708195,0.517434662702918,0.9651306745941639,0.22404627822371628,0.7910566454250156,406.3385801073906,1.674092708766679,0.0,0.5470164053405757,0.875,0.8742183398782033,0.6461065826468072,0.5563446243258121
8,boundary,gp,10.760506901769604,1.4337081068325932,1.2176663396206724,0.5297592358124706,A2,Si3,combo_014,0.48487000916684764,0.5151299908331524,0.9697400183336953,0.20311849672188056,0.7171414673898029,350.63606251821653,2.340578383528744,0.0,0.5950033969624562,0.875,0.8719919641297322,0.49647108185656746,0.6004497490409605
9,boundary,gp,12.310677364165251,1.174901305080715,1.320337852397653,0.8210280677716627,Si3,Si3,combo_006,0.500298747739583,0.49970125226041695,0.9994025045208339,0.16952711822139696,0.5984995214150864,378.6132239309604,1.9711577963721638,0.0,0.6084447367831126,0.84375,0.869574247342006,0.5713233075300945,0.5214574326799999
10,boundary,gp,9.651085520906841,0.9920934295451574,2.967574150631192,1.1297813973910833,A2,PU,combo_011,0.48889255474658455,0.5111074452534154,0.9777851094931691,0.210202817098666,0.7421626958397773,346.84614203886764,1.9213948977587016,0.0,0.5617917619172379,0.8125,0.86832874416885,0.4638910422906587,0.5553668477547665
11,boundary,gp,15.55732242777892,1.0983729437443133,1.6609771600806755,0.508711858258446,A2,Si3,combo_014,0.4749772765812992,0.5250227234187008,0.9499545531625984,0.22243662829994812,0.7853714962046239,421.107616823927,2.0044418149688483,0.0,0.5756472105167706,0.875,0.8679862029033278,0.7035625460033497,0.5897655716903147
12,boundary,gp,8.98342869444878,0.9151744844225594,2.9871608356549917,2.0918217478410375,A2,Si3,combo_014,0.45375402756363314,0.5462459724363669,0.9075080551272663,0.26886821122552107,0.9493639728127834,346.5134142433542,1.9588375754530012,0.0,0.5802212878340944,0.875,0.8679126029214879,0.4719620274050587,0.6435535113369186
13,boundary,gp,9.498285512031817,1.247595361695066,1.812176362235661,2.2213317181299614,A2,Si3,combo_014,0.504458606827793,0.495541393172207,0.991082786344414,0.17814437962632562,0.6289349696667512,347.1337708255233,1.7049637414789076,0.0,0.5568402538142774,0.875,0.8665941356862594,0.464711380500538,0.5039834087231031
14,boundary,gp,14.743997153426605,0.7830907921458694,1.6124334760514447,0.8162358061578476,Si1,PU,combo_001,0.49724028420496147,0.5027597157950385,0.9944805684099229,0.21042264353073026,0.7429391044553513,415.81076890300096,1.7315499053983987,0.0,0.38663362504292625,0.875,0.8640150910651799,0.6609261317114303,0.5208580563449211
15,boundary,gp,10.769450268147676,0.9704357063205271,2.492145699282831,2.4827508745562024,A2,Si2,combo_013,0.5024858510644901,0.49751414893550994,0.9950282978710199,0.20871861567753738,0.7369206202631944,372.92755062554227,1.6527561086922133,0.0,0.483321789434925,0.78125,0.8638128334256888,0.5263979881367682,0.5117705934748202
16,boundary,gp,10.444029680729225,0.983766650354064,2.706368850315117,1.6859893390924812,A2,PU,combo_011,0.5211319689213383,0.4788680310786617,0.9577360621573234,0.2553360443496169,0.9015694885409111,362.59489636061727,1.5125359764222654,0.0,0.43014975661467764,0.8125,0.8635262242331155,0.4884579524547404,0.5529018262219775
17,boundary,gp,10.678914470858263,0.8613632765797221,2.8529781758489987,2.321208465647323,A2,Si2,combo_013,0.49450162730387603,0.505498372696124,0.9890032546077521,0.22940854824158224,0.8099957356964177,373.37115949668043,1.413013036655151,0.0,0.41057434088388134,0.78125,0.8619139003087699,0.5140440423352446,0.5038529700276639
18,notp_high_tmax,gp,15.930093677422406,0.6106991828450091,2.902668489967393,1.970162952241835,Si2,Si2,combo_004,0.39497991563621326,0.6050200843637867,0.7899598312724265,0.10888191867655259,0.3843057369021425,431.32604271864653,2.6308161721725054,0.03346722909191172,0.5945688615637774,0.875,0.7150419899917968,0.7539324000329668,0.511230040518041
19,notp_high_tmax,gp,11.865313886129115,1.1350061691430535,1.2241307951836689,1.9286556134654016,Si1,PU,combo_001,0.28417204020848885,0.7158279597915111,0.5683440804169777,0.1665403745165552,0.5879505918656469,374.0975974632039,2.22454435290681,0.7721863986100743,0.6604661931579512,0.875,0.6221292562555876,0.572496029472875,0.5541229247355208
20,notp_high_tmax,gp,9.917098218381536,1.170285533305081,1.262966767357229,2.3970482626618077,Si1,PU,combo_001,0.3000353578729573,0.6999646421270427,0.6000707157459146,0.13726915436847395,0.48456708471446847,347.3335943914596,2.6041240024375836,0.6664309475136179,0.5930348079275872,0.875,0.6169015765867568,0.4931472990445358,0.5435772245822933
21,uncertainty_sparse,gp,9.401963659525032,1.5667201969295375,1.1052864821830826,0.541417389541862,A2,Si3,combo_014,0.39854280239126183,0.6014571976087382,0.7970856047825237,0.18952281933447232,0.6691226692906614,327.31116413083174,2.8609052962721804,0.00971465072492128,0.7761620411273377,0.875,0.7851574954829362,0.4564113881463019,0.6598274190277751
22,uncertainty_sparse,gp,9.077556397656906,1.4195325927122928,1.119345085473592,0.6003092883445125,A2,Si3,combo_014,0.7343211708929971,0.2656788291070029,0.5313576582140058,0.1834512388234782,0.6476783535429127,329.9116363605625,2.935554394969481,0.0,0.7223350955698459,0.875,0.6169697843539257,0.46108476467112564,0.6512791887819852
23,random_check,gp,8.464429441433898,0.26655356762064786,2.515364023178747,1.3089174459154789,A1,PU,combo_007,0.9994928280541444,0.000507171945855589,0.001014343891711178,0.0026617009170221183,0.009144790867510374,358.45562642464625,2.5079945034633386,0.0,1.4909131719601622e-10,0.6875,0.08963150326470386,0.446923750276352,0.2510446040320683
