A_Cell_D,C_Barrier_Thx,E_Barrier_Outer_Thx,F_ThermalResin_Thx,B_Barrier_Type,D_Barrier_Outer_Type,discrete_combo_id,CellD_x_Resin,Barrier_x_Outer,selected_model_kind,p_tp,p_notp,boundary_score,clf_uncertainty_raw,clf_uncertainty_scaled,tmax_pred_given_notp,tmax_std_given_notp,tmax_scaled,notp_window_score,local_sparsity,combo_priority,acq_boundary,acq_notp_high_tmax,acq_uncertainty_sparse,MaxT_Adj_Y_pred_given_notp,MaxT_Adj_Y_std_given_notp,MaxT_Adj_Z_pred_given_notp,MaxT_Adj_Z_std_given_notp,Max_Power_pred_given_notp,Max_Power_std_given_notp
10.212855262185121,1.4131541141224702,1.2744658407044709,2.4652976867018435,Si3,PU,combo_005,25.177728452485727,1.8010166461000758,hybrid,0.49064502,0.50935495,0.98129004,0.26212743,0.9500319124265553,350.0032951939694,1.2366949870798787,0.44085187699416734,0.0,0.37590727745925395,0.28846153846153844,0.8110794203947693,0.3864994863283454,0.4722985096786349,0.0003656700353190937,0.0013270260491760446,0.05495545585186465,0.0034746588148976422,915.0146485052061,9.740761593882517
14.1358028996537,0.5220816351414793,2.97967604300704,0.7739155337135231,Si1,PU,combo_001,10.939917445554661,1.5556341407250083,hybrid,0.48090595,0.51909405,0.9618119,0.1971163,0.7144112176202824,408.2673491201656,1.3172324227303787,0.7049214560460492,0.0,0.4767737839355686,0.36538461538461536,0.7868149609271239,0.591042010482474,0.4232017156789006,0.002914702694257989,0.0014042067506512157,0.05516458930271801,0.0014100144113257142,1220.4426573107917,5.877086300706121
14.458934035760084,1.1100027605199683,1.1190825736752466,1.6846262991994856,Si2,PU,combo_003,24.357900535031995,1.2421847460293145,hybrid,0.4951828,0.5048172,0.9903656,0.213652,0.7743417717731698,410.30507009851186,1.143322643992458,0.7141569981121524,0.0,0.3109305095347645,0.3269230769230769,0.7867451499383065,0.5729415245438194,0.3990595933576356,0.0005327398937497588,0.0014252108378968215,0.05513804929611868,0.00268653292025866,1231.4522689097405,8.310432084736009
10.676478439508653,1.0469105947097082,2.174735375919375,1.1731575269416548,Si2,Si2,combo_004,12.525191042539868,2.2767535057399932,hybrid,0.4833972,0.5166028,0.9667944,0.23106432,0.8374494728913955,352.4810626684713,1.1032360118954063,0.45208183731943014,0.0,0.2665481603735458,0.34615384615384615,0.7789796249585482,0.38602065303265026,0.4140386983881822,-0.00014760621778549075,0.0013598266985643686,0.05363024420019507,0.0022645002166014638,956.3441478777509,7.794975965347446
11.744131495344618,1.3018109931095883,1.7460600684975032,1.5132878524902307,A2,PU,combo_011,17.77225152995294,2.2730401917997303,hybrid,0.48322517,0.51677483,0.96645033,0.20199536,0.7320944499813083,371.7239529712595,1.0085274298637543,0.5392961933344712,0.0,0.4303373082379907,0.3076923076923077,0.7789508997661021,0.45735166910556135,0.3880823025074085,0.0003550890782628577,0.0014469509065802198,0.055185533134561114,0.003035272405010629,1057.4992731835343,7.647540871463994
11.626999525990609,1.2639046669970209,1.5844916852301687,1.0952280407347617,Si3,Si3,combo_006,12.734215910474697,2.0026464357803846,hybrid,0.48900414,0.51099586,0.9780083,0.2413877,0.8748646192667671,365.4707137209835,1.1245210553632752,0.510954700677218,0.0,0.17651461203223884,0.3269230769230769,0.777332959569861,0.41681129945574996,0.41251561038824613,0.00022090656849051973,0.0020982100982474233,0.055286185558324354,0.0018993334583590209,1031.2186215244744,8.067460867034685
11.962352158101073,1.0836491022251948,1.9010239441091872,0.5588881889061612,Si3,Si3,combo_006,6.6856173326988175,2.06004289034252,hybrid,0.48970485,0.51029515,0.9794097,0.19621652,0.7111501445915377,370.98472102889053,1.1687002346573137,0.5359457799202184,0.0,0.3448096925222554,0.3269230769230769,0.7750672205068166,0.4521849684625818,0.3841362255324731,0.00017042599068625724,0.003906618065587479,0.04986564916729387,0.0033657778414375845,1080.3944425108007,6.842955430455991
13.227191801537064,0.6429255409712911,2.936133314966721,2.495855593814728,Si3,PU,combo_005,33.01316064832659,1.8877150998888093,hybrid,0.5012363,0.49876368,0.99752736,0.20249873,0.7339188427405954,409.02967699207056,1.2456381965025827,0.7083765469068475,0.0,0.26204178025844643,0.28846153846153844,0.7738058067111259,0.5625928395617521,0.38032332975956756,0.002746673724060064,0.0034544037598835,0.05526804516374597,0.0009391220864644413,1185.3845323732025,7.760785187982012
14.977524550203592,0.7866263585145427,1.9029684084427503,0.8415788412724936,Si2,Si2,combo_004,12.604767756090665,1.4969251095015355,hybrid,0.49292096,0.507079,0.98584193,0.2258808,0.8186627802166502,420.19318029382976,1.181831373055686,0.7589727793862084,0.0,0.15320711477288199,0.34615384615384615,0.7730439245054893,0.5913788935760588,0.3970025989104769,-0.00030374013386721277,0.0004527699965818703,0.043657831489305715,0.0017263012709878205,1322.9540178932466,6.114114362906882
10.296914218725611,0.8070235807384816,2.976347566583929,2.43861095606049,Si2,Si2,combo_004,25.110167827399316,2.4019826707068286,hybrid,0.4853227,0.5146773,0.9706454,0.22484176,0.8148969626649992,358.3414461452457,1.2251201718452094,0.4786427937498688,0.0,0.21850068195516836,0.34615384615384615,0.771762076285346,0.4027064961230843,0.40908092305456334,0.0017074290885010323,0.0007310959619877916,0.055453298317966845,0.0006252758772956996,950.265655293864,6.9686844224901145
