A_Cell_D,C_Barrier_Thx,E_Barrier_Outer_Thx,F_ThermalResin_Thx,B_Barrier_Type,D_Barrier_Outer_Type,discrete_combo_id,CellD_x_Resin,Barrier_x_Outer,selected_model_kind,p_tp,p_notp,boundary_score,clf_uncertainty_raw,clf_uncertainty_scaled,tmax_pred_given_notp,tmax_std_given_notp,tmax_scaled,notp_window_score,local_sparsity,combo_priority,acq_boundary,acq_notp_high_tmax,acq_uncertainty_sparse
13.017648562437827,1.241469177034505,1.6251081557028384,2.3333560374517877,A2,PU,combo_011,30.374808866589888,2.017521684652465,mlp,0.48703495,0.5129651,0.9740699,0.33213338,1.0,397.79068,2.5456057,0.6410032030835079,0.0,0.5886472697332883,0.28125,0.8162230586301593,0.5480377112718855,0.5236946879503476
13.867175887700887,1.1286953869100176,1.4249207920883749,1.509920066572646,Si3,Si3,combo_006,20.938327139531914,1.608301524742317,mlp,0.49831018,0.5016898,0.99662036,0.2752719,0.8287992324856273,406.4563,1.7456113,0.6797017342278835,0.0,0.5479882852892364,0.34375,0.8062218091351931,0.573268392458572,0.4529021990588095
12.987838450011896,1.4450318436155516,1.4835420295858277,2.3479733974611596,A2,Si3,combo_014,30.495099171151114,2.143765474093566,mlp,0.5007949,0.4992051,0.9984102,0.2816397,0.8479716582468538,393.97467,2.2518663,0.6239618393819137,0.0,0.3735433850398777,0.375,0.7886028682750837,0.5224890958246364,0.447086732278962
11.296614292289364,1.1540323915261381,1.882295867391274,2.123103565809263,Si3,Si3,combo_006,23.983882085531434,2.1722304014053186,mlp,0.50982463,0.49017537,0.98035073,0.30613297,0.9217169616674414,368.44122,1.4677554,0.5099357189125571,0.0,0.3880099345695714,0.34375,0.7872144493983204,0.4370303337418325,0.45651260643033925
15.124603851874099,1.0003521368275903,1.4349869159921118,0.5010690984712911,Si2,PU,combo_003,7.578471616793972,1.4354922277323428,mlp,0.48661757,0.51338243,0.97323513,0.2531214,0.7621076926679927,414.44492,1.2421373,0.7153769404971668,0.0,0.5993862584894927,0.3125,0.7863784262650839,0.5977117670183091,0.4236781210819222
15.662099379274252,1.065882293010878,1.7737801764592904,1.717101251244529,Si3,Si3,combo_006,26.893410441267978,1.8906408817816682,mlp,0.49247056,0.50752944,0.9849411,0.25107512,0.7559466526544327,425.36874,2.3579612,0.7641600808545881,0.0,0.5123725140667187,0.34375,0.7835280235143371,0.6319218777186548,0.4328911995372587
12.661231965622498,1.475250538496211,1.3701239899802604,2.110664829553655,A2,Si3,combo_014,26.723617008659897,2.021276154024956,mlp,0.48331958,0.5166804,0.96663916,0.2855743,0.8598180796402043,388.15054,2.4849937,0.5979527140759732,0.0,0.4199468246765191,0.375,0.7798662921393603,0.5101010506405042,0.46231649069439806
8.105116847173331,1.3124688515634988,2.2402566294061703,2.033791008714776,Si3,Si3,combo_006,16.484113768363773,2.940267045604231,mlp,0.5243114,0.47568858,0.95137715,0.29071063,0.8752827728215422,319.02948,0.24333183,0.2892749785114159,0.0,0.4608203051154684,0.34375,0.7752353960586851,0.2836618083376548,0.42952754129326887
14.09628430494939,1.1812757407844658,1.4648090016478204,1.9461765077125341,Si3,Si3,combo_006,27.433857360329412,1.7303433385292828,mlp,0.5075701,0.4924299,0.9848598,0.25517312,0.7682850635382488,408.87555,2.057519,0.6905055142561952,0.0,0.4420185690815488,0.34375,0.7747809303109078,0.5718101442874863,0.42134305350060114
15.64938252360735,1.0966601876537727,1.9600220214776067,2.355205119084845,Si3,Si3,combo_006,36.85750583011694,2.149478117879159,mlp,0.5180047,0.48199528,0.96399057,0.21932875,0.6603634494968705,428.78555,2.5858235,0.7794187131871287,0.0,0.6128403429508896,0.34375,0.7727378878407052,0.6538010976375564,0.4185371331567089
15.526975607004665,1.0867689101655942,1.3301029022683282,1.2306762689074726,Si3,PU,combo_005,19.108680407445842,1.4455144815062448,mlp,0.5285891,0.47141087,0.94282174,0.25284952,0.761289086043605,426.1273,1.8756002,0.7675475566522483,0.0,0.5431704963023954,0.375,0.7704708830382405,0.6380605265800161,0.4355374100868308
15.306067100962006,1.063689025242281,1.4327060542147443,1.253037256881733,Si3,PU,combo_005,19.17907233383717,1.523953706266396,mlp,0.5145952,0.4854048,0.9708096,0.22991188,0.6922275530804437,423.4415,1.8080937,0.7555534719241955,0.0,0.48830418124980046,0.375,0.767275022581635,0.6238369234105594,0.4019420330508744
13.866403863991707,1.252190185144562,1.607519868528177,2.2472711748579535,A2,PU,combo_011,31.16156970248751,2.01292060179586,mlp,0.46319747,0.53680253,0.92639494,0.2945585,0.8868680799677188,406.63226,2.3204536,0.6804875479327962,0.0,0.5478967890054449,0.28125,0.7669194827911956,0.570464005626286,0.47400399744426297
11.435769247690047,1.3640683925996817,1.2014008728327012,1.9825807075304347,Si3,Si3,combo_006,22.67233548624012,1.6387929574727573,mlp,0.5121145,0.48788548,0.97577095,0.28602022,0.8611607093585769,367.61792,0.6255302,0.5062590484076779,0.0,0.31742243195828534,0.34375,0.7650239938720899,0.42314212810499163,0.4098345416525048
12.555462867559687,1.0231331342524825,1.2208216078644893,1.8887856773561016,A1,Si2,combo_009,23.714578436823103,1.2490630380175503,mlp,0.49534473,0.50465524,0.99068946,0.24909672,0.7499900175395195,394.71338,2.6129456,0.6272607305614343,0.0,0.4012781855544174,0.3125,0.7644444285384314,0.5231463423331633,0.41396427731850605
12.3404280203386,1.0256979827519972,1.3284707878185054,1.6720325762802204,A1,PU,combo_007,20.633597655247367,1.3626098072103974,mlp,0.50019646,0.49980354,0.9996071,0.1870886,0.5632935551350808,389.12286,1.8829957,0.602294859489123,0.0,0.5748187440560991,0.28125,0.7626882303576504,0.5162108330241014,0.35705450532206207
10.665773551769657,1.0449422529053023,1.8706538752359987,1.545888102883613,Si2,PU,combo_003,16.48809244173141,1.9547252747951387,mlp,0.5094948,0.49050522,0.98101044,0.27351674,0.823514764664728,353.40216,2.4018054,0.44277494995991207,0.0,0.3467467732316472,0.3125,0.7619699591199726,0.3874862580034927,0.42778408859676526
15.982704093023102,0.8234755776831209,1.7740720547395992,0.5635502208161678,Si2,PU,combo_003,9.007056420862638,1.4609050101281726,mlp,0.5421701,0.4578299,0.9156598,0.2659059,0.8005997013606744,425.92245,1.8490422,0.7666328182569354,0.0,0.5977361913562412,0.3125,0.7602382598459528,0.6364925807366892,0.4476362850539085
14.564079784564871,0.8648749822354678,1.898223996509789,2.3433439814168846,A1,Si2,combo_009,34.128648708035406,1.6417264452603424,mlp,0.50216293,0.49783707,0.99567413,0.19855143,0.5978063083228058,419.30023,2.9294171,0.737059593053167,0.0,0.5033954480230431,0.3125,0.759676036767307,0.6118164113987397,0.38161455522370324
10.362047325489357,1.167739265691122,1.9416218031124859,1.5303369407006107,Si3,Si3,combo_006,15.857423803484327,2.2673080186164465,mlp,0.51400375,0.48599625,0.9719925,0.22588328,0.6800980784593578,349.749,2.3147552,0.4264607978312305,0.0,0.4729925943439855,0.34375,0.759122007654968,0.3913760667116929,0.3996730873963886
11.197149780252168,1.6733553433017267,1.1925239019586802,0.631053064516036,A2,Si3,combo_014,7.06599568267319,1.995516243357582,mlp,0.4840824,0.5159176,0.9681648,0.29044488,0.874482650573415,344.48944,1.1150858,0.4029729270415722,0.0,0.2593173739506992,0.375,0.7588106743596168,0.3506300747631609,0.4191270433297668
11.702191399638519,1.3214216318782364,1.8427015796865813,2.2049568613947406,A2,Si3,combo_014,25.802827219987474,2.434985728494046,mlp,0.51368654,0.48631346,0.9726269,0.2431172,0.731986638846783,375.703,1.7690942,0.5423650484891757,0.0,0.38152194695647296,0.375,0.75822112019547,0.463729738404862,0.39915064982361603
15.768606547158665,1.2541825259734727,1.1959938088430826,1.8931624631560695,Si3,Si3,combo_006,29.85253401135782,1.499994536223452,mlp,0.51179403,0.48820597,0.97641194,0.26312527,0.7922277145944111,427.9156,2.5262415,0.7755336644035795,0.0,0.33208063196341375,0.34375,0.7572353361320807,0.6227045230261997,0.4215219265182901
11.727623065776493,0.8815288443471309,1.9861539643606876,0.8893610002979839,Si1,PU,combo_001,10.43009058089669,1.7508520088983495,mlp,0.475767,0.524233,0.951534,0.25833353,0.7778005691931669,370.9819,1.1872505,0.5212817730879112,0.0,0.37245331051918523,0.40625,0.7568192642459763,0.44824951052206913,0.40822247987563076
15.843588750136181,0.9234015501997754,1.3119043933410244,1.5658063322925158,A1,PU,combo_007,24.8079915912017,1.2114145505249978,mlp,0.4949243,0.5050757,0.9898486,0.2926976,0.8812652501712273,429.73846,2.320657,0.7836741819585296,0.0,0.2492759331212374,0.28125,0.7561854031293983,0.6128335914950518,0.4272534753699663
15.351004369665635,1.1366065029834724,1.1081082416577104,1.1413958136612687,Si2,PU,combo_003,17.5215721230322,1.2594830334777347,mlp,0.5184077,0.4815923,0.9631846,0.24705012,0.7438280353611502,418.91006,2.2660077,0.735317201756374,0.0,0.4524348453721655,0.3125,0.756065971340344,0.6021484519822204,0.41334528093662437
