accuracy,tp_precision,tp_recall,tp_f1,confusion_matrix_labels_NoTP0_TP1,tmax_mae,tmax_rmse,tmax_r2,tmax_eval_n,model,fold,cv_model_group
0.7619047619047619,0.7555555555555555,0.7906976744186046,0.7727272727272727,"[[30, 11], [9, 34]]",1.5306859348653543,1.9163073229794296,0.9977021995366985,41,gp,0,gp
0.8214285714285714,0.8333333333333334,0.813953488372093,0.8235294117647058,"[[34, 7], [8, 35]]",1.450171188689087,2.2524394367825225,0.997398610409839,41,gp,1,gp
0.8333333333333334,0.8372093023255814,0.8372093023255814,0.8372093023255814,"[[34, 7], [7, 36]]",1.829064048997373,2.230198660219025,0.9970429040912543,41,gp,2,gp
0.8095238095238095,0.85,0.7727272727272727,0.8095238095238095,"[[34, 6], [10, 34]]",1.3301380545828239,1.7681088581781037,0.9976122387533326,40,gp,3,gp
0.7469879518072289,0.7894736842105263,0.6976744186046512,0.7407407407407407,"[[32, 8], [13, 30]]",1.5256602560860855,1.9531376456966758,0.997804075971605,40,gp,4,gp
0.8095238095238095,0.7872340425531915,0.8604651162790697,0.8222222222222222,"[[31, 10], [6, 37]]",3.285103582421877,4.495027144986564,0.9873571020715499,41,mlp,0,mlp
0.8571428571428571,0.8444444444444444,0.8837209302325582,0.8636363636363636,"[[34, 7], [5, 38]]",3.61107394594131,5.226029804531444,0.9859962961635975,41,mlp,1,mlp
0.8333333333333334,0.9393939393939394,0.7209302325581395,0.8157894736842105,"[[39, 2], [12, 31]]",3.753750036299546,4.724477955493315,0.9867295404342716,41,mlp,2,mlp
0.7261904761904762,0.7333333333333333,0.75,0.7415730337078652,"[[28, 12], [11, 33]]",2.516992799355468,3.258150200605674,0.9918919745690441,40,mlp,3,mlp
0.7349397590361446,0.7837837837837838,0.6744186046511628,0.725,"[[32, 8], [14, 29]]",3.8041950354882816,4.957794983724892,0.98585090258853,40,mlp,4,mlp
