Eval#,A_Cell_D,B_Barrier_Type,C_Barrier_Thx,D_Barrier_Outer_Type,E_Barrier_Outer_Thx,F_ThermalResin_Thx,TP_NoTP,MaxT_TB,MaxT_Adj,MaxT_Adj_Y,MaxT_Adj_Z,Max_Power,Time_MaxT,Time_Max_Power,Time_TP,Unnamed: 16,CellD_x_Resin,Barrier_x_Outer,discrete_combo_id,oof_predicted_label
9,8.371000135,Si1,0.886820718,Si1,2.213556803,1.582883802,1,323.8675239,584.127753,-0.000200125,0.045028125,833.6470488,159.000002,73.7,,,13.250320520231313,1.9630280333702443,combo_002,0
23,10.80084342,Si1,0.912411599,Si1,1.343782688,2.261104933,1,366.059186,1039.822171,0.000260871,0.044087199,997.6339585,178.000002,85.1,,,24.42184033752259,1.226082911066598,combo_002,0
8,10.23611342,Si1,0.797871794,Si1,2.149150635,0.506317296,1,343.8282017,949.9467486,0.009129852,0.042688226,938.1135176,164.000002,81.0,,,5.1827212683637125,1.7147466727236889,combo_002,0
11,10.29484076,Si1,0.652583369,Si1,2.75909886,2.113774311,1,357.9663255,999.5243449,0.009680619,0.040460023,966.8617589,179.000002,80.9,,,21.760969934323715,1.8005420294628594,combo_002,0
17,11.28418233,Si1,0.814551537,Si1,1.856844474,0.895757216,0,362.9578978,284.7226064,0.002456591,0.055318405,1009.353432,196.4,85.4,,,10.107887748757193,1.5124955202666568,combo_002,1
10,10.88312966,Si1,1.042944655,PU,1.64738265,1.665442934,1,357.621085,911.564777,0.000788785,0.040753879,983.1688155,183.000002,84.1,183.000002,,18.12523139205282,1.718128929557236,combo_001,0
15,11.8240527,Si1,0.773310662,PU,2.825580569,2.034109142,0,383.0972791,284.3600753,0.002578062,0.055249327,1075.110421,206.0,85.3,212.000002,,24.051413692559784,2.1850515803477264,combo_001,1
2,11.59716218,Si1,0.749987548,PU,2.945467538,2.354427476,1,381.9299798,946.1274778,-0.010388825,0.035658939,1064.054957,202.000002,84.6,202.000002,,27.30467728022006,2.209063976538217,combo_001,0
15,11.93910776,Si1,0.7018924,Si1,2.069095869,2.33935541,0,384.2298315,284.9742842,-0.001446639,0.055236132,1071.660859,211.3,87.7,218.000002,,27.929816328928982,1.4522826653224954,combo_002,1
18,10.83553945,Si1,0.650975953,Si1,2.400359264,2.458087857,0,369.6356158,284.7000084,0.000261739,0.055232543,1006.70706,198.7,82.5,205.000002,,26.634707946089463,1.5625761594247787,combo_002,1
17,11.88631635,Si1,0.515519353,Si1,2.93656055,2.129931783,0,384.2184699,284.5198441,-0.00144004,0.055398758,1080.200494,209.5,86.4,217.000002,,25.31704297665755,1.513853794781324,combo_002,1
1,15.40154821,Si1,0.789994775,PU,2.323404217,0.662406689,1,420.9046211,926.4823212,0.000375889,0.034205876,1339.175827,215.000002,99.8,215.000002,Itr_5,10.202088555259976,1.8354771916429664,combo_001,0
2,15.06063858,Si1,0.790202334,PU,2.34707222,0.62526591,1,417.7813849,554.4796855,-0.001102098,0.039308162,1314.298943,208.000002,98.5,208.000002,,9.416903886904809,1.8546619463105611,combo_001,0
4,13.48140692,Si1,1.071066547,PU,1.174777175,1.798513209,0,397.1136737,284.3697919,-0.000327885,0.055292361,1126.930399,207.5,87.2,214.000002,,24.246488421524006,1.2582645323216648,combo_001,1
5,13.21637811,Si1,1.072271231,PU,1.197705755,1.785639141,0,392.8632638,284.4974751,-0.000321259,0.055378313,1103.885314,205.7,86.2,213.000002,,23.599682055471607,1.2842654242896345,combo_001,1
15,15.98699135,Si1,0.760847496,PU,2.786368571,1.162305709,0,428.7951544,280.8678106,-0.000390525,0.055086733,1371.536449,240.4,102.1,248.000002,,18.581771315838616,2.1200015501784484,combo_001,1
