discrete_combination_id,group_min_distance
1,0.5897117234574526
2,0.5742968148884989
3,0.6805618669318338
4,0.5799688145391674
5,0.6616854158330002
6,0.5703261928022578
7,0.6169024281133346
8,0.7403523378140395
9,0.5698588901693851
10,0.6569543497508987
11,0.694825182456932
12,0.686498367396627
13,0.6286124215231993
14,0.5461123805586134
15,0.6824105090145653
16,0.6288153350686089
17,0.5879487215511979
18,0.7590068458981514
19,0.6237130564838933
20,0.5586513381361289
21,0.5891259791032993
22,0.6250501361166049
23,0.6030482146556015
24,0.6400993620509016
25,0.647620855076605
26,0.548464473960448
27,0.6900315619983957
28,0.7028287309760259
