trial_number,seed,score,min_over_groups_min_distance,group_min_distance_q10,mean_group_min_distance,global_mean_nn_distance
190,95423,0.5542660781589314,0.5461123805586134,0.5664966245594082,0.631552939511631,0.18551914236504705
100,32667,0.5258914657851179,0.5208200823196053,0.5334985409833869,0.6082322734864559,0.18808893180052605
164,85053,0.5238508132385035,0.5185517249984618,0.531799445598566,0.6087056006082736,0.18917349081595777
101,66299,0.5196929081768882,0.5113896026166815,0.5321478665171983,0.6220767502409352,0.18012529730546128
148,77087,0.5179680969192624,0.5089749833448036,0.5314577672809504,0.6035220579896531,0.18689962197165805
230,77959,0.5138693092513571,0.48858985723462056,0.5517884872764619,0.6074977280100246,0.1906231505729466
155,78596,0.5127379397497906,0.5061519049264124,0.5226169919848581,0.6062496198644014,0.18622021634426317
141,72854,0.5125753562039411,0.49840561822874846,0.53382996316673,0.6069992877091537,0.1905843760524394
1,83798,0.5112334763020001,0.5055882120391186,0.5197013726963224,0.6098721028262691,0.1819525653620474
55,18791,0.5104222405854479,0.49241767936925235,0.5374290824097413,0.6073953213311819,0.1814240921856968
146,77546,0.5079022699911662,0.4910468240944244,0.533185438836279,0.6111464989153362,0.19420830821332494
135,47182,0.5041596018931531,0.49480829325413844,0.5181865648516752,0.6146963490388747,0.19466593834278467
74,44078,0.5023678633650661,0.49018801119087324,0.5206376416263554,0.6091201294228566,0.18691690316614162
21,77633,0.49989108794320414,0.4916363127804999,0.5122732506872606,0.5964039812320985,0.18851094967719056
143,96554,0.49840107266344613,0.48523219466492407,0.5181543896612292,0.5956629231988203,0.19024778201191264
174,91711,0.4962064042598707,0.48770135618717403,0.5089639763689157,0.5993799244096837,0.19584171432590852
187,97318,0.49600246632585493,0.47586186283555854,0.5262133715612995,0.5990589340844947,0.18583810192320943
275,84241,0.49561683914644794,0.4823532852810805,0.515512169944499,0.6077981196603488,0.19097595986818994
170,93705,0.49482067985127626,0.48294065542646175,0.512640716488498,0.6018663973864266,0.1899593150484836
43,31494,0.49262916021030856,0.4860966562480635,0.5024279161536762,0.5820445426220464,0.19201192004883333
297,77615,0.49217834915899605,0.47599909494591824,0.5164472304786126,0.5943329035756807,0.19551233598157694
153,70845,0.49174841720908086,0.4754617324288902,0.5161784443793668,0.5957689806670131,0.18613841650985496
52,98056,0.4911506224985625,0.4638984903586493,0.5320288207084324,0.6137953863651716,0.18907574673034103
44,98519,0.4898669210191973,0.45467153465935306,0.5426600005589638,0.610097174558107,0.18659523289091764
17,53472,0.4894770332939431,0.48070091127013326,0.5026412163296577,0.5900672426151444,0.18189074545660114
103,25309,0.4880587744845811,0.4822355753591801,0.4967935731726827,0.5969658128271433,0.18827553500280583
122,17288,0.4865705825754405,0.4590942321149012,0.5277851082662495,0.6124030397170582,0.19303982192392455
76,49770,0.4862769907504224,0.46851534229270086,0.5129194634370047,0.5946804786384308,0.18739370140025735
5,41780,0.4854845908705435,0.46495993937624397,0.5162715681119927,0.5947827213391053,0.1957291156516429
229,25887,0.4854442756425385,0.47253054591783467,0.5048148702295943,0.603830087250771,0.181799681047658
48,40165,0.485019279735161,0.46945814222143045,0.5083609860057567,0.6080558911077402,0.1929819278729903
244,16593,0.4847212871626229,0.4690973051145454,0.5081572602347392,0.593203826757618,0.18607885591827808
104,36433,0.484676208384923,0.47820684380403367,0.49438025525625684,0.5855432422052175,0.1890630331286856
199,93178,0.48455533393483946,0.4652878314025525,0.51345658773327,0.6082530524492478,0.1952281310058902
292,48806,0.4833703483599086,0.46445217806100336,0.5117476038082664,0.5959237547264425,0.18879057086125897
193,68584,0.4833487416312007,0.4469185476825934,0.5379940325541115,0.5982040257773423,0.192696296946902
86,52771,0.4830250072309199,0.46087163311971246,0.5162550683977312,0.6101666573408686,0.18827618497626136
125,55119,0.4822467238216691,0.46834691603733763,0.5030964354981664,0.591526744382252,0.1960875797036056
91,76896,0.4822046833046556,0.4658393683351591,0.5067526557589004,0.5881305206040982,0.1869129678589075
58,13180,0.48149268456504285,0.4684920608980586,0.5009936200655192,0.5987416551901191,0.19349420658216474
11,98404,0.48139954370114635,0.4492827569950423,0.5295747237603026,0.5996141599003775,0.18647709830119158
241,75732,0.48059907862901013,0.4441439016497507,0.5352818440978993,0.5918484515844872,0.18725709144165567
169,84875,0.48040365985647615,0.45951999014245853,0.5117291644275027,0.6109289566825682,0.1857836526391193
162,81834,0.4801884674091426,0.4681328994581879,0.49827181933557463,0.6005759436303973,0.18428405231464098
136,90211,0.47850479141120206,0.45134729373406235,0.5192410379269116,0.5963659385253351,0.1779753140954795
295,64629,0.4784804321813865,0.46927403260527983,0.49229003154554646,0.5885124266867706,0.1897902607879847
42,31725,0.4784766164347135,0.44751168686506,0.5249240107891937,0.601976898688281,0.19848472370169887
80,43138,0.4782748572527221,0.4646481723340131,0.49871488463078567,0.5967338735781328,0.17647843434909655
126,33033,0.4770786506892242,0.4662295094362041,0.49335236256875437,0.5951566189054075,0.18659678012910272
132,47164,0.47687830943311005,0.47267266152787124,0.48318678129096826,0.5978349613636198,0.18208096256552717
211,86902,0.47659631659090296,0.4536166977065149,0.511065744917485,0.6181560377769963,0.19670391003128543
160,73145,0.47568011721811493,0.4444180084547552,0.5225732803631545,0.5872938269023253,0.1857387221575181
194,94905,0.47553117757841357,0.459461295101582,0.49963600129366087,0.5879248689298002,0.18412715421738202
109,28160,0.4754108678744951,0.4701865916169509,0.4832472822608113,0.6033710841960257,0.18801203866913777
35,64407,0.4749246136222989,0.4524636453508155,0.508616066029524,0.5912947521223001,0.1937026441852842
201,93145,0.4746053377477776,0.46313826668660285,0.49180594433953956,0.590597928657303,0.18568911755757087
27,67557,0.47459729522778865,0.44338058976244876,0.5214223534257985,0.6147758800461827,0.18214259085217685
123,54492,0.47448976199834414,0.4549343835288387,0.5038228297026023,0.6030069061004208,0.1909852852800043
249,94610,0.47323857980853035,0.46003328920538133,0.49304651571325386,0.5911813237541308,0.1919989150294299
4,56916,0.4730928647133742,0.4437851324304271,0.5170544631377949,0.5953133087350136,0.19166219432861759
231,28223,0.4729833746956093,0.4503099117314296,0.5069935691418789,0.6032559751787162,0.19041174867379074
79,43071,0.4729144709347015,0.4616050054257117,0.4898786691981862,0.6092041735094578,0.18316773674134512
207,64054,0.4728200968503239,0.4548250120035887,0.49981272412042677,0.5974611792175885,0.18552631612828335
139,83018,0.4722703921389932,0.4447635205859638,0.5135306994685374,0.6070923104291577,0.18913867377750235
140,60316,0.4721338227858848,0.4379234492698828,0.5234493830598879,0.5960355498291822,0.17148911794843472
92,99934,0.471880869557691,0.4549971029512167,0.4972065194674024,0.5914545045857535,0.18381555946574998
283,83700,0.4715194602221352,0.45609165172228233,0.4946611729719145,0.5912152251519999,0.18987516780211208
121,17836,0.4704351613207611,0.43890132563378953,0.5177359148512184,0.6110826466615863,0.19607015911496242
65,91599,0.4702907132792091,0.4405963208609507,0.5148323019065968,0.59625960837319,0.19005497031892624
111,27588,0.4702859050182673,0.45364947830507607,0.49524054508805404,0.5902598916844651,0.18066095534913815
254,20470,0.4701681469476517,0.44412857747359785,0.5092275011587324,0.606346847899048,0.19501795848214712
54,90714,0.4699380813653035,0.443844996756241,0.5090777082788973,0.594940812572612,0.18416745874584206
186,98224,0.46938854491498727,0.45451677219732944,0.49169620399147407,0.6132075763240504,0.1840764893188181
57,12282,0.46870383177376035,0.44851452521139656,0.498987791617306,0.5784519811701958,0.18618119517693713
138,60505,0.46843518072486023,0.45504343180048845,0.48852280411141796,0.5968281476359814,0.18231288582144417
247,96389,0.46818733474716157,0.4381347113425027,0.5132662698541498,0.6034761769749357,0.1841428075346774
173,75265,0.46680364446403033,0.4409026566675717,0.5056551261587182,0.5975677789785646,0.17567811815049733
134,47813,0.46659795301692153,0.4370191600800444,0.5109661424222371,0.5892935566737075,0.19186822305592927
271,98372,0.4659690422861267,0.4443349799812377,0.4984201357434601,0.6031231723942323,0.18430999715817736
248,96924,0.46561880014278206,0.45801670270779304,0.47702194629526556,0.6088446832575266,0.1847827142287416
113,24455,0.4648328914048937,0.4320410750151542,0.5140206159895029,0.5829698160609013,0.1816610866068556
200,77131,0.4641482592005368,0.4445820529432258,0.4934975685865033,0.5944932990182263,0.18885019842525802
51,99079,0.4639688916637261,0.4207883390896155,0.5287397205248922,0.6044912533114222,0.18995342889818095
299,94797,0.46388445528767414,0.4474172186484702,0.48858531024648,0.6015521383544407,0.19426899764599864
34,62987,0.4632157585514487,0.4402186674477607,0.49771139520698066,0.6159136882534052,0.1925699696420924
161,73499,0.46320328189383725,0.43630188721214597,0.5035553739163742,0.5920616827968369,0.19279027731655207
39,28836,0.46308970577045516,0.4467130603199819,0.487654673946165,0.5814155410486415,0.18832521266736513
167,78466,0.4630723358950679,0.4387863876953652,0.4995012581946221,0.5830854855112948,0.1910465524440624
274,57391,0.4628406414188986,0.4474866135014199,0.4858716832951166,0.5774308382263281,0.18810730316359903
261,91507,0.4628076528146028,0.45391489888019837,0.47614678371620955,0.5936407946438264,0.1839280713944222
15,89644,0.46257471988923504,0.43840988606258996,0.4988219706292026,0.6025321004053279,0.18053232656541104
180,89308,0.46105441810429737,0.44091434228719145,0.4912645318299562,0.6029144595639899,0.1927858900277537
77,88738,0.460562631499996,0.43671107477095855,0.49633996659355223,0.5924411021415253,0.18450548291059995
60,10032,0.4603940328772449,0.43157039892337423,0.5036294838080508,0.5999673467493775,0.18576456498658736
