trial_number,seed,score,min_over_groups_min_distance,global_mean_nn_distance,mean_group_min_distance
195,18428,0.6340776542853485,0.7153297502616263,0.44448943034070026,0.7668394040101238
194,20522,0.62512080160215,0.7024083536191533,0.4447831802291425,0.7691645084308101
201,15970,0.6249478219815477,0.6909647439939859,0.47090833728585885,0.7609069292246784
161,512,0.6247442228838983,0.6948813496659775,0.46109092705904714,0.7267276404155234
98,45094,0.6210145210070329,0.7050378795156876,0.42496001782017206,0.735645363902231
274,70494,0.6206800697080007,0.6974052294033692,0.4416546970854741,0.7303762364399374
240,89485,0.6184371536527127,0.6993890348676393,0.42954943081788394,0.7495732851194642
287,19875,0.6183574138689447,0.7007793091162393,0.426039658291924,0.7500578123121417
12,2450,0.6161111547467915,0.6971262610936761,0.42707590660406086,0.764716790384997
214,17936,0.6154227479584999,0.6960338812806515,0.4273301035401466,0.7599203069229687
236,88885,0.6152827834188586,0.6806902720384641,0.46266530997311267,0.7455717246464155
64,30919,0.6095031385311663,0.6851924419870553,0.43289476380075903,0.7447089378161782
28,20283,0.6074412242773426,0.6703469303943503,0.4606612433376582,0.7494694346638723
45,32681,0.6072650467155485,0.6748948245446683,0.44946223178093575,0.7382729962849155
247,88316,0.6062783042403965,0.6857267333361975,0.42089863635019426,0.7875441825466234
193,16066,0.6060359806987508,0.6748663406306692,0.44543180752427436,0.7348149845075387
168,3392,0.605428146039421,0.6722741363113841,0.4494541687381736,0.7422468371929098
242,88179,0.605074063485225,0.6771116596811992,0.43698633902795175,0.7347249429728505
229,89481,0.6041179929583974,0.6844396648008008,0.4167007586594563,0.7132276909506972
250,85372,0.6039652212726423,0.683339501906805,0.41875856645959625,0.7677650011405766
264,86605,0.6038150195663853,0.6734375386551149,0.44136247502601617,0.7255775877351299
190,15223,0.6037677895583444,0.6755140052458093,0.4363599529542598,0.7440484427058218
268,83032,0.6037010633865292,0.6677253141142527,0.4543111450218412,0.7535942710519579
89,305,0.6030455307724774,0.6688103379755846,0.44959431396522737,0.7633363671936351
71,27602,0.6028750962445988,0.6714934592509341,0.44276558256315013,0.7041291872835579
91,3763,0.6021677754322028,0.6684815066948386,0.4474357358193859,0.7506347736522638
276,76401,0.60215186090006,0.6625348530271256,0.4612582126035738,0.7128094111936008
100,3781,0.6005573552315484,0.6662208272321285,0.447342587230195,0.7589313124439033
118,81653,0.5993482052257157,0.6636627318732533,0.4492809763814613,0.7275387937960041
281,36785,0.5987453198277639,0.6542226709501116,0.46929816720895284,0.7143751030468687
153,14734,0.5979057999689743,0.671771685517545,0.4255520670223097,0.7338246671627042
290,93357,0.5978858598960319,0.6728057933458141,0.42307268184654007,0.7281176057290935
256,82764,0.5968487032723068,0.6683698829283627,0.42996595074150956,0.738313561534874
43,24273,0.5965657885028351,0.6695167517518821,0.4263468742550591,0.7489210683007073
57,8620,0.5947518434844961,0.6639628848629263,0.43325941360149234,0.7357183968032994
116,26494,0.5947305439543547,0.6532896396819637,0.45809265392326715,0.7208314835537728
130,12724,0.5938178775605474,0.6637358163327164,0.43067602042548636,0.7355578778447984
162,2997,0.5932323258529579,0.6534058048760994,0.452827541465628,0.7307938923290755
169,9756,0.5930740895446017,0.6459406195412749,0.4697188528856976,0.7204045502721688
183,9441,0.5923208549873757,0.6593526132185816,0.4359134191145623,0.8022698046682275
79,26598,0.5919956965173917,0.6494010731250471,0.458049817766196,0.7444762239617124
226,77535,0.5912784117950101,0.6589397992782265,0.4334018410008383,0.7338624944598251
26,12040,0.5909165151262863,0.6680438087542084,0.4109528299944682,0.727574497680936
96,62,0.5909034770905631,0.6535340922383146,0.44476537507914315,0.7192287721117985
105,8665,0.5906501095448173,0.6472787604310011,0.45851659081038854,0.6911359305069145
11,29008,0.5902341942471914,0.663321746980972,0.41969657120170334,0.7191707447260842
255,84817,0.5898045194665865,0.6529475647588759,0.44247074711791123,0.7388499704616699
54,860,0.5880571115629536,0.6550079288128926,0.4318385379797625,0.7281665545319569
227,21287,0.5877331369628511,0.6572480648735712,0.4255316385045046,0.7608434286351073
112,21117,0.587549667045095,0.6400518026958797,0.46504468385993103,0.7333543102033067
267,86936,0.5870298895446302,0.657676947200485,0.4221867550143023,0.7354671876584745
254,86936,0.5870298895446302,0.657676947200485,0.4221867550143023,0.7354671876584745
67,42493,0.5866986949719055,0.650747575380529,0.4372513073517843,0.7350888286279518
163,949,0.5860484835237078,0.6453851409263134,0.44759628291762804,0.7250674866664973
51,30411,0.5860374730652088,0.6487810817353639,0.43963571950151376,0.7543283768678914
131,12677,0.5847702965816787,0.6369918377072775,0.4629200339552817,0.7237952475020039
280,85484,0.5845544990793043,0.6548282156831823,0.4205824936702561,0.6998887716024957
251,84292,0.5845145916942567,0.6477867310843631,0.4368795997840085,0.730447655629193
99,51129,0.5843320780681561,0.6430256891618721,0.44738031884948576,0.7402256004582487
97,4762,0.5843100489752142,0.641273547326921,0.4513952194878988,0.7227985387433901
184,28536,0.5839736649661217,0.6454234915438687,0.44059073628471196,0.6923364671656855
204,16466,0.5834999201783836,0.6486295817881682,0.43153070975555313,0.7388442521362446
246,88976,0.583244798540007,0.6455824267669619,0.4377903326771125,0.7366812597025624
209,31444,0.5829679307701447,0.639375319369525,0.45135069070492445,0.7090751889601585
266,85460,0.5829503810958978,0.6374949815031984,0.4556796468121965,0.7256033865525524
277,70213,0.5828903962880323,0.6459940935615391,0.43564843598318287,0.6976347068450575
49,3907,0.5827686088385576,0.6397153160341669,0.4498929587154696,0.730739275973197
180,20017,0.5822375949906851,0.6508615824302841,0.42211495763162044,0.7451436306272963
27,12205,0.5821724437234534,0.6455788718201693,0.43422411149778345,0.6817268407479206
177,3719,0.582027289854699,0.6456403975736368,0.43359670517717774,0.7469785465504584
132,10351,0.5816670548411231,0.638655777833607,0.4486933678586607,0.7385556811589551
196,17102,0.5811674676657173,0.6267225382057559,0.47487230307229394,0.69673698817445
72,28326,0.5811539665387351,0.6409117920579583,0.44171904032721443,0.738212118980519
189,23830,0.5809828284695371,0.6426376271445926,0.43712163156107425,0.7218221088861614
69,10895,0.5809568806782238,0.6354043433995044,0.4539128009952361,0.704739537711904
65,17056,0.5798295082125263,0.6483977713327007,0.419836894265453,0.7348850370381297
61,12285,0.5790391077537106,0.6477669798668979,0.4186740728229402,0.7305308428726278
6,32175,0.5789658507680698,0.6391923520923769,0.4384373476780201,0.6962977341607932
243,0,0.5786662457163222,0.6252861411544574,0.4698864896940069,0.7018201124117949
244,91341,0.5783763552742252,0.6399590892152017,0.43468330941194655,0.7016903151118731
136,26506,0.578319405291673,0.6317204724478552,0.4537169152605812,0.7075160083215151
111,24316,0.5782318587721769,0.6461202424170088,0.4198256302675691,0.6919750967165699
165,2989,0.5777754424891227,0.6374401614380928,0.43855776494152615,0.7391697345415158
25,82274,0.5776773332659046,0.6400685551227292,0.43209781559998106,0.7330191076589035
249,86370,0.5772187342149555,0.6330423194374579,0.44696370202911695,0.7449490652168931
233,96119,0.5771481291910194,0.6401563477326626,0.4301289525938521,0.7056664912574637
202,18839,0.5769552589468787,0.6389087773858773,0.43239704925588207,0.7646511420163928
135,18111,0.5769254012106036,0.6335472233169293,0.4448078162958441,0.750307022231492
83,31542,0.5763913420633036,0.6398645568785831,0.4282871741609849,0.7151419466068313
62,99212,0.5760470873375921,0.6342692552801382,0.4401953621383182,0.7456057632196502
157,15616,0.5759941038970112,0.6371403779701196,0.4333194643930919,0.7383476531842975
225,28184,0.5759295447460374,0.6344515184933041,0.4393782726690819,0.705269679254662
110,44146,0.5759144628282019,0.631699573198624,0.4457492052972171,0.7168450769861262
22,29329,0.5756508985812963,0.628600777411398,0.452101181311059,0.7211490234378449
269,83844,0.5756268411609866,0.6434992244679227,0.4172579467781357,0.7212297367574584
95,7591,0.5755588743109161,0.635889826238122,0.4347866531474361,0.713410856914759
211,14580,0.5751702397337924,0.6320451837110148,0.4424620371202736,0.7062958312051153
259,85735,0.5750772321972896,0.6340841507957983,0.4373944221341027,0.7402626684689371
30,6058,0.5750305095587935,0.6285168614356276,0.45022902184618097,0.68606686269899
19,62250,0.5734724765661032,0.6344708511493671,0.4311429358718213,0.7642514350909614
285,42869,0.5733181202611739,0.6293291618617421,0.44262568985984835,0.7403993421297914
212,13591,0.5732146846191206,0.627279118665927,0.4470643385099059,0.7255189066068548
253,90546,0.5732027570500515,0.6241191236311299,0.4543979016942024,0.7348165891249838
114,28917,0.5730393116897718,0.6253976431645896,0.4508698715818638,0.6922587810518339
133,6018,0.5728691255486781,0.6303966251827771,0.4386382930691138,0.7612911250188372
41,12984,0.5723873537036002,0.6308895705391896,0.43588218108722493,0.7215735211777174
107,2421,0.5722522217948506,0.6328202703313386,0.430926775209712,0.7151598404861628
23,57267,0.5720396589550665,0.6326625362627254,0.4305862785705291,0.7242690471348064
126,63183,0.5719400680896944,0.6212135597577162,0.45696858753097686,0.7226466719785541
210,15785,0.5711672350280614,0.6365944289708138,0.418503782494973,0.719588720386347
231,82684,0.5708866178205797,0.6213008776895541,0.4532533447929728,0.6814731689559899
17,15080,0.5701430501970902,0.6359078858185715,0.41669176708030076,0.6951725381713375
235,91674,0.5698217883387534,0.6211220292154259,0.45012122629318435,0.7389886955705145
166,4180,0.5696807945877946,0.6352640337358106,0.4166532365757575,0.7540352609253274
252,93461,0.5696351771919288,0.6406681898831862,0.40389148091232857,0.7179524824588653
