A_Cell_D,C_Barrier_Thx,E_Barrier_Outer_Thx,F_ThermalResin_Thx,B_Barrier_Type,D_Barrier_Outer_Type,discrete_combo_id,CellD_x_Resin,Barrier_x_Outer,selected_model_kind,p_tp,p_notp,boundary_score,clf_uncertainty_raw,clf_uncertainty_scaled,tmax_pred_given_notp,tmax_std_given_notp,tmax_scaled,notp_window_score,local_sparsity,combo_priority,acq_boundary,acq_notp_high_tmax,acq_uncertainty_sparse,MaxT_Adj_pred_given_notp,MaxT_Adj_std_given_notp,Max_Power_pred_given_notp,Max_Power_std_given_notp,Time_MaxT_pred_given_notp,Time_MaxT_std_given_notp,Time_Max_Power_pred_given_notp,Time_Max_Power_std_given_notp,acq_misclass_repair
15.968348857036007,0.7101692323185328,2.677128121506789,0.7180770150521596,Si1,PU,combo_001,11.46650428257198,1.901214022868832,hybrid,0.5004840761953341,0.4995159238046659,0.9990318476093318,0.20815111507870065,0.8280927240059776,429.8263436931493,0.8523488255149668,0.8603140679344984,0.0,0.15477512093407605,0.9999998959999999,0.8658716725875437,0.7197824583215339,0.47034658770112436,282.9486251465996,0.9822445402719934,1384.0088939984346,8.244089838561855,229.4691990728582,1.749186095991527,101.82365915166298,1.0601073619732984,0.3436821197220438
11.646483990712237,0.4840181249564486,2.9766290574000522,2.4220483725955075,Si1,Si1,combo_002,28.208347596164206,1.4407424150536543,hybrid,0.5068639243341089,0.4931360756658911,0.9862721513317823,0.23206027597268064,0.9245369690851631,383.8791079351263,0.8684859013230671,0.6415377949559169,0.0,0.04973098752898433,0.9999998809999999,0.8593531611426305,0.5562558341439579,0.48876958733586656,285.2135061828516,1.0147108447328907,1074.9460001280756,8.181980578955994,207.43699205013806,1.6453765362933115,85.46167364194667,1.033670063715359,0.5198287987390567
14.419086877640495,0.902044186388337,2.3930469141662867,2.0578695399546048,Si1,PU,combo_001,29.672599679455523,2.158634056678249,hybrid,0.49992296263839225,0.5000770373616077,0.9998459252767845,0.21465887094867295,0.8543435658829566,410.7090086093334,0.7142358160404069,0.7692874969140728,0.0,0.06652069071648473,0.9999998959999999,0.859041235228482,0.6462012527128196,0.4626661477711278,283.9756323911497,0.9361615345968121,1244.9672015734127,7.5107841629236045,234.69741250320538,1.5533762670146343,97.02844609806243,1.0047968012685624,0.35034096078615146
13.671862665633869,1.015216031016061,1.3116083468079531,0.5620885970198766,Si1,PU,combo_001,7.684798104374571,1.3315658200939073,hybrid,0.5004431679313307,0.4995568320686693,0.9991136641373386,0.13488582957210032,0.532556833703186,392.7664607828698,1.7589757640357815,0.6838546373208114,0.0,0.28685017948588887,0.9999998959999999,0.8384295398416451,0.6162766989318436,0.41054946152440175,284.9619394598342,1.7554950174091817,1179.652046315325,9.563964411827675,200.1431234407892,2.2344991345081495,92.44220496199468,1.044842913444371,0.14308717502993917
14.448230424736042,0.9870712959460821,1.6493361064707202,1.1399664309592055,Si1,PU,combo_001,16.47049767096255,1.628012328064719,hybrid,0.4970804632173964,0.5029195367826036,0.9941609264347928,0.16974732648359647,0.6731803698811604,407.05700094269645,1.0014696560383674,0.7518985808451333,0.0,0.1337543266514425,0.9999998959999999,0.8370564700989346,0.6429093642928158,0.4168935368823963,284.09369877454844,1.1963274260296362,1266.5601200753213,8.074975890230707,221.385286795094,1.7431945634905128,98.02853893912625,1.0166672913652524,0.4198557047788653
14.536789284183392,1.0598039260992544,1.4307578183578575,2.0595265332333264,Si1,PU,combo_001,29.93890323879759,1.5163227531928614,hybrid,0.48990054457855337,0.5100994554214466,0.9798010891571067,0.16760254252442197,0.6645287877232682,409.4379209270266,1.0953463991105417,0.7632352541365406,0.0,0.20476062833516018,0.9999998959999999,0.8362679330597016,0.6586506353613814,0.42698382196642204,282.5709351193984,1.298147260766451,1240.3489039503884,8.58503758600253,230.8882667742215,1.9849838053978357,97.19976074608716,1.1002278490126065,0.23867503530775977
13.228744856128422,1.0242352631759783,1.2519312184375093,1.9215916427642223,Si1,PU,combo_001,25.42024555979657,1.2822721009945657,hybrid,0.499619383158155,0.500380616841845,0.99923876631631,0.17866619056329291,0.7091570867950011,396.5986474007165,0.7346713801706595,0.7021014696226765,0.0,0.05173069708560357,0.9999998959999999,0.835016279595869,0.5978454955922147,0.4101694957583236,285.39935823558426,0.9353264850538692,1127.9114225080357,7.249062944729479,207.78244796261635,1.4092725087776812,88.286423599063,0.9642320849541788,0.5918167496178418
14.821728991944225,0.9909257866005498,1.5499046645240762,0.8326253333391025,Si1,PU,combo_001,12.3409470425794,1.5358404988493815,hybrid,0.5061204526958125,0.4938795473041875,0.987759094608375,0.16360790445782,0.6484153049286876,410.29046745587016,1.2017783645222064,0.7672946267852783,0.0,0.12313546777689661,0.9999998959999999,0.8281787159128404,0.6541289334914819,0.41189771556591626,283.0311652180498,1.4284343351540647,1294.7184712425922,8.565088689307307,220.70971258795456,2.0834765926936325,99.83654216686743,1.0703322943843514,0.3639114672790089
14.195339132765646,0.8169288705781426,2.7476853114629467,1.0908265285975127,Si1,PU,combo_001,15.484652508459176,2.244663458197577,hybrid,0.5044885639132026,0.4955114360867974,0.9910228721735947,0.15979293669530759,0.6330265722379649,405.0560940765115,1.2804199655149726,0.74237132769183,0.0,0.11389322770520764,0.9999998959999999,0.8266339680513974,0.6363489610595834,0.40719228640580474,284.83787222406056,1.2866976872321807,1225.1381433161077,8.854762929555243,217.107075823256,1.8693403675602804,95.62639436234033,1.0142627992058646,0.21589224837747062
14.826705178828945,0.8907190060856355,2.3733173398554888,1.5700566254357844,Si1,PU,combo_001,23.27876669940344,2.113958862081885,hybrid,0.4777801602943512,0.5222198397056488,0.9555603205887024,0.18547284695494187,0.736613626993837,414.17369291512796,0.7983337470602596,0.7857844788753165,0.0,0.15216978378200272,0.9999998959999999,0.8259520689715587,0.6669455847707911,0.4365184069446859,283.8617795594706,1.0678406135095302,1277.1176444804457,7.458947490813986,232.94897743084266,1.668903779725954,98.58566150198531,0.986073357953081,0.3061712019763179
