sampling_rank,selected_bucket,selected_model_kind,A_Cell_D,C_Barrier_Thx,E_Barrier_Outer_Thx,F_ThermalResin_Thx,B_Barrier_Type,D_Barrier_Outer_Type,discrete_combo_id,p_tp,p_notp,boundary_score,clf_uncertainty_raw,clf_uncertainty_scaled,tmax_pred_given_notp,tmax_std_given_notp,notp_window_score,local_sparsity,combo_priority,acq_boundary,acq_notp_high_tmax,acq_uncertainty_sparse,acq_misclass_repair,CellD_x_Resin,Barrier_x_Outer
1,boundary,hybrid,15.968348857036007,0.7101692323185328,2.677128121506789,0.7180770150521596,Si1,PU,combo_001,0.5004840761953341,0.4995159238046659,0.9990318476093318,0.20815111507870065,0.8280927240059776,429.8263436931493,0.8523488255149668,0.0,0.15477512093407605,0.9999998959999999,0.8658716725875437,0.7197824583215339,0.47034658770112436,0.3436821197220438,11.46650428257198,1.901214022868832
2,boundary,hybrid,11.646483990712237,0.4840181249564486,2.9766290574000522,2.4220483725955075,Si1,Si1,combo_002,0.5068639243341089,0.4931360756658911,0.9862721513317823,0.23206027597268064,0.9245369690851631,383.8791079351263,0.8684859013230671,0.0,0.04973098752898433,0.9999998809999999,0.8593531611426305,0.5562558341439579,0.48876958733586656,0.5198287987390567,28.208347596164206,1.4407424150536543
3,boundary,hybrid,14.419086877640495,0.902044186388337,2.3930469141662867,2.0578695399546048,Si1,PU,combo_001,0.49992296263839225,0.5000770373616077,0.9998459252767845,0.21465887094867295,0.8543435658829566,410.7090086093334,0.7142358160404069,0.0,0.06652069071648473,0.9999998959999999,0.859041235228482,0.6462012527128196,0.4626661477711278,0.35034096078615146,29.672599679455523,2.158634056678249
4,boundary,hybrid,13.671862665633869,1.015216031016061,1.3116083468079531,0.5620885970198766,Si1,PU,combo_001,0.5004431679313307,0.4995568320686693,0.9991136641373386,0.13488582957210032,0.532556833703186,392.7664607828698,1.7589757640357815,0.0,0.28685017948588887,0.9999998959999999,0.8384295398416451,0.6162766989318436,0.41054946152440175,0.14308717502993917,7.684798104374571,1.3315658200939073
5,boundary,hybrid,14.448230424736042,0.9870712959460821,1.6493361064707202,1.1399664309592055,Si1,PU,combo_001,0.4970804632173964,0.5029195367826036,0.9941609264347928,0.16974732648359647,0.6731803698811604,407.05700094269645,1.0014696560383674,0.0,0.1337543266514425,0.9999998959999999,0.8370564700989346,0.6429093642928158,0.4168935368823963,0.4198557047788653,16.47049767096255,1.628012328064719
6,boundary,hybrid,14.536789284183392,1.0598039260992544,1.4307578183578575,2.0595265332333264,Si1,PU,combo_001,0.48990054457855337,0.5100994554214466,0.9798010891571067,0.16760254252442197,0.6645287877232682,409.4379209270266,1.0953463991105417,0.0,0.20476062833516018,0.9999998959999999,0.8362679330597016,0.6586506353613814,0.42698382196642204,0.23867503530775977,29.93890323879759,1.5163227531928614
7,boundary,hybrid,10.491706790149857,0.8341691913763778,2.077173302104516,0.7215534319734709,Si1,Si1,combo_002,0.5121781628840161,0.4878218371159839,0.9756436742319679,0.17639954539562566,0.700013943586111,346.7302443625836,0.8372012755671868,0.0,0.1010550431362263,0.9999998809999999,0.8258945805333063,0.4373351306704094,0.41706287255321695,0.44848563997965285,7.570327041691997,1.7327139737651245
8,boundary,hybrid,9.987304293729338,1.0745753134548786,1.703104426452041,2.3213184267264237,Si1,PU,combo_001,0.4993778041410959,0.5006221958589041,0.9987556082821918,0.13099882355648082,0.5168775146983494,346.9806358150613,0.9947749946474259,0.0,0.13901779441248072,0.9999998959999999,0.8170159696602477,0.4431492723708056,0.3628010997259228,0.1556912739800527,23.183713490357842,1.8301139729010931
9,boundary,hybrid,11.836167228659992,0.7701417142754716,1.7864935221324156,1.5903509471125754,Si1,Si1,combo_002,0.49145516962583713,0.5085448303741629,0.9829103392516743,0.14139966324974995,0.5588321921065197,379.0888833479528,0.7664249710485149,0.0,0.16173723727137918,0.9999998809999999,0.816777963250325,0.5507240808605696,0.37489135156019393,0.21188446361962543,18.823659762282244,1.3758531836770838
10,boundary,hybrid,11.055656231087042,0.7940742756455587,2.9386496095666037,2.380834766287942,Si1,PU,combo_001,0.4907620487287332,0.5092379512712668,0.9815240974574664,0.16385762193890907,0.6494226097878378,373.13018562034546,0.8482813482603812,0.0,0.05505131064980513,0.9999998959999999,0.8159392583032182,0.520809689884952,0.39274656932785235,0.5831217046961126,26.321690719099948,2.3335060600927044
