A_Cell_D,C_Barrier_Thx,E_Barrier_Outer_Thx,F_ThermalResin_Thx,B_Barrier_Type,D_Barrier_Outer_Type
12.4,1.10,2.30,1.00,Si1,PU
9.80,0.75,2.85,2.20,Si1,Si1
15.20,1.95,1.40,0.70,Si1,PU
