segment,n,accuracy,tp_recall,tp_f1,error_rate
Boundary,67,0.5373134328358209,0.5588235294117647,0.5507246376811594,0.4626865671641791
Non-boundary,338,0.8402366863905325,0.8707482993197279,0.8258064516129032,0.15976331360946747
Overall,405,0.7901234567901234,0.8121546961325967,0.7757255936675461,0.20987654320987653
