sampling_rank,selected_bucket,selected_model_kind,A_Cell_D,C_Barrier_Thx,F_ThermalResin_Thx,G_CoolantLPM,B_Barrier_Type,discrete_combo_id,p_tp,p_notp,boundary_score,clf_uncertainty_raw,clf_uncertainty_scaled,tmax_pred_given_notp,tmax_std_given_notp,notp_window_score,local_sparsity,combo_priority,acq_boundary,acq_notp_high_tmax,acq_uncertainty_sparse,acq_misclass_repair,MaxT_Adj_pred_given_notp,MaxT_Adj_std_given_notp,CellD_x_Resin
1,boundary,gp,14.698068898112968,1.4269050144963422,1.389422030088914,26.993746779169562,ETI,combo_001,0.49877753166006267,0.5012224683399373,0.9975550633201253,0.24314062125217611,0.6979658478911581,138.67458764184357,1.3891714928220695,0.0,0.33987148019931623,0.9999999009999999,0.8687620241578771,0.4679187538483952,0.3609083951243381,0.036309773644085185,138.67458764184357,1.3891714928220695,20.421820726802846
2,boundary,gp,14.864135421752806,1.4162459106710732,1.2240550526309375,4.65479321987047,ETI,combo_001,0.5030694094781589,0.4969305905218411,0.9938611810436822,0.258988242218751,0.7437543404299305,138.56144762848422,1.3897590250096163,0.0,0.2854803570844396,0.9999999009999999,0.8660265998968159,0.4606735571447212,0.36842872940938937,0.012001284786657459,138.56144762848422,1.3897590250096163,18.194520065987014
3,boundary,gp,10.710076648964098,1.3795571582820496,2.8883900771992055,24.209478540234677,ETI,combo_001,0.5004888254652544,0.4995111745347456,0.9990223490694912,0.1953929155113313,0.5600085183544782,143.37793697130073,1.4886974836387867,0.0,0.4571371178530923,0.9999999009999999,0.8640799074821482,0.5591122635724161,0.3432659377576481,0.09303759398160481,143.37793697130073,1.4886974836387867,30.934879118910818
4,boundary,gp,15.25293574155145,1.4701856156393502,1.644681282770521,10.276961217447809,ETI,combo_001,0.5004685616217862,0.4995314383782138,0.9990628767564276,0.23728617303550772,0.6810506049627121,138.70759250225817,1.354901210279862,0.0,0.28620951251097393,0.9999999009999999,0.8604722320460748,0.4618727957884521,0.3385591377445779,0.0399019858379702,138.70759250225817,1.354901210279862,25.086217921431167
5,boundary,gp,15.690912382561585,1.455609155087592,1.2695770545569094,28.501215226280284,ETI,combo_001,0.5095588510311053,0.4904411489688947,0.9808822979377894,0.24900559036864264,0.7149114888296856,137.55620472844717,1.4303728203649655,0.0,0.34694123483082867,0.9999999009999999,0.8601591910254361,0.4520251243898332,0.37493241972105285,0.01249119077605153,137.55620472844717,1.4303728203649655,19.920822325963076
6,boundary,gp,13.551951777924776,1.3923552322207247,1.5080705569897657,28.712630763048747,ETI,combo_001,0.5038248148795432,0.4961751851204568,0.9923503702409135,0.21419278227124244,0.6143269274508154,139.85615140211186,1.3816705717682243,0.0,0.3113461564319926,0.9999999009999999,0.8488188165617613,0.48387953521827404,0.3206860488049259,0.07001588475623231,139.85615140211186,1.3816705717682243,20.437299466033462
7,boundary,gp,15.916519835303475,1.5182252741506077,1.8646407491519648,11.733398174961813,ETI,combo_001,0.523821763151453,0.476178236848547,0.952356473697094,0.20606397880536306,0.5908403954576787,138.43774189760907,1.3949653588110469,0.0,0.5329789695457773,0.9999999009999999,0.8446584301818887,0.48361017045011934,0.35749980132062,0.035648626002219734,138.43774189760907,1.3949653588110469,29.67859146959238
8,boundary,gp,13.849287055426785,1.3888631756192433,1.340300926907831,29.875427159850506,ETI,combo_001,0.5181962529094406,0.4818037470905594,0.9636074941811188,0.23322596827649802,0.6693194652726653,139.41802779864818,1.4082461663973662,0.0,0.37133112985290234,0.9999999009999999,0.8439490533930032,0.4837440455151444,0.3584416852844113,0.03419425785787269,139.41802779864818,1.4082461663973662,18.562212277401144
9,boundary,gp,13.27104370002963,1.3784216415674206,1.4554430882740068,26.908224410003196,ETI,combo_001,0.5005789557641738,0.49942104423582623,0.9988420884716525,0.20656090089647583,0.592276151241418,140.02916833704714,1.3854658752250426,0.0,0.19187187495669883,0.9999999009999999,0.8349684956639606,0.4748601172034253,0.28850808598673805,0.07114474198772708,140.02916833704714,1.3854658752250426,19.315248827390427
10,boundary,gp,13.907783684878739,1.3897573892193753,1.267739409620645,27.20154291216497,ETI,combo_001,0.4755808550193805,0.5244191449806195,0.951161710038761,0.22356040054175225,0.6413927640322168,139.13129446455437,1.4073962153878352,0.0,0.35064434193119226,0.9999999009999999,0.8281304037040643,0.47701539934601805,0.3430133413959732,0.033095158360070556,139.13129446455437,1.4073962153878352,17.631445477799808
