TP_NoTP,actual_label,oof_predicted_label,oof_is_error,oof_p_tp,oof_p_notp,is_boundary_band,ptp_distance_from_boundary,local_nn_dist,coverage_cell_key,A_Cell_D,C_Barrier_Thx,E_Barrier_Outer_Thx,F_ThermalResin_Thx,B_Barrier_Type,D_Barrier_Outer_Type,discrete_combo_id,Eval#,MaxT_TB,MaxT_Adj,MaxT_Adj_Y,MaxT_Adj_Z,Max_Power,Time_MaxT,Time_Max_Power,CellD_x_Resin,Barrier_x_Outer,oof_tmax_pred
0,0,0,False,0.00016730206539250503,0.9998326979346075,False,0.4998326979346075,0.19965824825109837,3_2_3_2,18.62684818,1.458072224,2.86382676,1.893774539,Si1,Si1,combo_002,1,269.2523,273.978,-0.001369564,0.05222171,1184.959,Initial,,35.27505082510249,4.1756662531039135,279.0034637730951
0,0,0,False,0.27734282744563643,0.7226571725543636,False,0.22265717255436357,0.05213830252003757,0_1_0_3,12.52869446,1.001808979,1.241708597,2.170434416,Si1,Si1,combo_002,2,276.5266,301.5515,-0.006385412,0.05204572,1249.321,,,27.192709643532535,1.2439548217760923,276.12537197204887
1,1,1,False,0.9996161956157721,0.00038380438422791485,False,0.4996161956157721,0.1745002473957412,2_0_3_2,17.84383893,0.268509317,2.588366313,1.607868421,Si1,Si1,combo_002,3,316.8052,617.4394,-0.00218473,0.03888819,1498.415,,,28.69054512495743,0.6950004708494383,367.4340889691347
1,1,1,False,0.999946522998016,5.347700198399252e-05,False,0.499946522998016,0.2717440596619065,2_0_1_1,17.93445734,0.479760148,1.582999054,1.338977718,Si1,Si1,combo_002,4,317.8407,920.8149,-0.002196058,0.03030559,1486.597,,,24.01383876268155,0.7594598604309,364.9644063586968
0,0,0,False,0.000430114951655014,0.999569885048345,False,0.499569885048345,0.25147677558099,0_2_3_0,12.30103579,1.477309805,2.770502695,0.548870428,Si1,Si1,combo_002,5,223.556,220.4804,-0.00149188,0.05215871,1045.055,,,6.751674778900618,4.092890796102424,210.49620608425738
1,1,1,False,0.9999368538713043,6.314612869573466e-05,False,0.49993685387130427,0.1171929798619558,2_0_1_2,16.02199905,0.542023691,1.810416534,1.95165465,Si1,Si1,combo_002,6,312.0508,649.965,-0.0027398,0.0285722,1413.422,,,31.269408948228087,0.981288652006107,346.7492605446001
1,1,1,False,0.9998119448384841,0.00018805516151587653,False,0.4998119448384841,0.16367644657108177,2_0_3_3,17.6566805,0.531196288,2.633629062,2.409026922,Si1,Si1,combo_002,7,312.5422,670.7972,-0.003025869,0.03414909,1413.26,,,42.535418677652416,1.3989739817033215,344.23763993813634
0,0,0,False,0.0007391144861230714,0.9992608855138769,False,0.49926088551387693,0.2455021436757893,0_2_3_3,12.87817248,1.337347579,2.976586022,2.336417144,Si1,Si1,combo_002,8,245.7626,247.917,-0.005317672,0.05216275,1087.536,,,30.088782965660997,3.9807301102069412,244.40870217565276
0,0,0,False,0.0017349324425595114,0.9982650675574405,False,0.4982650675574405,0.28610651603858034,1_3_2_3,14.30469891,1.972358972,2.355482905,2.492923913,Si1,Si1,combo_002,9,230.7124,225.669,-0.001742338,0.05198659,1010.203,,,35.660525981004035,4.6458578410693745,235.46245093670555
1,1,1,False,0.7909177389670958,0.20908226103290417,False,0.29091773896709583,0.12335461054030075,1_0_0_0,14.67424021,0.564953734,1.316618624,0.815713546,Si1,Si1,combo_002,10,309.7368,859.8222,-0.00536559,0.02110465,1383.258,,,11.969976516554885,0.7438286078827421,304.5736902817762
1,1,1,False,0.9998353798378048,0.00016462016219520592,False,0.4998353798378048,0.21911748114848675,2_0_2_3,16.302748,0.433537444,2.490986588,2.115923496,Si1,Si1,combo_002,11,311.7466,594.0592,-0.001992094,0.0298814,1416.588,,,34.49536754256701,1.0799359583998012,356.0641966216181
1,1,1,False,0.9997728904301084,0.00022710956989158149,False,0.4997728904301084,0.16019585167819164,1_0_1_2,15.2531209,0.318545961,2.013664799,1.761156763,Si1,Si1,combo_002,12,314.2407,563.3429,-0.002605246,0.03089078,1450.531,,,26.863137029891647,0.6414447885293267,350.84449176508605
