segment,n,accuracy,tp_recall,tp_f1,error_rate
Boundary,50,0.42,0.3333333333333333,0.35555555555555557,0.58
Non-boundary,314,0.8439490445859873,0.8368794326241135,0.8280701754385965,0.15605095541401273
Overall,364,0.7857142857142857,0.7636363636363637,0.7636363636363637,0.21428571428571427
