row_id,D_Barrier_Outer_Type,TP_NoTP,MaxT_TB,p_tp
1,Si1,1,451.1424865,0.9999987483024597
2,Si1,1,431.4329144,0.9998645782470703
3,Si1,1,377.783906,0.9997180700302124
4,Si1,0,336.3691273,0.006834913976490498
5,Si1,1,412.7974615,0.980363667011261
6,Si1,0,401.9500636,0.0003396515385247767
7,Si1,1,412.2865544,0.9974027872085571
8,Si1,1,369.5111908,0.9999977350234985
9,Si1,0,382.6814224,5.1205046474933624e-05
10,Si1,1,362.8462977,0.9999987483024597
11,Si1,0,378.5229739,1.1360492862877436e-05
12,Si1,1,414.2164946,0.9999984502792358
13,Si1,0,335.7844445,0.0007046203245408833
14,Si1,0,298.2144884,1.1466466276033316e-05
15,Si1,0,329.7043451,2.4519920316379284e-06
16,Si1,1,400.5222103,0.9328495264053345
17,Si1,1,349.0689651,0.9552597999572754
18,Si1,1,398.6728436,0.9999527931213379
19,Si1,0,290.2857717,6.226830009836704e-05
20,Si1,1,406.3885816,0.9999855160713196
21,Si1,1,383.6702897,0.9709356427192688
22,Si1,0,389.8942223,0.0009975023567676544
23,Si1,0,392.4079801,2.0054309061379172e-05
24,Si1,1,425.6539238,0.9508463740348816
25,Si1,0,368.2279546,1.1375348663023033e-08
26,Si1,0,301.8196819,0.00010769885557238013
27,Si1,0,326.5953973,2.5537883630022407e-07
28,Si1,1,355.459812,0.9999990463256836
29,Si1,0,350.9504974,0.007549889385700226
30,Si1,1,437.7442284,0.9997224807739258
31,PU,0,303.1515201,6.452872912632301e-05
32,PU,1,411.5364314,0.9999996423721313
33,PU,0,345.8330237,0.3121594488620758
34,PU,1,407.625864,0.9999995231628418
35,PU,0,288.0502193,5.165122729522409e-08
36,PU,1,425.8682655,0.9999969601631165
37,PU,1,425.4487736,0.9988015294075012
38,PU,0,349.6349529,0.00010347042552893981
39,PU,1,370.9607249,0.9999997019767761
40,PU,1,452.6783854,0.9999826550483704
41,PU,0,341.8140585,0.01501547358930111
42,PU,1,407.0448488,1.0
43,PU,1,351.1037684,0.999954342842102
44,PU,0,357.9605233,1.1083984645665623e-05
45,PU,0,406.3031061,0.006191658787429333
46,PU,0,314.3302928,4.557628017209936e-06
47,PU,1,410.406597,0.9477531313896179
48,PU,1,362.8049189,1.0
49,PU,1,448.1576114,0.9999235272407532
50,PU,0,405.3222588,0.43230605125427246
51,PU,1,404.8669592,0.623584508895874
52,PU,1,393.9597747,0.9999963045120239
53,PU,0,391.0113908,0.014284498989582062
54,PU,0,378.8373835,0.00817784946411848
55,PU,1,385.5942103,0.9991275072097778
56,PU,1,354.334329,0.9998182058334351
57,PU,0,388.9437753,1.4680015738122165e-05
58,PU,0,372.2804676,0.0015485513722524047
59,PU,0,284.0430047,5.829321526107378e-05
60,PU,0,330.6788225,6.448072326747933e-06
61,Si1,0,406.8435491,0.004600944463163614
62,PU,0,414.6673237,0.016136793419718742
63,PU,0,395.1831768,0.035395316779613495
64,Si1,1,318.7919878,0.9900943040847778
65,Si1,0,370.3500109,0.07871223986148834
66,Si1,1,321.7899592,0.9980455636978149
67,Si1,1,331.5178937,0.8505953550338745
68,Si1,0,376.7092546,0.05011003091931343
69,Si1,0,383.075107,0.027054104954004288
70,Si1,0,313.6089676,0.43593254685401917
71,Si1,1,330.9980509,0.46482962369918823
