PU_orig_row,Si1_orig_row,norm_dist,A_Cell_D,Si1_A_Cell_D,delta_A_Cell_D,C_Barrier_Thx,Si1_C_Barrier_Thx,delta_C_Barrier_Thx,E_Barrier_Outer_Thx,Si1_E_Barrier_Outer_Thx,delta_E_Barrier_Outer_Thx,F_ThermalResin_Thx,Si1_F_ThermalResin_Thx,delta_F_ThermalResin_Thx,PU_TP_NoTP,Si1_TP_NoTP,same_class,PU_MaxT_TB,Si1_MaxT_TB,delta_MaxT_TB,PU_Max_Power,Si1_Max_Power,delta_Max_Power
43,200,0.0373132825781656,8.458299304,8.453771432,-0.0045278720000005,0.587280037,0.519461751,-0.0678182859999999,1.156297886,1.130929037,-0.0253688489999999,2.47490185,2.458920092,-0.0159817580000001,1,1,1,407.0448488,409.7895666,2.744717799999989,949.1164383,953.2726376,4.156199300000026
108,82,0.0415748998329086,8.444111575,8.611426682,0.1673151069999985,1.636686375,1.586287918,-0.050398457,1.132331086,1.142178957,0.009847871,1.930296285,1.980463809,0.0501675239999999,0,0,1,305.4915674,310.4169969,4.925429500000007,748.9973737,760.0142628,11.016889099999958
63,62,0.0520012014686641,15.54644773,15.54531875,-0.0011289800000007,1.45309986,1.450385014,-0.0027148459999999,1.2033606,1.212317857,0.008957257,1.395243037,1.291704882,-0.1035381549999998,0,0,1,414.6673237,406.8435491,-7.823774599999979,1257.002334,1245.255627,-11.746707000000017
99,177,0.0568075396153629,9.953592006,9.849331779,-0.1042602269999992,1.048904121,1.043002734,-0.0059013869999999,2.662986041,2.560076803,-0.102909238,2.469850011,2.491291927,0.0214419159999996,1,0,0,359.0317,351.3845548,-7.647145200000011,949.8326378,920.8615755,-28.971062300000085
102,93,0.0596733948840575,10.42070701,10.87335827,0.4526512600000014,1.519686532,1.48521741,-0.0344691219999999,1.195453348,1.210199363,0.014746015,1.717895885,1.720858471,0.0029625859999999,0,0,1,344.7377268,352.6206688,7.882941999999957,901.1605721,919.316375,18.155802900000023
150,90,0.0704613030299348,15.19943197,15.36293294,0.1635009700000012,1.112263266,1.05248265,-0.059780616,1.806846237,1.892838562,0.0859923249999998,2.296532992,2.216401087,-0.080131905,0,0,1,424.0609228,423.5348944,-0.5260284000000297,1364.023185,1318.304183,-45.719002000000046
237,176,0.071056034500919,9.886665828,9.973421096,0.0867552679999992,1.004740639,0.944506627,-0.060234012,2.965256869,2.928297126,-0.0369597430000001,2.357996429,2.478759423,0.1207629940000001,1,0,0,358.1539767,354.9811372,-3.172839500000009,946.254326,930.7750284,-15.479297599999995
112,128,0.0743770281106372,8.964757388,8.529271464,-0.4354859239999999,1.595153751,1.513040413,-0.082113338,1.170572945,1.114374079,-0.0561988659999999,1.489517573,1.483803178,-0.005714395,0,0,1,314.6722776,311.5200748,-3.1522027999999978,788.6226728,762.2272419,-26.395430900000065
