distance_threshold,n_pairs,same_class_pairs,diff_class_pairs,flip_rate,mean_abs_delta_MaxT_TB,mean_abs_delta_Max_Power,mean_delta_MaxT_TB,mean_delta_Max_Power
0.05,2,2,0,0.0,3.8350736499999982,7.586544199999992,3.8350736499999982,7.586544199999992
0.08,8,6,2,0.25,4.7343849749999976,20.205048887500027,-0.8461126500000091,-11.872826062500025
0.1,15,10,5,0.3333333333333333,5.34810811333333,22.87045278000003,-1.7825661000000044,-12.968673846666698
0.15,39,24,15,0.38461538461538464,9.751800838461532,28.37766058974361,-0.6092486538461591,-15.7270747948718
