outer_type_label,n,actual_tp_rate,mean_p_tp,median_p_tp,mean_MaxT_TB,median_MaxT_TB
PU,135,0.4222222222222222,0.4508133935459977,0.3450774848461151,370.4808683281481,370.9607249
Si1,105,0.49523809523809526,0.5019234609304916,0.43593254685401917,373.54499100285716,377.783906
