A_Cell_D,B_Barrier_Type,C_Barrier_Thx,D_Barrier_Outer_Type,E_Barrier_Outer_Thx,F_ThermalResin_Thx,TP_NoTP,MaxT_Adj,MaxT_Adj_Y,MaxT_Adj_Z,Max_Power,
13.57615584,Si1,0.657681671,Si1,2.722168255,2.397046885,0,403.7700186,0.000330254,0.055161082,1168.24453,
13.53456869,Si1,1.63687988,Si1,1.633240588,1.638829457,0,367.1633261,-0.000329214,0.055403997,1055.092666,
12.88048162,Si1,0.782688432,Si1,2.550857145,1.93971597,0,391.3548252,0.00156431,0.05528186,1119.927074,
11.43862063,Si1,2.189869035,Si1,1.521183227,1.700442322,0,317.7037219,0.00249134,0.055431553,841.782127,
14.87181569,Si1,0.524770347,Si1,1.64735208,0.764816515,1,434.179852,0.002538519,0.043154815,1405.177921,
13.67083475,Si1,0.250612783,Si1,2.054356229,2.008414261,1,437.1045728,-0.000332621,0.043573318,1279.335454,
13.42961033,Si1,1.880202891,Si1,2.296969506,0.609144189,0,340.8185082,-0.00032659,0.055183581,973.0520328,
10.51368807,Si1,0.400557015,Si1,2.080101573,2.462202305,1,388.736619,0.000761077,0.040844452,1057.421658,
8.005470142,Si1,2.388576472,Si1,2.785238038,2.037649385,0,263.5845894,0.001336907,0.055443079,634.4052067,
10.82893806,Si1,0.318914166,Si1,1.194165499,1.397446517,1,513.9874661,-0.000261574,0.002354162,1117.945481,
10.93676987,Si1,0.257128353,Si1,2.993576787,0.831459978,1,386.7521634,0.000264269,0.040961734,1069.1722,
9.963958604,Si1,0.251942428,Si1,1.44951294,0.904354792,1,380.1457186,0.000239949,0.047749851,1050.387573,
9.17345323,Si1,0.561699732,Si1,1.977066462,2.409791143,1,367.8376903,-0.000220186,0.045138181,959.7625022,
8.128170526,Si1,0.262902426,Si1,2.86253203,0.560784172,1,356.6086203,0.000194054,0.044438423,914.3872486,
11.31274154,Si1,1.611778949,Si1,2.854543763,1.194277214,0,325.5236821,-0.002463017,0.055390519,875.5000099,
10.86762453,Si1,1.440622745,Si1,1.530786851,1.012174606,0,339.5653929,0.000262541,0.055316753,917.0979608,
11.14141731,Si1,0.599640954,Si1,2.975615899,2.359643906,0,375.6048819,0.00242447,0.055227321,1031.382427,
13.84629306,Si1,1.737292802,Si1,2.313884865,0.689707689,0,353.1269256,-0.000337007,0.055384595,1026.285169,
