discrete_combo_id,B_Barrier_Type,D_Barrier_Outer_Type,n_total,n_notp,n_tp,notp_ratio,tp_ratio,notp_tmax_min,notp_tmax_mean,notp_tmax_max
combo_001,Si1,PU,28,11,17,0.39285714285714285,0.6071428571428571,324.6352937,370.7997791,423.6383574
combo_002,Si1,Si1,37,17,20,0.4594594594594595,0.5405405405405406,262.5767887,355.60487145882354,430.7024571
combo_003,Si2,PU,34,18,16,0.5294117647058824,0.47058823529411764,308.7359367,372.5435059222222,426.528061
combo_004,Si2,Si2,32,19,13,0.59375,0.40625,265.2624785,349.4165941,417.1962141
combo_005,Si3,PU,29,16,13,0.5517241379310345,0.4482758620689655,287.4763493,369.90546679375,427.3821429
combo_006,Si3,Si3,37,16,21,0.43243243243243246,0.5675675675675675,305.8374404,373.85071912499996,423.8801431
combo_007,A1,PU,32,10,22,0.3125,0.6875,266.0174615,364.56263035,431.2817636
combo_008,A1,Si1,32,17,15,0.53125,0.46875,263.5845894,350.72232766470586,434.8895237
combo_009,A1,Si2,32,18,14,0.5625,0.4375,295.0316891,362.9572293611111,428.5072685
combo_010,A1,Si3,34,20,14,0.5882352941176471,0.4117647058823529,269.7775331,356.795783345,407.2906475
combo_011,A2,PU,33,19,14,0.5757575757575758,0.42424242424242425,298.6275314,371.89917809473684,421.3573955
combo_012,A2,Si1,28,9,19,0.32142857142857145,0.6785714285714286,308.6322493,369.7178971,423.5500942
combo_013,A2,Si2,35,19,16,0.5428571428571428,0.45714285714285713,291.3035203,353.93034608947363,406.6595602
combo_014,A2,Si3,29,13,16,0.4482758620689655,0.5517241379310345,292.3628725,370.45012461538465,422.6358634
