accuracy,tp_precision,tp_recall,tp_f1,confusion_matrix_labels_NoTP0_TP1,tmax_mae,tmax_rmse,tmax_r2,tmax_eval_n,model,fold,cv_model_group
0.8131868131868132,0.8536585365853658,0.7608695652173914,0.8045977011494253,"[[39, 6], [11, 35]]",1.305682046669536,1.597425436534134,0.998348136059014,45,gp,0,gp
0.7362637362637363,0.6964285714285714,0.8478260869565217,0.7647058823529411,"[[28, 17], [7, 39]]",1.2696815633519956,1.6845650383535333,0.998633347887064,45,gp,1,gp
0.7333333333333333,0.7619047619047619,0.6956521739130435,0.7272727272727273,"[[34, 10], [14, 32]]",1.5756530013172585,2.069782436533918,0.9975830865282088,44,gp,2,gp
0.7555555555555555,0.8333333333333334,0.6521739130434783,0.7317073170731707,"[[38, 6], [16, 30]]",1.6934793801952812,2.444608193186072,0.995209998268922,44,gp,3,gp
0.7555555555555555,0.7857142857142857,0.717391304347826,0.75,"[[35, 9], [13, 33]]",1.3177130172346239,1.7480488406930106,0.9981164581372164,44,gp,4,gp
0.8021978021978022,0.8181818181818182,0.782608695652174,0.8,"[[37, 8], [10, 36]]",4.461047303185765,5.697144040355382,0.9789889633000372,45,mlp,0,mlp
0.8461538461538461,0.8076923076923077,0.9130434782608695,0.8571428571428571,"[[35, 10], [4, 42]]",3.914466303550346,5.125937120063249,0.9873459670845367,45,mlp,1,mlp
0.7555555555555555,0.7608695652173914,0.7608695652173914,0.7608695652173914,"[[33, 11], [11, 35]]",4.763432188609732,6.001029892107042,0.9796828265665936,44,mlp,2,mlp
0.7777777777777778,0.8611111111111112,0.6739130434782609,0.7560975609756098,"[[39, 5], [15, 31]]",3.723593471431109,5.123510618359885,0.9789596758842649,44,mlp,3,mlp
0.8,0.7916666666666666,0.8260869565217391,0.8085106382978723,"[[34, 10], [8, 38]]",3.539665972381033,4.586236276198925,0.9870347468158045,44,mlp,4,mlp
