trial_number,seed,score,min_over_groups_min_distance,global_mean_nn_distance,mean_group_min_distance
47,17457,0.6672391318005766,0.7719756211458954,0.4228539899948327,0.7984636475916933
7,88470,0.6302282490513292,0.7108602847701146,0.44208683237416324,0.7471081927830985
152,58272,0.623572610134577,0.7023698368118064,0.43971241455437526,0.7325923796509722
8,22267,0.6169820515468799,0.6873490173874487,0.45279246458555295,0.7550830212394741
154,62695,0.6153466440506488,0.6868463264973974,0.448514051674902,0.770692881450145
9,49420,0.6124195063103604,0.6855550608134054,0.4417698791365888,0.7343897694753417
45,28260,0.6120884074262004,0.6834208741663692,0.4456459850324732,0.7282371154308473
143,54832,0.6083402027875798,0.6828535388745274,0.4344757519180357,0.754585087980723
101,96871,0.6077102763325144,0.6776127392393766,0.44460452954983626,0.7232181047562791
123,26633,0.603879177959431,0.6623522738653912,0.4674419541788573,0.7096862926591714
0,2064,0.6029096156007205,0.673238120827178,0.4388097700723198,0.7392479656506612
44,25211,0.6025808371612562,0.681415209406239,0.4186339685896299,0.7531539896088791
120,54767,0.6024149811363971,0.6610808235996688,0.4655280153887632,0.7516419717351651
93,85652,0.5990327551911548,0.667086439448173,0.44024082525811253,0.732977264129054
33,7487,0.5983541541886179,0.6748729400401969,0.4198103205349339,0.7474684015808144
60,17908,0.5979865705934212,0.6594679243035141,0.45453007860320443,0.7567695266083042
6,97017,0.597686810822171,0.6680040493355619,0.43361325429092556,0.7106589841888973
22,57635,0.5954745348421915,0.6588135188520148,0.4476835721526039,0.7536850315370365
131,82165,0.5950661025474973,0.6572614659712163,0.44994358789215294,0.7292404926304222
19,34585,0.5944908375843642,0.6570321069648097,0.4485612090299912,0.7291324276707223
4,63235,0.5933181024413455,0.6559953439214036,0.4470712056545435,0.7483402832885444
40,490,0.5915626618375276,0.6521611228112667,0.450166252898803,0.7186710831918239
11,26440,0.5910556251334637,0.6523368813801332,0.4480660272245682,0.7251704792674919
15,95360,0.5909006697422454,0.6554566198298958,0.4402701195377281,0.7237163833940236
66,41713,0.5907631198267005,0.648943004324635,0.4550100559981867,0.7276057405026292
108,88163,0.5897223901364148,0.6533161947780538,0.4413368459725909,0.7208443642737568
122,48991,0.5878648474592439,0.6447491685406346,0.45513476493599925,0.713728855564168
141,50279,0.5858268058645805,0.6619145631251534,0.40828870558991043,0.7478367961340424
162,8178,0.5851519926655192,0.6336680548973804,0.4719478474578431,0.730679827018179
161,58997,0.584017838288732,0.6526238254945756,0.4239372014750969,0.7291030946496201
95,86506,0.5833474370038392,0.6274531980689793,0.48043399451851265,0.750461866510044
38,51794,0.5829171417750482,0.6319810320949105,0.4684347310287028,0.7203025362021085
139,20968,0.5828062304307646,0.645256205561763,0.43708962179176847,0.7197725199942757
124,30483,0.5821083001367046,0.6352947114523015,0.45800667373364506,0.748045999426288
52,23147,0.5797507420596355,0.6427711822875187,0.43270304819457467,0.7515676741950541
16,81877,0.5796615019116953,0.6300012077169475,0.46220218836610716,0.7449897518910662
14,45659,0.5791901760100131,0.6361768099730724,0.4462213634295417,0.7217023483167702
43,20514,0.5783460490221262,0.6466382078277136,0.41899767847575525,0.746310426525926
111,92329,0.577217657762286,0.6368350913101208,0.438110312817338,0.7429940267982675
49,15589,0.5770185675464082,0.6362227450565896,0.4388754866893186,0.7319343871925861
146,5337,0.5757471539709743,0.6320368061276892,0.4444046322719729,0.716809673081975
132,33136,0.5748700830545065,0.6364088171293922,0.43127970354643974,0.7373189299895855
34,16329,0.5748694133423824,0.6417169470080994,0.4188918347890427,0.7244446499616777
10,45927,0.5745250089895265,0.6343042431028796,0.4350401293917027,0.7463709885857286
46,42741,0.5743577773630251,0.6397614153005933,0.4217492888420325,0.7260553624557677
121,53682,0.5721392366279454,0.6238670716194684,0.4514409549810587,0.7034400618861236
98,25189,0.5715410251272384,0.6309924102050903,0.4328211266122504,0.7340585291644028
119,93193,0.5715346272601056,0.6362444711394094,0.4205449915417302,0.7045021430581693
167,85701,0.5712187053826308,0.6155653806144532,0.46774312984171174,0.7446797281087643
37,31623,0.5706487918062803,0.6303638159460279,0.43131373548020274,0.6896989314287202
54,36713,0.5706392347593425,0.6290216621194609,0.43441357091906635,0.7224504405540987
64,11774,0.5703969593185683,0.6291383646549534,0.4333336802003363,0.6994073205314714
156,57257,0.5685910817143841,0.6364070987715178,0.41035370858107223,0.7173711326376817
157,64069,0.568588664950091,0.6266963645522359,0.43300403254508624,0.7108212863356989
147,65336,0.5680825041485533,0.6220546487349803,0.4421475001135572,0.7340531130743749
30,9359,0.567917035434035,0.6224698685807509,0.4406270914250313,0.6847919095086801
70,3892,0.5678346919420818,0.6302429458219105,0.4222154328891482,0.7025591414962571
77,10847,0.5678248816220992,0.6053096578453727,0.4803604037677945,0.7270395184329219
67,20636,0.5670412989556373,0.615898570429082,0.4530409988509327,0.716267986496625
149,91771,0.5667383089953388,0.6256932258143075,0.4291768364177453,0.7270818946803016
26,88622,0.5659629715575423,0.6196248624534905,0.4407518928003301,0.7293493782996774
78,5121,0.5659097033558447,0.6164856753898136,0.44789910194325044,0.7118907951135497
39,90392,0.5658760560112525,0.6195111604976773,0.4407274788762613,0.7136129178624351
97,73234,0.565655007005531,0.6184682593170362,0.4424240849453523,0.7106677951687825
48,28860,0.5655304885389708,0.6220100620349122,0.43374481704844114,0.7239880231139244
90,6470,0.5645186523769851,0.6165345611517045,0.44314819856930665,0.6911685234270817
163,67905,0.564224512049847,0.617063208591315,0.4409342201197549,0.7109468670021102
115,78242,0.5638616664676348,0.6206171611321393,0.43143217891712426,0.7472259781837467
91,99672,0.5631632843533851,0.6223824713339149,0.4249851813988158,0.7021806506733278
76,80567,0.5631541203432812,0.6239468685687888,0.42130437448376334,0.7215496017324605
36,4016,0.5627295293022638,0.6168607965598132,0.4364232390346488,0.6955624609624227
83,12776,0.5624032329637954,0.6149995566203643,0.43967847776513475,0.7143719157770947
35,65440,0.5623032963739337,0.6153202627257435,0.43859704155304424,0.741584479063642
1,68590,0.5615753422784706,0.613738278561093,0.43986182428568504,0.7291319261453373
128,45288,0.5604473755248693,0.617695506740591,0.42686840268818554,0.7327674309896266
150,1693,0.5594598630982379,0.6053909597881387,0.4522873041551364,0.7348286987159229
20,79516,0.5590616890575305,0.6024350140567003,0.45785726405946775,0.7250578383286974
74,322,0.558402886831461,0.5978393949292593,0.4663843679365985,0.6987640417218662
12,29334,0.5574796265371829,0.6162655379715489,0.4203124998569953,0.6963256401527982
71,7037,0.5573713689442643,0.6089993577297275,0.4369060617781839,0.7346538172301829
166,55443,0.5567179329009337,0.6030294631881722,0.44865769556404417,0.7019933020912864
118,19868,0.5560029862049508,0.601425119424373,0.45001800869296565,0.7402299162328116
92,94440,0.5555788437064316,0.601202702673731,0.44912317278273306,0.733542105144509
99,29565,0.5554006874926786,0.6028422490270596,0.44470371057912284,0.7313109776024642
106,96910,0.5551193296816774,0.6025058075258458,0.444550881378618,0.7158523443286757
21,44363,0.5550810966941939,0.5992988472269941,0.4519063454509938,0.6850241314339058
148,58715,0.5543000688978706,0.613806669101626,0.4154513350891085,0.7012856226186803
88,24097,0.5540027414379383,0.600885174596166,0.4446103974020737,0.701681805924999
84,14645,0.5529901332027806,0.6136844648194199,0.41137002609728884,0.7171800806602435
29,36358,0.5527633170534085,0.5973971488617515,0.4486177095006085,0.7138172275764773
155,61083,0.5520098897743361,0.6013737846628776,0.43682746836773917,0.6968548735045679
138,23745,0.5519494912552907,0.6001881069307212,0.439392721345953,0.7384834973416387
57,74841,0.5519202998501864,0.6046534482291173,0.42887628696601476,0.7485632660041339
159,51325,0.5516038868761887,0.592131481824019,0.4570394986645846,0.6706099759401511
129,27516,0.5515968089971872,0.6032045545771059,0.4311787359773768,0.7164742341572086
103,97151,0.550797756617758,0.604950076685786,0.4244423431256927,0.6982777442422219
72,15688,0.5506661702264621,0.592197895377025,0.45375881154181535,0.70749043792031
142,52822,0.5505575643266776,0.606110114245415,0.4209349478496233,0.7386854080945755
61,24926,0.5499285762883264,0.5964381221448908,0.44140630262300945,0.6867671848244821
86,9316,0.5498592285346338,0.594116551519663,0.44659214156956556,0.6684278231231497
126,22522,0.5493528679543294,0.5951000680077787,0.4426094011629476,0.7196959056955918
134,41306,0.549337736484134,0.6000049518204633,0.431114234032699,0.6637869222441203
75,22516,0.5493320214280687,0.6005446316888589,0.42983593081955845,0.7293870152151988
100,27689,0.5492923448451268,0.596442594456897,0.43927509575099666,0.6878352456691245
96,83449,0.5475792044531219,0.6016992817484222,0.42129902409742115,0.6969659602658624
68,69506,0.5469893486629425,0.6029818235436744,0.4163402406079014,0.6902815790680212
110,34501,0.5467246484915242,0.5969854158530338,0.4294495246480022,0.6887476131372825
24,40023,0.5466664768924666,0.5924542757205346,0.43982827962697485,0.7123459559770545
102,76613,0.5453455149306194,0.5939118546389898,0.43202405561108875,0.7318538916080977
140,15613,0.545093471847783,0.5896462396932505,0.44113701354169227,0.7055452184814816
5,600,0.5445179258852335,0.5891432899721365,0.44039207634912664,0.7022833951277947
79,17061,0.5444294774931987,0.5823907704242578,0.4558531273207277,0.7474918197356457
107,84936,0.5442006707989239,0.6039890904586813,0.4046943582594898,0.7213651502760156
69,47498,0.5440268422546024,0.5985090136698711,0.41690177561897557,0.6911801841407488
144,56498,0.5439110521133165,0.5951962946045223,0.42424548630050285,0.7248677366516306
87,94002,0.5432577589985201,0.5940340954963506,0.42477964050358274,0.7037071889538202
80,58643,0.543229128602174,0.5850601068117876,0.44562351277974255,0.6898074061134682
145,55145,0.5427950087874429,0.5995609310195348,0.41034119024589544,0.7519733546841227
165,62974,0.5424906613196636,0.5810358187423748,0.4525519606666708,0.7236653421188151
82,31274,0.5424358445761592,0.5847585774008881,0.4436828013184586,0.7174909633601374
117,13683,0.5417091980006481,0.5950665674685933,0.41720866924210936,0.7072505914264549
27,24674,0.541233102307281,0.584821312412977,0.4395272787273239,0.6745534485299542
23,13512,0.5408307931709625,0.5872549393369947,0.4325077854502206,0.6803513737825665
158,48161,0.540811215058297,0.5943149711352274,0.41596911754545957,0.7082285839538892
18,57053,0.5401811446843825,0.5895240044285964,0.425047805281217,0.6912024659730599
25,54041,0.5396789130401476,0.5832878115091044,0.43792481661258176,0.6809313634164921
62,33247,0.539473555225974,0.5832521213175843,0.437323567678883,0.7117453819067054
28,74394,0.539096033594039,0.5784790188662926,0.4472024012921142,0.7224761371675914
