segment,n,accuracy,tp_recall,tp_f1,error_rate
Boundary,38,0.5789473684210527,0.6875,0.5789473684210527,0.42105263157894735
Non-boundary,238,0.9285714285714286,0.935251798561151,0.9386281588447654,0.07142857142857142
Overall,276,0.8804347826086957,0.9096774193548387,0.8952380952380953,0.11956521739130435
