lexicographic_rank,discrete_combo_id,A_Cell_D,C_Barrier_Thx,E_Barrier_Outer_Thx,F_ThermalResin_Thx,B_Barrier_Type,D_Barrier_Outer_Type,p_tp,p_notp,tmax_pred_given_notp,tmax_std_given_notp,clf_uncertainty_raw,nn_distance_raw,feasibility_margin,robust_tmax_lower_95,is_feasible,objective_score,constraint_violation,cell_d_bin_label,cell_d_bin_weight,cell_d_bin_trial_quota,optimization_method,trust_feasibility_score,trust_tmax_unc_score,trust_clf_unc_score,trust_support_score,trust_score,trust_level,boundary_gap,boundary_near_score
1,combo_003,8.18707804793429,1.1274816830309622,2.1751420028236437,1.8523961174467476,Si2,PU,0.49866851086158714,0.5013314891384129,318.5688561600486,2.3183300268421405,0.09520507532267898,1.498358690910792,0.0013314891384128558,314.024929307438,True,318.5688561600486,0.0,8-10,0.2465753424657534,20,nsga2,0.0,0.41422735308719616,0.4083770731159083,0.25126068906271837,0.24363272390874827,low,0.0013314891384128558,1.0
2,combo_009,8.56470345051776,0.8720609030758388,2.7080709437796675,0.7507350657130516,A1,Si2,0.4803966690416601,0.5196033309583399,322.49394581480175,2.8079247115973183,0.041507724074348294,1.0135663782138025,0.019603330958339882,316.990413380071,True,322.49394581480175,0.0,8-10,0.2465753424657534,20,nsga2,0.14155032632198547,0.14645179562918686,0.9018743209186336,0.7602460565381401,0.3878899255658987,low,0.019603330958339882,0.8584496736780145
3,combo_009,8.560554165685232,1.1374383694379955,1.4790433211826168,1.9361336194254177,A1,Si2,0.4769469649435649,0.5230530350564351,330.5133755234221,2.6382722286766422,0.08907713469024106,1.4775185618053335,0.02305303505643508,325.3423619552159,True,330.5133755234221,0.0,8-10,0.2465753424657534,20,nsga2,0.16827487580156367,0.23924036054372666,0.464694968999099,0.27314082307715126,0.26457843195505776,low,0.02305303505643508,0.8317251241984364
4,combo_009,9.916566911777432,1.2110601946995851,1.1444877323621427,2.2130548738925553,A1,Si2,0.44890967930805914,0.5510903206919409,349.1926768507374,3.0756938141754926,0.10404856042776792,1.7358239212394295,0.05109032069194086,343.16431697495346,True,349.1926768507374,0.0,8-10,0.2465753424657534,20,nsga2,0.3854772229979127,0.0,0.32710238341729014,0.0019450040654552803,0.20062925534254578,low,0.05109032069194086,0.6145227770020874
5,combo_011,9.796825706645528,1.4024194870306903,1.4260173783552308,2.3754409258139537,A2,PU,0.44750700275908173,0.5524929972409183,349.1138427837502,2.319324593157041,0.06279364447985232,1.559645132399081,0.05249299724091827,344.5679665811624,True,349.1138427837502,0.0,8-10,0.2465753424657534,20,nsga2,0.3963436329191837,0.41368339181127933,0.7062493432826898,0.18691581162718252,0.43211252946571344,low,0.05249299724091827,0.6036563670808164
6,combo_009,9.347614972133517,0.5089086206203965,2.954476211074718,2.1535774100763048,A1,Si2,0.4469464353913253,0.5530535646086747,357.6754764078224,1.2473167606352242,0.09991359736808741,0.8597810864060316,0.05305356460867472,355.2307355569773,True,357.6754764078224,0.0,8-10,0.2465753424657534,20,nsga2,0.40068629824068647,1.0,0.3651041254451467,0.9217058429519096,0.651516905916056,medium,0.05305356460867472,0.5993137017593135
7,combo_006,9.040127986058938,0.6967627762588767,2.8075983955445674,2.494339502694821,Si3,Si3,0.44291194417706947,0.5570880558229305,355.2790146264752,1.3327469722781102,0.07325414649796232,0.7852084014302932,0.05708805582293053,352.6668305608101,True,355.2790146264752,0.0,8-10,0.2465753424657534,20,nsga2,0.43194114126906014,0.9532753862353127,0.6101137083479478,1.0,0.7091847569843545,high,0.05708805582293053,0.5680588587309399
8,combo_001,8.309148222875246,1.1946985451157468,1.6897467276175098,1.0544839221936089,Si1,PU,0.4413007392643351,0.5586992607356649,313.93960465976045,2.4879509794942267,0.08187051400823499,1.586472390616648,0.05869926073566489,309.06322073995176,True,313.93960465976045,0.0,8-10,0.2465753424657534,20,nsga2,0.4444230017961368,0.3214560331214097,0.5309263079729885,0.15874976706623878,0.3819825872196043,low,0.05869926073566489,0.5555769982038632
9,combo_004,9.532819997900042,1.1816619614828974,2.667206013959488,0.5977003244674262,Si2,Si2,0.43591812482529235,0.5640818751747076,321.98275610809816,2.4265302632950236,0.03877943840045372,1.6527144266693747,0.06408187517470765,317.2267567920399,True,321.98275610809816,0.0,8-10,0.2465753424657534,20,nsga2,0.486121635016626,0.35504905819261956,0.9269482107844477,0.08920199128768402,0.4754272305636471,medium,0.06408187517470765,0.513878364983374
10,combo_005,9.793312495479961,1.1672254839651064,1.6354121769160035,1.8200498671816394,Si3,PU,0.43001264638741077,0.5699873536125892,351.34011914784537,1.993567449243551,0.06318346920362555,1.2817417602439583,0.06998735361258923,347.43272694732804,True,351.34011914784537,0.0,8-10,0.2465753424657534,20,nsga2,0.531870848927724,0.5918507688753976,0.7026667191152915,0.47868766174610966,0.5760465208722974,medium,0.06998735361258923,0.46812915107227604
