Eval#,A_Cell_D,B_Barrier_Type,C_Barrier_Thx,F_ThermalResin_Thx,G_CoolingLPM,TP_NoTP,MaxT_TB_Center,MaxT_TB_Top,MaxT_TB_Btm,MaxT_Adj,MaxT_Adj_Y,MaxT_Adj_Z,Max_Power,Time_MaxT,Time_Max_Power,
37,14.22952623,ETI,1.287640737,1.787067237,6.229099074,1,121.5992608,105.4636897,118.2500353,790.7929896,-0.19074827,0.097624115,1652.554364,145.400001,87.8,
38,14.1017874,ETI,1.341482752,2.095596936,2.950140069,1,120.5991325,105.0478561,117.9771069,787.9494829,-0.47018333,0.100954274,1574.540059,159.500001,91.3,
39,13.35065068,ETI,1.430194005,2.296082029,9.077405733,0,145.0149576,131.1597196,139.1000703,209.9843995,-0.494992756,0.111517761,1467.622395,246.5,93.3,
40,11.4589023,ETI,1.551103938,2.025864351,8.376097639,0,135.1740172,127.0168559,132.218416,194.1976058,-0.505656481,0.109239106,1301.501165,246.9,99.5,
41,12.09571751,ETI,1.328031224,2.548387905,4.06959172,1,127.9935738,113.6711892,126.4988497,665.8329814,-0.178496748,0.101755258,1572.552316,174.700001,85.6,
42,11.97173635,ETI,2.565646493,1.740496388,12.01757663,0,118.7551794,109.9631066,114.8088014,151.6153983,-0.490554284,0.113198274,682.0241471,345.2,141.8,
43,13.84883992,ETI,2.334902569,1.831013949,16.44410094,0,121.5448532,112.9072987,118.6654266,162.8231479,-0.487830693,0.114168358,798.6030825,324.6,143.8,
44,14.52152191,ETI,1.600683947,1.228783184,18.16845963,0,132.1120744,126.575296,127.0278629,197.06383,-0.17011568,0.11378632,1277.338185,249.1,103.5,
45,12.35701602,ETI,1.54475398,1.920165113,1.166156237,0,134.5168123,126.5414066,131.6639061,197.0939563,-0.501871474,0.109592601,1319.358642,246.8,101.2,
46,11.41183321,ETI,2.481094929,2.509214957,4.468702623,0,121.0833183,111.3644277,118.917445,154.9185571,-0.492485628,0.110522753,709.3797956,339.5,114.7,
47,12.85891605,ETI,1.982615911,2.165518116,2.369970241,0,127.2226426,117.8163342,125.7453764,176.2665006,-0.493438715,0.10900341,985.987459,289.6,125.6,
48,11.91172733,ETI,2.197715698,2.27665003,0.03099692,0,125.4794822,115.9640749,123.696579,166.4296602,-0.491168612,0.108729852,838.103812,313.3,132.9,
49,11.84709055,ETI,1.844776281,2.20888605,5.321620453,0,130.2486697,121.5177486,129.1981475,180.1714856,-0.496008237,0.108604612,1063.872438,273.2,115.4,
50,14.34698268,ETI,1.259593513,1.530310136,8.56371923,1,119.9519021,103.7471295,114.6604385,538.1958972,-0.203547342,0.097719549,1684.56382,140.200001,87.5,
51,10.76713335,ETI,2.65734778,1.708659771,27.2075438,0,116.2673587,107.706075,111.6650804,144.9339801,-0.489517303,0.113012896,609.6769197,356.2,120.6,
52,12.64840794,ETI,1.950624787,1.586906288,2.631555019,0,127.1701666,118.3939661,123.6960732,175.5125165,-0.492224256,0.110157166,995.5813093,281.9,122.5,
53,12.97830343,ETI,1.509045457,1.927776525,0.350262839,0,136.3677307,128.2742501,132.7412609,201.8713448,-0.498151284,0.110796337,1360.977366,248.9,95.7,
54,13.94898428,ETI,1.273556292,2.652977911,14.97391443,1,118.6686711,101.5547449,116.3554877,789.0604078,-0.200362716,0.097396175,1675.920468,141.600001,86.8,
55,12.53373158,ETI,1.247558002,1.401437673,24.98180722,1,122.9402947,106.541116,114.712342,647.5336324,-0.458771669,0.099288215,1619.206972,142.700001,88.5,
56,13.0687814,ETI,2.954513614,1.805063186,7.397919162,0,113.6902564,106.0681158,109.8411889,141.7921046,-0.488240839,0.117323029,585.3439461,394.5,162.9,
57,10.36767759,ETI,2.101450004,2.744200514,1.388242365,0,125.6257263,114.7994426,123.7868328,167.5242308,-0.498403245,0.106988465,859.83201,296.2,121.8,
58,13.78643865,ETI,1.365638359,2.052447613,6.79220526,1,123.9668897,108.6053277,121.4010437,780.1174093,-0.186819058,0.100619216,1541.077717,167.700001,90.7,
59,15.22528558,ETI,2.823602269,1.291640337,17.63303486,0,116.2213977,110.3106041,111.0514035,149.0078979,-0.178870983,0.133557641,631.0933129,378.9,165.3,
60,13.39675472,ETI,1.033479274,1.949136948,29.04013412,1,117.7829599,99.88157327,113.3275614,759.2307683,-0.226818385,0.090432111,1994.370793,112.100001,80.8,
1,14.53385206,ETI,1.000452801,1.226503469,0.593752516,1,115.4554977,96.94210168,106.6076584,667.8199352,-0.432081422,0.090787453,2136.597617,108.100001,76.7,Itr_1
2,12.10461161,ETI,2.997312189,2.206951562,22.83793584,0,114.4546153,106.1956678,111.1740657,139.3521745,-0.487987572,0.114972862,570.2207612,398.2,161.2,
3,12.35280906,ETI,2.994882152,2.432118197,23.95898571,0,114.2386889,105.9282948,111.4224251,139.4253228,-0.486827706,0.115577849,545.5711359,408.9,134.9,
4,10.23700885,ETI,2.338730152,2.944527567,17.99481654,0,123.4776143,112.3207645,121.6252621,158.2401653,-0.493738603,0.107952834,750.4075679,319,108.8,
5,10.05783365,ETI,1.012140297,1.250276606,7.839674707,1,121.4657594,99.73207015,105.4380794,598.566158,-0.239994833,0.091811654,2017.5829,98.300001,68,
6,15.99758296,ETI,1.005277475,1.309705141,1.196465713,1,113.8117086,96.61148528,108.2142728,780.9587943,-0.438694086,0.091244869,2146.933324,113.600001,80.5,
7,12.18064879,ETI,1.011699288,1.221653121,2.448782201,1,118.1680061,98.99020935,105.3312779,652.5279294,-0.232040722,0.093005741,2078.247881,102.700001,71.5,
8,14.83955779,ETI,1.013922929,1.274879281,0.383561781,1,114.4346353,96.77080461,109.0318799,863.0264459,-0.215366118,0.090882988,2098.38851,111.000001,78.2,
9,12.49148462,ETI,1.029172709,1.263495333,1.266632386,1,119.1655433,101.1416131,109.8093877,536.8296466,-0.235519648,0.0916649,2058.844687,105.000001,72.9,
10,14.53385206,ETI,1.000452801,1.403853122,0.593752516,1,115.5797368,96.962366,109.1620435,667.77256,-0.428539459,0.090787453,2142.581503,108.000001,76.8,
11,15.98725997,ETI,1.009514758,1.343657392,5.855078286,1,114.016357,96.72839891,109.0776635,674.2863064,-0.446433121,0.091241644,2143.130314,114.400001,81,
12,14.20427968,ETI,1.017960916,1.271314854,1.837612672,1,117.0805224,98.86176743,111.1647763,797.9606368,-0.211759728,0.092414248,2104.771892,109.500001,76.7,
13,12.66146723,ETI,1.035614747,1.264293756,1.550752264,1,118.1939733,100.3859853,109.6325335,689.7053049,-0.221896197,0.091739267,2044.112101,106.500001,73.6,
14,13.98147846,ETI,1.016760917,1.261865559,2.147003237,1,114.9525382,96.09774314,107.1367569,765.3164568,-0.441726726,0.092316772,2085.06186,108.200001,75.9,
15,13.72680047,ETI,1.03232692,1.266435088,0.502639222,1,116.4786151,97.69095491,108.9480979,821.841264,-0.22586875,0.09220535,2063.941184,109.700001,76,
16,12.99786918,ETI,1.043320562,1.249048873,0.776701148,1,116.8909585,98.53586468,105.4353429,784.8288802,-0.215773687,0.093465426,2028.788935,108.200001,74.4,
17,15.60050866,ETI,1.014837237,1.346761185,4.013787962,1,115.4264867,98.11282407,110.0224456,672.6460048,-0.441652354,0.091120784,2104.542729,112.700001,79.9,
18,15.92215815,ETI,1.002881252,1.214140365,12.46812526,1,114.0414936,96.83182939,106.4039684,874.1122345,-0.21649558,0.0912213,2132.174464,113.900001,80.3,
19,12.32780617,ETI,1.014786941,1.592192005,0.68111414,1,116.9230771,98.44875617,107.0790481,687.164641,-0.235303133,0.091593292,2077.782437,103.000001,72.3,
20,12.07234669,ETI,1.015791805,1.242327949,10.0285126,1,118.6219043,100.6364986,105.6004872,684.7120182,-0.230014378,0.091481528,2065.303365,102.800001,71.7,
1,15.78724459,ETI,1.511901696,2.828614864,29.58007876,1,126.9124376,114.5077884,126.5454773,822.8521274,-0.182784393,0.104672723,1372.85215,205.900001,111,Itr_2
2,15.53931402,ETI,1.497288845,2.324692477,29.05808292,1,127.7402,115.4896,126.7859,712.5905,-0.4829315,0.1081716,1381.336,204.8,108.6,
3,10.21854268,ETI,1.271863185,1.906226638,27.22467513,1,130.2850613,115.5133514,126.056477,696.826444,-0.205245899,0.100523026,1526.630765,170.200001,87.6,
4,15.95908618,ETI,1.510392076,2.747808253,21.05287347,1,126.5473718,113.84644,126.2649129,823.9239232,-0.483257196,0.104876794,1376.34135,206.000001,110.3,
5,15.81113547,ETI,1.516281751,2.899223247,14.72854287,1,127.2661489,114.676663,127.1166635,723.1718143,-0.483736079,0.104701104,1401.638185,204.700001,104.1,
