segment,n,accuracy,tp_recall,tp_f1,error_rate
Boundary,18,0.5,0.4444444444444444,0.47058823529411764,0.5
Non-boundary,164,0.9329268292682927,0.9518072289156626,0.9349112426035503,0.06707317073170732
Overall,182,0.8901098901098901,0.9021739130434783,0.8924731182795699,0.10989010989010989
