segment,n,accuracy,tp_recall,tp_f1,error_rate
Boundary,47,0.5531914893617021,0.5882352941176471,0.4878048780487805,0.44680851063829785
Non-boundary,242,0.9380165289256198,0.9105691056910569,0.9372384937238494,0.06198347107438017
Overall,289,0.8754325259515571,0.8714285714285714,0.8714285714285714,0.1245674740484429
