try,boundary_n,notp_n,us_n,rc_n,boundary_p_tp_mean,notp_p_tp_mean,notp_p_tp_std,notp_p_tp_min,notp_p_tp_max,notp_p_notp_mean,notp_tmax_mean,notp_tmax_min,notp_tmax_max,notp_window_score_mean
14,17,8,2,1,0.5012622181533193,0.2508607213666778,0.002452777005895774,0.2480186377062523,0.2555974985913281,0.7491392786333222,368.12580831589537,311.67609053821724,456.3870839417822,0.9866983888192825
15,17,8,2,1,0.5012622181533193,0.4147041410502972,0.048006905839911365,0.3178603129684916,0.4625250383878949,0.5852958589497028,389.5843939695554,330.436290064432,465.11191141034817,0.09656017737767306
16,17,8,2,1,0.5012622181533193,0.4147041410502972,0.048006905839911365,0.3178603129684916,0.4625250383878949,0.5852958589497028,389.5843939695554,330.436290064432,465.11191141034817,0.09656017737767306
17,17,8,2,1,0.5012622181533193,0.4147041410502972,0.048006905839911365,0.3178603129684916,0.4625250383878949,0.5852958589497028,389.5843939695554,330.436290064432,465.11191141034817,0.09656017737767306
18,17,8,2,1,0.5012622181533193,0.4147041410502972,0.048006905839911365,0.3178603129684916,0.4625250383878949,0.5852958589497028,389.5843939695554,330.436290064432,465.11191141034817,0.09656017737767306
