accuracy,tp_precision,tp_recall,tp_f1,confusion_matrix_labels_NoTP0_TP1,tmax_mae,tmax_rmse,tmax_r2,tmax_eval_n,model,fold,cv_model_group
0.8620689655172413,0.9166666666666666,0.7857142857142857,0.8461538461538461,"[[28, 2], [6, 22]]",1.8956562125757903,2.306800874952726,0.9117673442944658,30,gp,0,gp_cv
0.8448275862068966,0.8275862068965517,0.8571428571428571,0.8421052631578947,"[[25, 5], [4, 24]]",1.3953760343129384,1.6346538139636893,0.9729591660804529,30,gp,1,gp_cv
0.8793103448275862,0.9565217391304348,0.7857142857142857,0.8627450980392157,"[[29, 1], [6, 22]]",1.6350087390994428,2.105275216335571,0.9543608012980793,30,gp,2,gp_cv
0.7931034482758621,0.8076923076923077,0.75,0.7777777777777778,"[[25, 5], [7, 21]]",1.031459114039724,1.3879324505750992,0.969797091521808,30,gp,3,gp_cv
0.9122807017543859,0.896551724137931,0.9285714285714286,0.9122807017543859,"[[26, 3], [2, 26]]",1.565955708537116,1.9345246086521308,0.9364700949235006,29,gp,4,gp_cv
0.8448275862068966,0.9130434782608695,0.75,0.8235294117647058,"[[28, 2], [7, 21]]",1.4696555712630228,1.8246560120744515,0.9447959245072821,30,mlp,0,mlp_cv
0.7758620689655172,0.7586206896551724,0.7857142857142857,0.7719298245614035,"[[23, 7], [6, 22]]",1.238019600328777,1.4219905307153289,0.979537348618395,30,mlp,1,mlp_cv
0.8620689655172413,0.8333333333333334,0.8928571428571429,0.8620689655172413,"[[25, 5], [3, 25]]",1.6686417682942685,2.029661668555151,0.9575803037154725,30,mlp,2,mlp_cv
0.896551724137931,0.9583333333333334,0.8214285714285714,0.8846153846153846,"[[29, 1], [5, 23]]",1.2993998982226562,1.6030503445289885,0.9597091499290281,30,mlp,3,mlp_cv
0.7894736842105263,0.7352941176470589,0.8928571428571429,0.8064516129032258,"[[20, 9], [3, 25]]",1.6730523831054678,2.0922413102508313,0.9256889779210027,29,mlp,4,mlp_cv
