Eval#,A_Cell_D,B_Barrier_Type,C_Barrier_Thx,D_Barrier_Outer_Type,E_Barrier_Outer_Thx,F_ThermalResin_Thx,TP_NoTP,MaxT_TB,MaxT_Adj,MaxT_Adj_Y,MaxT_Adj_Z,Max_Power,Time_MaxT,Time_Max_Power
47,14.19285056,Si1,1.711925514,PU,2.071108986,1.912440758,0,242.5356839,238.2127148,-0.002419699,0.052125344,1074.028516,,
48,18.806949,Si1,0.52360949,PU,2.647771553,2.253565455,1,317.9576733,931.3848563,-0.002305119,0.029966544,1469.284763,,
49,16.43995072,Si1,0.317421341,PU,2.95683611,1.454101292,1,312.8938056,565.8491652,-0.002009244,0.035764541,1450.413946,,
51,17.42818251,Si1,0.342979567,PU,2.877762321,2.481106205,1,318.5917066,648.1992662,-0.002132773,0.03881646,1475.584031,,
55,18.06531948,Si1,0.586532814,PU,2.199580405,2.001884226,1,315.6454717,656.5237794,-0.002212415,0.039380987,1442.389153,,
57,16.80539511,Si1,0.463012307,PU,2.17703058,2.372647564,1,318.2038277,858.9704841,-0.002054925,0.032467815,1453.396542,,
58,19.9471627,Si1,0.62186667,PU,1.888690875,1.050340014,1,312.4201128,692.3562183,-0.002447645,0.026924095,1482.121974,,
59,13.68335434,Si1,0.35276901,PU,1.468511263,0.643335527,1,305.4174671,557.8587944,-0.002996404,0.024970031,1429.357469,,
60,16.87056968,Si1,0.413451255,PU,2.026387788,1.842738096,1,318.0454703,897.6877473,-0.002063071,0.033421754,1472.973026,,
46,12.96308161,Si1,0.838110934,PU,2.849597858,2.450983463,1,292.4835198,882.0806704,-0.006613467,0.029918065,1256.008597,Itr_1,
50,13.1239063,Si1,0.547659429,PU,1.696203946,0.567925676,0,288.8643354,319.5670036,-0.004784216,0.052034768,1364.26726,,
52,18.78138005,Si1,1.881554495,PU,1.667161109,2.07016464,0,262.8411628,258.4785571,-0.001381154,0.051981532,1151.262718,,
