segment,n,accuracy,tp_recall,tp_f1,error_rate
Boundary,41,0.4878048780487805,0.4444444444444444,0.43243243243243246,0.5121951219512195
Non-boundary,241,0.8796680497925311,0.8738738738738738,0.8699551569506726,0.12033195020746888
Overall,282,0.8226950354609929,0.813953488372093,0.8076923076923077,0.1773049645390071
