pareto_rank_in_bin,discrete_combo_id,A_Cell_D,C_Barrier_Thx,E_Barrier_Outer_Thx,F_ThermalResin_Thx,B_Barrier_Type,D_Barrier_Outer_Type,p_tp,p_notp,tmax_pred_given_notp,tmax_std_given_notp,clf_uncertainty_raw,nn_distance_raw,feasibility_margin,robust_tmax_lower_95,is_feasible,objective_score,constraint_violation,cell_d_bin_label,cell_d_bin_weight,cell_d_bin_trial_quota,optimization_method,trust_feasibility_score,trust_tmax_unc_score,trust_clf_unc_score,trust_support_score,trust_score,trust_level,boundary_gap,boundary_near_score
1,combo_003,8.18707804793429,1.1274816830309622,2.1751420028236437,1.8523961174467476,Si2,PU,0.4986685109048148,0.5013314890951852,318.56885616057275,2.318330026980382,0.095205074511849,1.498358690910792,0.001331489095185212,314.0249293076912,True,318.56885616057275,0.0,8-10,0.2465753424657534,20,nsga2,0.0,0.36249262910692015,0.42564969811917397,0.234789206962157,0.22909610940023437,low,0.001331489095185212,1.0
2,combo_009,8.56470345051776,0.8720609030758388,2.7080709437796675,0.7507350657130516,A1,Si2,0.4803966689451471,0.5196033310548529,322.49394581481346,2.8079247117114554,0.04150772984323598,1.0135663782138025,0.0196033310548529,316.990413379859,True,322.49394581481346,0.0,8-10,0.2465753424657534,20,nsga2,0.050699127158632035,0.12816076978892776,0.9301540679854512,0.7104078611602529,0.3487849182133277,low,0.0196033310548529,0.949300872841368
3,combo_009,8.560554165685232,1.1374383694379955,1.4790433211826168,1.9361336194254177,A1,Si2,0.4769469650007778,0.5230530349992222,330.5133755233957,2.6382722287720886,0.08907714275229044,1.4775185618053335,0.023053034999222177,325.34236195500245,True,330.5133755233957,0.0,8-10,0.2465753424657534,20,nsga2,0.060271067377974503,0.20936055198618053,0.483223650239505,0.25523498116041254,0.2188330164001081,low,0.023053034999222177,0.9397289326220255
4,combo_009,9.916566911777432,1.2110601946995851,1.1444877323621427,2.2130548738925553,A1,Si2,0.44890967936096615,0.5510903206390338,349.1926768511598,3.0756938143094645,0.10404856811404538,1.7358239212394295,0.05109032063903385,343.16431697511325,True,349.1926768511598,0.0,8-10,0.2465753424657534,20,nsga2,0.1380665032718143,0.0,0.3425621414675989,0.0018174986456096498,0.11710832923549623,low,0.05109032063903385,0.8619334967281858
5,combo_009,9.347614972133517,0.5089086206203965,2.954476211074718,2.1535774100763048,A1,Si2,0.4469464358527375,0.5530535641472625,357.6754764080306,1.2473167606535773,0.09991360372547084,0.8597810864060316,0.05305356414726248,355.23073555714956,True,357.6754764080306,0.0,8-10,0.2465753424657534,20,nsga2,0.14351394160270342,0.8751054859855677,0.381411503873719,0.8612830949653529,0.5182362903761633,medium,0.05305356414726248,0.8564860583972966
1,combo_001,11.597155028177363,0.8498016300151127,2.273273227676029,1.0934008871751546,Si1,PU,0.4647387481220733,0.5352612518779267,366.6368138290424,1.7328187207150525,0.11225715524923474,1.0550791200483463,0.035261251877926725,363.2404891364409,True,366.6368138290424,0.0,10-12,0.273972602739726,22,nsga2,0.09414537196531872,0.6427325036967048,0.2654397417346418,0.6696806592506808,0.37931067853140343,low,0.035261251877926725,0.9058546280346813
2,combo_005,10.897470440384522,0.8879598521978622,2.28876342666009,1.4912130784070825,Si3,PU,0.4626357605413318,0.5373642394586682,369.9263520352997,1.2734775114078845,0.0763010789028422,1.366018275606623,0.03736423945866818,367.43033611294027,True,369.9263520352997,0.0,10-12,0.273972602739726,22,nsga2,0.09998056006536805,0.8625843178507898,0.6032590091853778,0.3646253627230005,0.46911409762364137,medium,0.03736423945866818,0.900019439934632
3,combo_002,11.431232619974441,0.807249318664637,2.960920995086509,0.501163570470331,Si1,Si1,0.455968609604426,0.544031390395574,355.74123914628495,2.9868268300097904,0.04091861277954468,1.7376764755157421,0.04403139039557402,349.88705855946574,True,355.74123914628495,0.0,10-12,0.273972602739726,22,nsga2,0.11847999399666556,0.04253388836188854,0.9356890182670575,0.0,0.241365968060811,low,0.04403139039557402,0.8815200060033345
4,combo_014,11.399264073624943,1.1615480961390092,2.0020859669663533,2.3573773404003493,A2,Si3,0.38696862719362457,0.6130313728063754,374.6769385130584,1.3381293819561455,0.05686934571008454,1.3065475142821046,0.11303137280637543,372.05420492442437,True,374.6769385130584,0.0,10-12,0.273972602739726,22,nsga2,0.3099351789698294,0.8316403686894915,0.7858265899535208,0.42297076698064373,0.5785803562840884,medium,0.11303137280637543,0.6900648210301705
5,combo_005,11.732902420439283,0.8545503530006848,2.5374882189109322,1.4822154322103105,Si3,PU,0.34782284265997987,0.6521771573400201,379.1813321154245,1.1648256464803548,0.07365403984842513,1.1790016384084103,0.15217715734002013,376.898273848323,True,379.1813321154245,0.0,10-12,0.273972602739726,22,nsga2,0.4185535170758886,0.9145877286738066,0.6281288193855216,0.5481031097236284,0.6287112799143516,medium,0.15217715734002013,0.5814464829241114
