discrete_combo_id,B_Barrier_Type,D_Barrier_Outer_Type,n_total,n_notp,n_tp,notp_ratio,tp_ratio,notp_tmax_min,notp_tmax_mean,notp_tmax_max
combo_001,Si1,PU,25,10,15,0.4,0.6,324.6352937,372.45997845,423.6383574
combo_002,Si1,Si1,29,14,15,0.4827586206896552,0.5172413793103449,262.5767887,352.53040001428565,430.7024571
combo_003,Si2,PU,24,12,12,0.5,0.5,308.7359367,366.9890668166666,426.528061
combo_004,Si2,Si2,22,12,10,0.5454545454545454,0.45454545454545453,265.2624785,347.16932004999995,409.4562992
combo_005,Si3,PU,23,13,10,0.5652173913043478,0.43478260869565216,287.4763493,363.7700979076923,427.3821429
combo_006,Si3,Si3,27,13,14,0.48148148148148145,0.5185185185185185,305.8374404,374.8180797153846,423.8801431
combo_007,A1,PU,28,10,18,0.35714285714285715,0.6428571428571429,266.0174615,364.56263035,431.2817636
combo_008,A1,Si1,20,11,9,0.55,0.45,263.5845894,358.06587244545454,434.8895237
combo_009,A1,Si2,23,13,10,0.5652173913043478,0.43478260869565216,295.0316891,353.3788204,426.3039844
combo_010,A1,Si3,21,9,12,0.42857142857142855,0.5714285714285714,269.7775331,354.1554519777778,407.2906475
combo_011,A2,PU,25,12,13,0.48,0.52,311.420805,368.39009709166675,412.4210531
combo_012,A2,Si1,24,7,17,0.2916666666666667,0.7083333333333334,308.6322493,369.3486909857143,420.8322242
combo_013,A2,Si2,28,16,12,0.5714285714285714,0.42857142857142855,291.3035203,352.746427225,406.6595602
combo_014,A2,Si3,22,8,14,0.36363636363636365,0.6363636363636364,292.3628725,357.44251856249997,393.2390852
