A_Cell_D,C_Barrier_Thx,E_Barrier_Outer_Thx,F_ThermalResin_Thx,B_Barrier_Type,D_Barrier_Outer_Type,discrete_combo_id,CellD_x_Resin,Barrier_x_Outer,selected_model_kind,p_tp,p_notp,boundary_score,clf_uncertainty_raw,clf_uncertainty_scaled,tmax_pred_given_notp,tmax_std_given_notp,tmax_scaled,notp_window_score,local_sparsity,combo_priority,acq_boundary,acq_notp_high_tmax,acq_uncertainty_sparse,MaxT_Adj_Y_pred_given_notp,MaxT_Adj_Y_std_given_notp,MaxT_Adj_Z_pred_given_notp,MaxT_Adj_Z_std_given_notp,Max_Power_pred_given_notp,Max_Power_std_given_notp,acq_misclass_repair
12.517028786478951,0.9980135028212621,2.3806179600639283,2.4239642979696305,Si1,PU,combo_001,30.34083089508311,2.3758888692026088,hybrid,0.49218608776666883,0.5078139122333312,0.9843721755333377,0.1872135685611751,0.72832228428159,281.65287067541783,8.40992749190511,0.3526453224670858,0.0,0.30219010576486416,0.9999998699999999,0.8642758946738678,0.3941999037583281,0.5101934274553719,-0.0043052164549887235,0.0020305002179945835,0.05205521474666577,6.363261594702627e-05,1213.771057086282,4.676477420544903,0.1019251514306911
12.175325540175947,0.93700874345093,2.998615252242681,2.477399277435778,Si1,PU,combo_001,30.163142695777267,2.809728709596708,hybrid,0.5052088853992238,0.4947911146007762,0.9895822292015524,0.19442229595125596,0.7563777092305678,278.84042260084954,9.46579423675926,0.3381687658103246,0.0,0.20435122820224746,0.9999998699999999,0.8582840853674618,0.3790733025129729,0.5221050611503592,-0.00501650767158479,0.0020328927530989215,0.052174719778535224,8.485972332777323e-05,1204.4341835741152,6.501302652626639,0.08835076642143821
12.190211399857228,1.0008748781054422,2.370040866790271,2.421078973136111,Si1,PU,combo_001,29.51346449827845,2.3721143636536293,hybrid,0.4688771600281001,0.5311228399718999,0.9377543200562002,0.19965177431659675,0.776730155628111,279.1786968533094,8.90489488881585,0.3399099700037605,0.0,0.33110680145767146,0.9999998699999999,0.8458659938701072,0.3904226852958291,0.5393341922044932,-0.004047399142057786,0.002061694438390082,0.05220808714712399,6.344751490635486e-05,1210.1829403580348,4.874197825631538,0.09066040252989672
15.786832002223491,0.9657224302074189,2.04098950980862,2.0704451235907158,Si1,Si1,combo_002,32.68576933594948,1.9710293494402291,hybrid,0.527832158173112,0.472167841826888,0.944335683653776,0.1924920401241418,0.7488654058017484,305.0586898097283,5.086561582612965,0.4731224505106894,0.0,0.29679338128846955,0.9999998739999999,0.8418044620730034,0.4629148236627266,0.46379612004127224,-0.00470535207091229,0.0018477963597151811,0.052118338709552826,0.0001223740298468114,1260.4360496980016,2.9561515802948293,0.19231583343197287
14.140526991016179,0.31256256072434585,2.7879900054829507,0.5818067881245221,Si1,Si1,combo_002,8.227054591031237,0.8714212953876341,hybrid,0.48063178012472463,0.5193682198752754,0.9612635602494493,0.21337985721637956,0.8301580602563484,297.5055635588689,5.775601696315812,0.4342441291311844,0.0,0.11656760633185215,0.9999998739999999,0.8390535986300982,0.42080386293986155,0.4761572289414653,-0.003581973939527258,0.0020717459495196567,0.05202783613333595,8.636716314732907e-05,1369.720069909668,3.4404181753645884,0.29670209802386416
12.620087333759692,1.0081572998332904,2.226876014110169,2.429860966893228,Si1,PU,combo_001,30.6650576110863,2.245041309448828,hybrid,0.5384441156524531,0.4615558843475469,0.9231117686950938,0.18423910120677114,0.7167460460485432,283.08649823114496,8.2526186480439,0.36002465534183176,0.0,0.4002715554915865,0.9999998699999999,0.838244359632772,0.40845981062101144,0.518355762604725,-0.003765835962077612,0.002088284651170181,0.05223782904412428,3.821507179795834e-05,1218.7360443564,4.548758085684138,0.07466218830252515
15.015541598969847,0.9104834193819829,1.7110837938880454,1.7626214536844453,Si1,Si1,combo_002,26.46671576103549,1.5579134235082837,hybrid,0.5148265806869432,0.4851734193130568,0.9703468386261136,0.15753876897482275,0.6128318422631508,299.1820528939852,5.362772129002336,0.44287354812872165,0.0,0.27021871819952453,0.9999998739999999,0.8366619125277794,0.44033639986259976,0.4165846329559292,-0.0032963137168745774,0.0018693960237561986,0.0521795983583032,4.6894669875209477e-05,1275.6855875695342,3.324426709109159,0.24034635606044646
14.050053911580608,0.9613578597333516,1.6571307796008066,2.175059442432409,Si1,Si1,combo_002,30.559702427067805,1.5930956995752918,hybrid,0.500576516146237,0.499423483853763,0.998846967707526,0.13769291704128656,0.5355943800397934,290.18981171869916,5.377009646148097,0.3965876486582857,0.0,0.20223058136786243,0.9999998739999999,0.8352030187602131,0.4012020576770748,0.3795794045973168,-0.0035311912392331215,0.002030460800456126,0.05211296171186048,0.000130913430649253,1251.7150809230632,3.4967577606968314,0.20846725447462308
14.455285499727353,0.8150506505643297,1.7683292437180296,1.5689165083930032,Si1,Si1,combo_002,22.679136054056247,1.441277900504309,hybrid,0.5072965328826253,0.49270346711737467,0.9854069342347493,0.11246128492800869,0.4373961651831283,296.96907764277216,5.23417442696924,0.4314826670333921,0.0,0.35558239402653935,0.9999998739999999,0.8343904318188049,0.4403156531214481,0.3659444559020446,-0.0035323517743961817,0.0020412385797936995,0.052263311487896834,7.427354022581107e-06,1289.5425611880821,3.068980550186072,0.13045633290667555
13.672836121531482,0.9415751389506111,1.842889866648966,1.8508263814801806,Si1,PU,combo_001,25.30604580338562,1.7352192822606731,hybrid,0.5225499567750092,0.47745004322499085,0.9549000864499817,0.13721716021385696,0.5337427966404432,290.8061206888253,5.89686101819134,0.3997599851735013,0.0,0.39769535250387505,0.9999998699999999,0.8337072738224212,0.42532793687218506,0.4165067497009496,-0.0038176706261803927,0.0020935898850448632,0.05210645034735387,0.0001181898805847259,1263.582022995717,3.552556912105839,0.08107187878410792
