Eval#,A_Cell_D,B_Barrier_Type,C_Barrier_Thx,D_Barrier_Outer_Type,E_Barrier_Outer_Thx,F_ThermalResin_Thx,TP_NoTP,MaxT_TB,MaxT_Adj,MaxT_Adj_Y,MaxT_Adj_Z,Max_Power,Time_MaxT,Time_Max_Power,CellD_x_Resin,Barrier_x_Outer,discrete_combo_id,oof_predicted_label
22,12.10878406,Si1,0.403154262,Si1,2.29968358,0.886933679,1,292.1919,808.9561,-0.00557782,0.03376049,1349.874,,,10.739688394552356,0.9271272365284179,combo_002,0
23,12.2244285,Si1,0.802911918,Si1,1.798230703,1.510630384,0,272.3423,292.6169,-0.004446911,0.05228855,1265.265,,,18.466593119135542,1.4438208627522182,combo_002,1
38,18.38118458,Si1,1.274950167,PU,2.998720407,2.499282949,0,307.4379503,320.9531954,-0.00045,0.051871632,1228.938748,,,45.93978120321572,3.823219083690958,combo_001,1
50,13.1239063,Si1,0.547659429,PU,1.696203946,0.567925676,0,288.8643354,319.5670036,-0.004784216,0.052034768,1364.26726,,,7.453403357188159,0.9289420845339068,combo_001,1
11,15.91340396,Si1,1.072032294,PU,1.739697257,1.910389502,1,316.412194,581.1649795,-0.02060031,0.026041902,1268.90539,,,30.400799866269228,1.8650116412872175,combo_001,0
2,18.27718379,Si1,1.056774647,PU,2.239840708,1.527581188,0,273.7040766,284.3815126,-0.0026677,0.0521148,1247.130044,Itr_2,,27.919882127222543,2.36700687353293,combo_001,1
12,14.27493107,Si1,0.547106756,PU,2.947142333,0.77741148,0,291.2163045,316.6709275,-0.002434063,0.052279244,1335.154184,,,11.097495290026684,1.6124014812779017,combo_001,1
13,14.93016924,Si1,0.620419594,PU,2.205178207,0.837707523,1,324.615427,861.4573987,-0.017112899,0.009830814,1350.378556,,,12.507115092011192,1.368135767884588,combo_001,0
16,18.31462741,Si1,1.195628978,PU,2.96759448,2.46928919,1,350.0964385,682.2225619,-0.004935873,-0.005833305,1243.366911,,,45.2241114823907,3.5481419552408413,combo_001,0
17,19.61684961,Si1,0.267335985,Si1,2.771518957,2.498822917,0,319.4298072,588.8355179,-0.002406356,0.033207716,1527.551529,,,49.01903336481051,0.7409267503157676,combo_002,1
2,14.35960742,Si1,0.909806341,PU,1.342507281,1.341048529,0,296.554949,323.4905883,-0.002448882,0.052088179,1299.395551,,,19.256930407608486,1.2214216370924689,combo_001,1
6,17.85411116,Si1,0.929323532,PU,2.920443431,1.645622395,1,329.1514949,876.1722236,-0.003934825,0.010055663,1294.258004,,,29.381125167715425,2.714036804303118,combo_001,0
