discrete_combination_id,group_min_distance
1,0.7807640475405171
2,0.7633952838545185
3,0.6951524917853082
4,1.009519791285879
5,0.8563941759535647
6,0.8045173473406081
7,0.7038046150927999
8,0.793186986528532
9,0.7295149895805614
10,0.7652979338992029
11,0.802128960403213
12,0.7893733694833699
13,0.7346154922450006
14,0.8416289631423065
15,0.7487137028724032
16,0.7523006512582555
17,0.7200107396204714
18,0.7886460842532818
19,0.7811376625006485
20,0.7093620779772304
21,0.7092969731543629
22,0.7794340311151295
23,0.8493667844008519
24,0.797078348993903
25,0.8318544240569049
26,0.7709257805691718
27,0.8697941930018716
28,0.8236101861809856
29,0.7020476274381762
30,0.7214486868043216
31,0.773957457765656
32,0.7091093897898116
33,0.8661075405548053
34,0.8537516337181349
35,0.6924803375326193
36,0.7709643338604131
37,0.7747222371931931
38,0.6683903777990662
39,0.6864997970996568
40,0.8740600215636789
41,0.8612236683364122
42,0.8314054227220504
43,0.9148125510696038
44,0.8254630677954855
45,0.8641521863442151
46,0.858060423617635
47,0.7751899794154086
48,0.7569657114183348
