discrete_combo_id,A_Cell_D,C_Barrier_Thx,E_Barrier_Outer_Thx,F_ThermalResin_Thx,B_Barrier_Type,D_Barrier_Outer_Type,p_tp,p_notp,tmax_pred_given_notp,tmax_std_given_notp,clf_uncertainty_raw,nn_distance_raw,feasibility_margin,robust_tmax_lower_95,is_feasible,objective_score,cell_d_bin_label,cell_d_bin_weight,cell_d_bin_trial_quota,n_trials,n_feasible_trials,trust_feasibility_score,trust_tmax_unc_score,trust_clf_unc_score,trust_support_score,trust_score,trust_level
combo_002,15.99812138448888,0.44215603961645034,2.9684035125168102,1.9429044377446791,Si1,Si1,0.43192859680300444,0.5680714031969956,437.24777472944163,2.3002003648751015,0.09723642719811866,1.3869097037577351,0.06807140319699556,432.73938201428643,True,437.24777472944163,14-16,0.2602739726027397,21,80,56,0.1928864954995221,0.20512519023289377,0.41551473818965756,0.3435921198341101,0.2636895961077489,low
combo_006,15.167079463149035,0.9507132446095008,1.5143001445370525,2.1647322281233228,Si3,Si3,0.48129034379349633,0.5187096562065037,431.74445427512075,2.3570786298190867,0.08543215217733922,1.666377734520338,0.018709656206503666,427.12458016067535,True,431.74445427512075,14-16,0.2602739726027397,21,80,53,0.03748291991197734,0.15847754991880236,0.5288988298217336,0.03301757458933652,0.17139468909758,low
combo_011,15.975933487663978,1.149045715944702,2.085909733189523,2.3723989016239146,A2,PU,0.29411923739968415,0.7058807626003158,429.55208506306434,1.7497759345171198,0.08305563539779236,1.6310555704160639,0.20588076260031585,426.1225242314108,True,429.55208506306434,14-16,0.2602739726027397,21,80,50,0.6267460832655343,0.6565454449244525,0.5517260848478127,0.072271313286429,0.5375106765827996,medium
combo_007,15.548886179682945,0.8368376228885068,1.6317180041048176,1.5781773383249318,A1,PU,0.48787803906624205,0.512121960933758,427.2934718411494,1.8090466317657898,0.1315133299103427,1.4153373884072038,0.012121960933757947,423.74774044288847,True,427.2934718411494,14-16,0.2602739726027397,21,80,55,0.016743147463019106,0.6079356962068321,0.08627338527767325,0.3120002586531424,0.2522955263276123,low
combo_012,15.482557434906592,0.9523880436273016,2.6628809446263633,2.051610341947869,A2,Si1,0.38184527112272804,0.618154728877272,426.7035327423831,1.5607388859426352,0.1369249662569754,0.796246301184169,0.11815472887727196,423.6444845259355,True,426.7035327423831,14-16,0.2602739726027397,21,80,49,0.3505617878575833,0.811580628515658,0.0342927705998598,1.0,0.5230293684248235,medium
combo_010,15.359180939068896,0.571467614682789,2.628151950625954,1.7778544969541004,A1,Si3,0.49319626296018626,0.5068037370398137,424.25970131958985,2.0585294362316047,0.1404951434269685,1.2432619227226285,0.00680373703981374,420.2249836245759,True,424.25970131958985,14-16,0.2602739726027397,21,80,62,0.0,0.4033270616302811,0.0,0.503228784352265,0.19648243614192407,low
combo_013,15.9784497800408,1.567392949292734,1.1691928162385063,2.4568054789697773,A2,Si2,0.27413671677140883,0.7258632832285912,423.3428084295075,2.517378187464213,0.10528702631136619,1.1902521569662285,0.22586328322859117,418.40874718207766,True,423.3428084295075,14-16,0.2602739726027397,21,80,50,0.6896562382785653,0.02701087956762549,0.33818598517918297,0.5621388637928395,0.40144097387254796,low
combo_014,15.78279562021761,1.2060787917380709,2.405044331672314,2.236236899433147,A2,Si3,0.1755604118939118,0.8244395881060882,421.48311736812576,1.602183415880068,0.07437367338950923,1.268194813608387,0.3244395881060882,418.3428378730008,True,421.48311736812576,14-16,0.2602739726027397,21,80,51,1.0,0.7775906759843721,0.6351192940165683,0.4755207090230342,0.7816291679520804,high
combo_005,15.210330480189992,1.0942878165903978,1.8199211231367927,2.412966777717348,Si3,PU,0.22916612358221755,0.7708338764177824,421.15293875881565,1.9751009503247121,0.03638640250162296,1.5019383667900907,0.27083387641778245,417.2817408961792,True,421.15293875881565,14-16,0.2602739726027397,21,80,56,0.8312353233794099,0.4717493668178009,1.0,0.21576005756243255,0.6648211818624985,medium
combo_008,15.100041394780874,1.0597670243563475,1.2438311285345551,1.7953385890292786,A1,Si1,0.4564570697529007,0.5435429302470993,419.5125990604106,2.550313014479533,0.13129757550942703,1.5346511735222683,0.04354293024709932,414.5139855520307,True,419.5125990604106,14-16,0.2602739726027397,21,80,52,0.11566450412935277,0.0,0.08834577995844639,0.17940611379719196,0.08506264950654154,low
combo_001,14.743116084993446,0.6909818419078174,2.0234754444288345,1.9008559711739441,Si1,PU,0.4899853982890754,0.5100146017109246,419.4585247144846,1.5218345482138906,0.07908544559653774,1.3159166087833416,0.010014601710924609,416.4757289999854,True,419.4585247144846,14-16,0.2602739726027397,21,80,52,0.010108634338133717,0.8434872901343916,0.5898611133378947,0.42248718388499873,0.437929509308993,low
