discrete_combo_id,A_Cell_D,C_Barrier_Thx,E_Barrier_Outer_Thx,F_ThermalResin_Thx,B_Barrier_Type,D_Barrier_Outer_Type,p_tp,p_notp,tmax_pred_given_notp,tmax_std_given_notp,clf_uncertainty_raw,nn_distance_raw,feasibility_margin,robust_tmax_lower_95,is_feasible,objective_score,n_trials,n_feasible_trials,trust_feasibility_score,trust_tmax_unc_score,trust_clf_unc_score,trust_support_score,trust_score,trust_level
combo_005,15.989515671492319,0.6259219919567403,2.4032106728645974,2.4927937159936766,Si3,PU,0.4794076624502779,0.5205923375497221,442.178415771088,1.8837129778804926,0.06468555840282954,1.1390000223288796,0.020592337549722117,438.4863383344422,True,442.178415771088,80,54,0.09934973354847157,0.5833349256640472,0.9281571933693532,0.5991514991413901,0.48527704798625837,medium
combo_006,15.96336625808407,0.98363328025207,1.4665323801221914,2.1039403991277528,Si3,Si3,0.44198377143541734,0.5580162285645827,439.8226619349259,2.6354277144340825,0.090272496362838,1.755641070454363,0.05801622856458266,434.65722361463514,True,439.8226619349259,80,57,0.3802399592975315,0.16705537164264028,0.5914064556060123,0.10840827654441221,0.31774312984979247,low
combo_001,15.981516390620149,0.5768157920375215,2.148186013765149,2.283167619960834,Si1,PU,0.486670225766872,0.513329774233128,437.3516093716626,1.913611105527319,0.09049766900410532,1.3880540451160037,0.013329774233127978,433.6009316048291,True,437.3516093716626,80,57,0.04483955317452493,0.5667781407060225,0.5884429492579921,0.4009461183694909,0.36355779342991257,low
combo_002,15.731724753176191,0.3926683383741234,2.9805451537312178,2.073187773567577,Si1,Si1,0.46426167289969555,0.5357383271003044,437.2526150233586,2.3281294461939237,0.08977036101296224,1.3649225560976506,0.035738327100304446,432.68948130881853,True,437.2526150233586,80,57,0.21303006738566185,0.33722894924343594,0.5980150794980938,0.41935491794396107,0.35823546194922534,low
combo_012,15.989124503838138,1.0249489876368327,2.2404086943368458,2.4990076086429815,A2,Si1,0.45955893329353614,0.5404410667064639,435.427915119425,2.347118186383185,0.1241551596781509,1.0912358020878323,0.04044106670646386,430.82756347411396,True,435.427915119425,80,48,0.2483271344140109,0.3267134918324842,0.14547533689802272,0.6371638362006535,0.30959818740435163,low
combo_009,15.771990075721439,0.8923230772809282,1.421318813090926,1.8277757544470852,A1,Si2,0.46465151060239407,0.5353484893976059,432.99658807249057,1.714961634096898,0.12262013246685848,0.9303636415664448,0.03534848939760593,429.63526326966064,True,432.99658807249057,80,64,0.21010408621836424,0.6767849150214661,0.16567789285440404,0.7651911913700725,0.4244861619592589,low
combo_010,15.684070909358836,0.8533528942240305,1.6128259572003,2.2804479346017854,A1,Si3,0.35941118580427656,0.6405888141957234,431.9557343133116,1.7611219012821797,0.1299221668091073,1.080890177008726,0.14058881419572344,428.50393538679856,True,431.9557343133116,80,62,1.0,0.6512225913060946,0.06957552000428735,0.6453972248252584,0.6560914651164746,medium
combo_007,15.327773078779883,0.7345311510113512,1.752678414449396,2.4772401821174763,A1,PU,0.4633270847953668,0.5366729152046332,431.43046088459835,2.2714075073552897,0.05922681034383313,1.7184619996998585,0.03667291520463323,426.97850217018197,True,431.43046088459835,80,58,0.22004474855558767,0.36864004477580714,1.0,0.13799660357954946,0.40830716596413025,low
combo_014,15.951209814898059,1.2039393360619597,1.7343856394574697,1.8007047991840404,A2,Si3,0.39707579520398895,0.602924204796011,430.64050985885046,1.6379844726202017,0.11486428987699299,1.1331386786988953,0.10292420479601105,427.4300602925149,True,430.64050985885046,80,55,0.7173030288904394,0.7194128121360899,0.2677528546257453,0.6038161491358573,0.6110028970480084,medium
combo_013,15.663828020205333,1.1980157012395047,1.7335738049758898,2.3927931672858973,A2,Si2,0.41631563034385977,0.5836843696561402,429.54701597933456,1.1313020714120336,0.13520864227671597,0.6353157566533905,0.08368436965614023,427.32966391936696,True,429.54701597933456,80,50,0.572895766864504,1.0,0.0,1.0,0.6505135184025764,medium
combo_011,15.547118338406044,0.9527966294602396,2.3872466117713436,2.1658148829063073,A2,PU,0.40420208264797,0.59579791735203,429.05893381408225,1.3739884122061663,0.1122882498065005,1.0901796053037394,0.09579791735203003,426.3659165261582,True,429.05893381408225,80,51,0.6638156860564814,0.8656067829985044,0.3016562234306457,0.638004392331482,0.6480494285551712,medium
combo_008,15.475159476157826,1.000194601581364,1.3332548200431529,2.239944536872532,A1,Si1,0.4383108520824095,0.5616891479175905,427.31503962314724,2.937095147943804,0.12131456738591075,1.8918609716076862,0.0616891479175905,421.55833313317737,True,427.31503962314724,80,53,0.4078075670007175,0.0,0.18286048832144908,0.0,0.17930474611454095,low
combo_004,15.994009105461378,0.7191430810243807,2.9167660766598034,2.161878205098825,Si2,Si2,0.49264434090983755,0.5073556590901624,427.087805665533,2.2959923663442274,0.09373845247888189,1.4134626246795143,0.0073556590901624475,422.5876606274983,True,427.087805665533,80,53,0.0,0.35502560616241086,0.5457908653014054,0.38072513526349516,0.2727746251985286,low
combo_003,15.724255465123319,0.9154374285426338,2.3896810901596917,1.3874645872625428,Si2,PU,0.4913179712691651,0.5086820287308349,414.69419016010494,2.1062393015904486,0.10585067897845965,1.115914142058957,0.008682028730834901,410.5659611289877,True,414.69419016010494,80,53,0.009955252051349884,0.46010578795058177,0.38638135658783723,0.6175240017741446,0.31142094618683613,low
