discrete_combo_id,A_Cell_D,C_Barrier_Thx,E_Barrier_Outer_Thx,F_ThermalResin_Thx,B_Barrier_Type,D_Barrier_Outer_Type,p_tp,p_notp,tmax_pred_given_notp,tmax_std_given_notp,clf_uncertainty_raw,nn_distance_raw,feasibility_margin,robust_tmax_lower_95,is_feasible,objective_score,trust_feasibility_score,trust_tmax_unc_score,trust_clf_unc_score,trust_support_score,trust_score,trust_level
combo_005,15.989515671492319,0.6259219919567403,2.4032106728645974,2.4927937159936766,Si3,PU,0.4794076624502779,0.5205923375497221,442.178415771088,1.8837129778804926,0.06468555840282954,1.1390000223288796,0.020592337549722117,438.4863383344422,True,442.178415771088,0.5203503979463563,0.6603665145385185,0.6091360444423828,0.5791416006843866,0.5889310426339148,medium
combo_005,15.99006231183474,0.6466519764505905,2.430375547348598,2.4906489274115207,Si3,PU,0.44745993541916107,0.5525400645808389,440.87475816417873,1.8034211868156749,0.06478771015097863,1.0871954460258966,0.05254006458083893,437.34005263802,True,440.87475816417873,0.5523897380763566,0.6784732661652895,0.6085032841505903,0.6025386210570175,0.6089598381649823,medium
combo_006,15.96336625808407,0.98363328025207,1.4665323801221914,2.1039403991277528,Si3,Si3,0.44198377143541734,0.5580162285645827,439.8226619349259,2.6354277144340825,0.090272496362838,1.755641070454363,0.05801622856458266,434.65722361463514,True,439.8226619349259,0.5578816054731179,0.49084592160553087,0.45064244425435984,0.30064181948336566,0.4777371001706273,medium
combo_005,15.753346199607778,0.6836493297321813,2.335365719128761,2.3790716194615005,Si3,PU,0.4529219221493861,0.5470780778506139,438.0114957901512,1.694500158333005,0.06101383499331597,1.1523441991190513,0.04707807785061391,434.69027547981847,True,438.0114957901512,0.5469120885877159,0.7030362505440542,0.631879862517762,0.573114836284469,0.6146733041151395,medium
combo_006,15.666873690153457,0.8318229653920948,1.8841801342891613,2.227073901476802,Si3,Si3,0.48382458430474884,0.5161754156952512,437.95167248007505,2.2883742322045215,0.09297890300850503,1.6575505752214765,0.01617541569525116,433.46645898495416,True,437.95167248007505,0.515920810154862,0.5691105999817264,0.43387810404628224,0.3449434136495385,0.4898225964054068,medium
combo_005,15.740029769589484,0.6918633345128022,2.305646965683741,2.390276943249534,Si3,PU,0.4543881235936311,0.5456118764063689,437.9423643630782,1.7254818972482362,0.059831839394403945,1.1759991226165794,0.04561187640636888,434.56041984447165,True,437.9423643630782,0.5454416826735328,0.6960495007896403,0.6392015177377328,0.5624313259368934,0.6119244416107091,medium
combo_005,15.75425599270584,0.6894847845833231,2.3359071194466257,2.366214311200177,Si3,PU,0.4469314506717268,0.5530685493282732,437.74040332735757,1.6735079519713816,0.06129821498473572,1.1489624284926752,0.05306854932827321,434.46032774149364,True,437.74040332735757,0.552919738303292,0.7077702421719281,0.6301183227535274,0.5746421792701182,0.6180729724989538,medium
combo_006,15.635364504656991,0.8317533956634422,1.893888789211367,2.2970659901713706,Si3,Si3,0.4780346858571036,0.5219653141428964,437.56325666106767,2.320704585137142,0.09312621327885864,1.649218814068309,0.021965314142896375,433.0146756741989,True,437.56325666106767,0.5217273116784785,0.5618197217637498,0.4329656175608143,0.3487063705030111,0.4900495547042069,medium
combo_001,15.981516390620149,0.5768157920375215,2.148186013765149,2.283167619960834,Si1,PU,0.486670225766872,0.513329774233128,437.3516093716626,1.913611105527319,0.09049766900410532,1.3880540451160037,0.013329774233127978,433.6009316048291,True,437.3516093716626,0.513067008549377,0.6536241319832513,0.4492476535750656,0.46665883447169454,0.5355090484730246,medium
combo_002,15.731724753176191,0.3926683383741234,2.9805451537312178,2.073187773567577,Si1,Si1,0.46426167289969555,0.5357383271003044,437.2526150233586,2.3281294461939237,0.08977036101296224,1.3649225560976506,0.035738327100304446,432.68948130881853,True,437.2526150233586,0.5355398200402627,0.5601453274921124,0.45375282969820907,0.47710594085562485,0.5177989923297113,medium
combo_005,15.726080194362153,0.6884917507395493,2.358198593552256,2.36454086286569,Si3,PU,0.43983575407449393,0.5601642459255061,437.1711195533722,1.6387098864312797,0.061330564276865486,1.1247189856437285,0.060164245925506066,433.9592481759669,True,437.1711195533722,0.5600357824749667,0.7156176188647467,0.6299179409891602,0.5855914885149629,0.6245201210007388,medium
combo_002,15.993570529312777,0.49938913153585707,2.7606048085007364,1.9034796397487637,Si1,Si1,0.4565841035607576,0.5434158964392424,437.02717795114586,2.049723489723152,0.10662931717094179,1.3367390293409513,0.043415896439242374,433.00971991128847,True,437.02717795114586,0.5432394055282165,0.6229291742387915,0.3493231139945746,0.4898347497130211,0.5203523794623813,medium
combo_001,15.943044909674066,0.536757115821719,2.271151901170015,2.1724355290644963,Si1,PU,0.49482908345983745,0.5051709165401626,436.7251869612917,1.7075726899868462,0.10101588396351477,1.3952375878077299,0.005170916540162551,433.3783444889175,True,436.7251869612917,0.5048847545679722,0.7000882395375726,0.3840944977314903,0.4634144590380844,0.5330672043620728,medium
combo_006,15.662166367272208,0.8583120448325091,1.8946012553546292,2.2701804217262778,Si3,Si3,0.44961027962371247,0.5503897203762875,436.644036089446,2.270465330064158,0.09290426305064862,1.6451330207693442,0.05038972037628753,432.1939240425202,True,436.644036089446,0.550233227558438,0.5731492699212466,0.4343404475927056,0.35055167830931655,0.5039772518867658,medium
combo_005,15.817362279861305,0.7197322535521796,2.3725902336121685,2.3653630157394305,Si3,PU,0.397787268239,0.602212731761,436.52569905944074,1.5848593114996858,0.06276391774356838,1.0754107499661698,0.10221273176099999,433.41937480890135,True,436.52569905944074,0.6022048462810622,0.7277615625022482,0.6210392955007945,0.6078610615337445,0.6444871832792669,medium
combo_006,15.677674114291714,0.8892517607840653,1.7793910415564507,1.9022605111639295,Si3,Si3,0.47036435275080635,0.5296356472491937,436.21383459869617,2.1242170006786973,0.0919790779607072,1.7807840542888407,0.029635647249193653,432.0503692773659,True,436.21383459869617,0.5294196401832169,0.6061300035789998,0.4400713371573062,0.2892862415212286,0.4985430787974714,medium
combo_006,15.991403461712714,0.977870400924201,1.8005759920521545,2.100476428803254,Si3,Si3,0.35380431801138457,0.6461956819886154,436.00695631026133,2.2205520048360436,0.09189357388375712,1.7387204309275908,0.14619568198861543,431.6546743807827,True,436.00695631026133,0.6463139217370693,0.5844053170312447,0.44060097649937024,0.3082838576193485,0.5358942416601239,medium
combo_002,15.677201356058067,0.40788281008190574,2.9940999272299154,2.0503133903469086,Si1,Si1,0.4451788047616958,0.5548211952383042,435.7623774981845,2.264610446351687,0.08866688497736096,1.329570038249064,0.0548211952383042,431.3237410233352,True,435.7623774981845,0.5546774100895898,0.5744696156724051,0.4605881098664343,0.49307255306165,0.5325564831656123,medium
combo_005,15.690472417050689,0.7296058662413613,2.30290365775519,2.3670995703270434,Si3,PU,0.4141961546208961,0.5858038453791039,435.76227136105285,1.6327436990877908,0.059066071072292545,1.1463502653307263,0.0858038453791039,432.56209371084077,True,435.76227136105285,0.5857489058809191,0.7169630649054277,0.6439449293359112,0.5758219367177866,0.6352633129048002,medium
combo_005,15.452509277990279,0.7462781692923139,2.0784020087344346,2.2527898150655576,Si3,PU,0.49874424774896653,0.5012557522510335,435.5979646442234,1.7840492025268821,0.050210825836872475,1.4693446114254494,0.0012557522510334707,432.1012282072707,True,435.5979646442234,0.5009583631786236,0.6828418784901997,0.6987971238463754,0.42994476070104826,0.5844391295340104,medium
