discrete_combination_id,group_min_distance
1,0.7482048630938495
2,0.7192454373424266
3,0.8815061948293667
4,0.6894897128890422
5,0.8765272740426114
6,0.843704766233946
7,0.7438772335208563
8,0.8576424949890625
9,0.7648942907683063
10,0.6767325386722227
11,0.7984547318624717
12,0.7482101157040969
13,0.7270002518472087
14,0.8874606482481913
15,0.6554834178122199
16,0.7560745792390983
17,0.7949628650594422
18,0.773372709302447
19,0.8813383285501324
20,0.7719758228811241
21,0.8536842304680231
22,0.8085852275215688
23,0.864879410019882
24,0.6613454271693785
25,0.8754600371482112
26,0.7009576210019183
27,0.7804702243555101
28,0.8369475293200062
29,0.7940789178147246
30,0.8778623185389929
31,0.7547573028417389
32,0.7989978391393479
33,0.952076693126407
34,0.8737223222782134
35,0.8098449663770062
36,0.8573005707470077
37,0.830918089081911
38,0.6873714724681308
39,0.7047105964662098
40,0.7417692772875403
41,0.8866478858510584
42,0.6585794326971814
43,0.7985347818402586
44,0.7930375675619075
45,0.8704446934746726
46,0.891854963404834
47,0.8280312110591899
48,0.7825547889379916
