discrete_combo_id,B_Barrier_Type,D_Barrier_Outer_Type,n_total,n_notp,n_tp,notp_ratio,tp_ratio,notp_tmax_min,notp_tmax_mean,notp_tmax_max
combo_001,Si1,PU,84,41,43,0.4880952380952381,0.5119047619047619,227.5587315,276.536470302439,307.4379503
combo_002,Si1,Si1,66,33,33,0.5,0.5,223.556,274.5198432151515,320.7654914
