bin_label,bin_mid,n,error_rate,is_boundary_bin
0.0-0.2,0.1,12,0.0,False
0.2-0.4,0.30000000000000004,13,0.15384615384615385,False
0.4-0.6,0.5,7,0.5714285714285714,True
0.6-0.8,0.7000000000000001,10,0.1,False
0.8-1.0,0.9,37,0.0,False
