segment,n,accuracy,tp_recall,tp_f1,error_rate
Boundary,7,0.42857142857142855,1.0,0.3333333333333333,0.5714285714285714
Non-boundary,72,0.9583333333333334,0.9583333333333334,0.968421052631579,0.041666666666666664
Overall,79,0.9113924050632911,0.9591836734693877,0.9306930693069307,0.08860759493670886
